keras_MSE2_None_relu0,keras_MSE2_None_relu1,keras_MSE2_None_relu2,keras_MSE2_None_relu3,keras_MSE2_None_relu4,keras_MSE2_None_relu5,keras_MSE2_None_relu6,keras_MSE2_None_relu7,keras_MSE2_None_relu8,keras_MSE2_None_relu9,keras_MSE2_None_relu10,keras_MSE2_None_relu11,keras_MSE2_None_relu12,keras_MSE2_None_relu13,keras_MSE2_None_relu14,keras_MSE2_None_relu15,keras_MSE2_None_relu16,keras_MSE2_None_relu17,keras_MSE2_None_relu18,keras_MSE2_None_relu19,keras_MSE2_None_relu20,keras_MSE2_None_relu21,keras_MSE2_None_relu22,keras_MSE2_None_relu23,keras_MSE2_None_relu24,keras_MSE2_None_relu25,keras_MSE2_None_relu26,keras_MSE2_None_relu27,keras_MSE2_None_relu28,keras_MSE2_None_relu29,keras_MSE2_None_relu30,keras_MSE2_None_relu31,keras_MSE2_None_relu32,keras_MSE2_None_relu33,keras_MSE2_None_relu34,keras_MSE2_None_relu35,keras_MSE2_None_relu36,keras_MSE2_None_relu37,keras_MSE2_None_relu38,keras_MSE2_None_relu39,ID,y
110.97101593,104.29133606,109.978767395,105.814506531,103.533485413,101.791854858,104.14642334,110.466667175,110.718757629,103.192634583,111.858291626,105.807891846,109.344856262,110.128189087,114.218765259,106.918281555,109.627334595,103.767433167,108.318962097,104.017753601,101.438850403,105.747428894,103.276252747,103.571716309,109.959129333,103.239097595,111.136825562,105.322761536,109.395401001,101.683891296,109.073242188,110.424591064,103.277992249,109.929374695,106.20690155,105.743087769,109.26272583,110.856590271,107.756828308,107.086952209,31,102.0625
106.618019104,104.977287292,97.1328582764,102.988685608,98.4690704346,103.254898071,106.450195312,108.952865601,105.730834961,104.534683228,99.6666870117,99.6097717285,102.977088928,99.1304550171,101.951026917,99.2299880981,107.04914093,98.1320800781,106.516113281,108.967399597,101.057289124,105.314666748,97.2431106567,97.1715087891,101.188812256,101.303184509,100.947151184,95.5829849243,100.52759552,97.1870574951,110.776611328,99.6872940063,102.610488892,102.937904358,94.9114532471,96.6299972534,92.6379699707,101.652755737,115.132621765,93.3165130615,32,98.125
92.4966812134,92.2190170288,95.1307525635,88.8222198486,93.5116271973,95.9264907837,91.4772644043,95.1768264771,94.1051177979,92.1169662476,93.6262130737,100.997795105,95.5918045044,94.9516372681,94.6218261719,98.681892395,92.5003204346,90.0272445679,87.4294509888,88.5202407837,88.8553237915,94.0824813843,94.0840988159,94.3606796265,92.3870544434,90.8118438721,96.632522583,94.6484603882,95.3973770142,93.1165618896,95.7591247559,89.5054016113,91.4968490601,88.6139602661,95.1988983154,96.8508834839,96.4506530762,90.1331939697,92.7955780029,93.0391998291,34,82.625
97.9222640991,94.3130187988,97.1192932129,98.796295166,96.7235641479,96.7620315552,97.318649292,90.0726394653,98.6407699585,96.5143966675,102.304695129,101.248764038,100.500061035,102.847457886,107.804656982,102.668952942,95.5206832886,95.044921875,96.7657394409,101.76108551,98.3414993286,99.1571121216,102.123771667,93.8511047363,96.4807128906,94.370880127,99.7297363281,106.577735901,97.0362167358,93.3258666992,104.930236816,95.7908401489,97.8275146484,101.561073303,96.9710845947,96.1264801025,100.901916504,93.4912796021,97.7766799927,99.2666091919,36,94.125
97.1743164062,93.3606185913,96.0650177002,97.5070419312,94.1483001709,93.1282653809,94.7578048706,99.1902236938,93.3943710327,100.252784729,95.8939285278,103.968818665,96.0205841064,92.5707473755,94.0398864746,89.8722305298,90.332572937,100.324493408,93.6683731079,103.603408813,93.5555343628,93.6713790894,95.049949646,89.3763046265,98.867729187,91.947265625,93.7537231445,95.0137710571,95.1599960327,93.1228485107,92.8010482788,92.9413146973,94.5607299805,91.9817428589,98.4192276001,102.099761963,92.7142562866,94.5677261353,94.6331863403,92.9585571289,37,99.125
95.2149429321,90.3045806885,100.413848877,95.9862213135,97.7149658203,94.2025604248,94.6807632446,98.727973938,94.2102050781,98.0510635376,94.7063293457,95.4042663574,93.2658157349,101.754684448,94.4876785278,94.6317520142,94.9435348511,92.9552764893,95.9745788574,95.7822341919,95.1747360229,92.8024215698,96.6437759399,96.7115936279,99.3208618164,90.003692627,94.6555328369,100.320213318,98.0983200073,94.1869659424,97.0064239502,94.8134231567,92.6135787964,99.6460037231,93.0641403198,92.8881454468,99.3012466431,93.4468307495,97.6367263794,92.3234863281,38,93.625
97.9222640991,94.3130187988,97.1192932129,98.796295166,96.7235641479,96.7620315552,97.318649292,90.0726394653,98.6407699585,96.5143966675,102.304695129,101.248764038,100.500061035,102.847457886,107.804656982,102.668952942,95.5206832886,95.044921875,96.7657394409,101.76108551,98.3414993286,99.1571121216,102.123771667,93.8511047363,96.4807128906,94.370880127,99.7297363281,106.577735901,97.0362167358,93.3258666992,104.930236816,95.7908401489,97.8275146484,101.561073303,96.9710845947,96.1264801025,100.901916504,93.4912796021,97.7766799927,99.2666091919,39,106.125
100.226478577,98.0490493774,99.1795730591,102.238334656,101.810455322,103.818199158,106.210021973,101.876304626,102.607124329,106.505661011,99.4854507446,102.274940491,97.9414901733,100.743560791,109.012176514,102.567077637,100.180137634,105.114692688,103.01058197,103.593284607,101.115684509,105.550849915,100.134971619,105.503868103,98.538848877,101.439445496,101.662757874,103.1326828,104.974731445,103.65927124,104.889762878,104.661247253,101.865730286,106.243217468,108.352500916,100.805152893,103.401000977,96.4500350952,100.616920471,98.197052002,40,114.125
92.7726745605,95.210357666,98.5576782227,93.1396560669,95.50806427,97.7811203003,92.8479232788,100.783660889,98.4626464844,93.4406814575,91.1300811768,94.7500152588,93.031036377,96.5594863892,95.9292602539,94.4560699463,92.6902923584,98.9041748047,96.7659683228,89.0528106689,94.2693099976,91.2131347656,91.3089904785,93.5874633789,95.392868042,87.9242630005,95.3006134033,95.9166946411,95.8437652588,91.8085403442,94.8321228027,96.6389846802,90.6305541992,96.3388061523,94.1267776489,95.2677230835,93.3534545898,91.7318649292,94.1671676636,91.9825668335,44,89.8125
90.2123794556,86.3061065674,95.0470275879,92.5420455933,93.5665969849,92.4954452515,92.2393875122,90.7537765503,94.3030395508,86.1867980957,88.9837493896,92.3326034546,93.5348892212,90.2507553101,92.4617996216,89.9842834473,90.8051452637,90.1082000732,90.7638626099,93.8003997803,88.1495742798,90.6988143921,86.914276123,90.4563140869,92.144493103,90.1427307129,91.2004318237,92.6707839966,86.8458023071,86.8351974487,92.5278549194,93.0847702026,90.8252868652,90.5294113159,89.4765930176,87.4309921265,92.0095825195,89.6161346436,92.9629135132,91.2977218628,47,90.8125
92.7379379272,92.5018844604,88.5141525269,88.065864563,90.9330215454,93.4122619629,87.6606063843,97.8305664062,87.9759063721,88.2681884766,92.5010757446,89.0140762329,95.6888885498,92.7381362915,94.735786438,90.4957885742,88.0311203003,87.0136108398,91.9469985962,91.1770629883,89.3536224365,96.3799667358,86.5685424805,88.6974411011,92.8976898193,93.4939498901,88.4735641479,92.4405059814,92.0041656494,88.4504470825,91.9646072388,92.2059555054,91.6694335938,92.2945327759,91.0958404541,91.9839401245,92.825088501,91.5953903198,91.9075393677,90.0525360107,48,90.5625
94.1670150757,87.1138305664,96.2504119873,92.1055831909,91.2510910034,104.825012207,93.0946426392,99.9494094849,98.3265609741,91.7636642456,91.4234619141,95.6982421875,96.8832244873,92.7165145874,94.4507217407,98.066078186,93.1409988403,96.4484481812,90.5055389404,94.7641296387,93.6653823853,93.160446167,90.7148971558,97.3050384521,95.33543396,93.4041519165,97.5339736938,96.2868881226,93.6467895508,94.9180221558,94.1530075073,93.8030700684,93.1676712036,91.2772521973,90.2141571045,92.6994934082,90.9367370605,91.4225463867,94.9956207275,94.2336959839,49,94.5625
119.981086731,120.626426697,114.823440552,120.659561157,116.184402466,123.509025574,125.571525574,115.601829529,114.148208618,114.844085693,114.930961609,109.478065491,114.854408264,116.698547363,112.231147766,117.976119995,116.511482239,116.923202515,116.040672302,110.946456909,111.853500366,113.541351318,112.110092163,111.39957428,112.642471313,112.717201233,116.67565155,110.648414612,112.196327209,112.338729858,110.199256897,118.346366882,114.55632019,112.544372559,115.037399292,110.701423645,112.945373535,114.744132996,115.077934265,109.876487732,50,108.125
111.808235168,105.104225159,113.07408905,110.937576294,113.70980835,110.909912109,111.482139587,115.754241943,113.546958923,113.240196228,115.616760254,110.991012573,111.630882263,113.601005554,113.385719299,109.843460083,113.104896545,110.459365845,107.264404297,110.356925964,106.63067627,113.748634338,117.505271912,116.950546265,107.804710388,105.876724243,112.579872131,106.181007385,111.14818573,115.455970764,111.287117004,112.54611969,116.034713745,106.59299469,119.329246521,110.22114563,112.277755737,106.664360046,107.055130005,104.839553833,52,120.75
94.3282699585,90.7930603027,97.3801269531,92.4997787476,89.840171814,92.9430389404,92.394241333,96.5940475464,94.3891143799,93.2718353271,89.5757446289,94.1051559448,88.9668884277,92.0535430908,98.2307128906,94.3152160645,96.6584014893,89.850227356,93.7849655151,90.3845596313,93.4788589478,87.6106338501,91.2292556763,91.9652328491,93.8559494019,88.8083953857,90.7035675049,92.0474014282,95.7709579468,90.7069473267,96.2218017578,94.7255249023,91.6130447388,98.7542495728,95.8330001831,94.5997772217,93.2868804932,90.4743652344,91.2313919067,90.1502914429,54,84.8125
92.1141357422,93.4073181152,93.4722824097,90.2663421631,93.4906234741,93.5700836182,88.796546936,91.9389953613,91.9903335571,92.4980163574,94.7266464233,92.9788742065,96.7598800659,90.250831604,94.9483718872,90.8486404419,95.5206832886,88.6742248535,93.1494750977,95.4127960205,90.1642227173,92.3076934814,91.7030029297,88.4375152588,92.5064620972,88.0581512451,94.9839782715,96.2846450806,93.0545959473,91.1272964478,94.6609344482,93.6093521118,91.8986740112,94.3933944702,88.6004867554,96.4922409058,92.2628326416,92.1325302124,95.2137680054,96.70262146,60,93.5625
104.110733032,100.933174133,101.236671448,101.048988342,99.9577789307,102.467658997,105.03099823,104.805984497,108.614456177,102.157188416,97.4949188232,105.164657593,102.285583496,103.429084778,103.412872314,99.1472320557,106.856941223,103.951690674,98.9750595093,104.944358826,105.17855835,99.8976211548,101.565475464,100.915061951,100.824134827,101.374855042,104.22215271,100.576156616,101.462814331,111.236549377,100.58089447,101.127410889,101.100769043,99.3822631836,105.032661438,107.193641663,98.7950363159,102.731964111,105.612449646,95.1268768311,61,104.0625
95.0030441284,91.53490448,93.4471817017,93.7018966675,95.3641281128,100.145187378,95.1353759766,100.49445343,94.3725280762,88.6165771484,93.2483215332,91.2437667847,100.543800354,91.9624938965,92.3015441895,96.8316955566,98.3348388672,89.810295105,97.8576507568,94.322227478,92.5581130981,100.145332336,95.6899185181,93.2050857544,91.3563232422,93.9946060181,94.6019821167,94.5855941772,96.2072219849,96.6790161133,98.6667785645,92.3224258423,90.6294174194,88.465637207,93.625038147,95.9313659668,96.6160354614,90.6048583984,92.6359176636,90.6002044678,62,89.375
91.9344024658,95.911026001,91.8443756104,95.9146194458,94.6323699951,94.0792999268,97.0488967896,89.1781539917,91.8898925781,92.7834091187,88.9634552002,95.5968322754,97.1708450317,92.6298599243,93.4846420288,89.9010467529,90.6743011475,89.1761322021,97.5882110596,93.735710144,85.8383331299,95.2546539307,91.9174804688,94.5284805298,93.982673645,91.5993041992,95.4742507935,92.9682617188,90.8564529419,94.4758071899,100.378944397,92.0747375488,94.0150222778,95.0901794434,91.1884918213,91.9472732544,90.8490753174,89.9807128906,92.7104110718,92.8455657959,66,90.0625
111.808235168,105.104225159,113.07408905,110.937576294,113.70980835,110.909912109,111.482139587,115.754241943,113.546958923,113.240196228,115.616760254,110.991012573,111.630882263,113.601005554,113.385719299,109.843460083,113.104896545,110.459365845,107.264404297,110.356925964,106.63067627,113.748634338,117.505271912,116.950546265,107.804710388,105.876724243,112.579872131,106.181007385,111.14818573,115.455970764,111.287117004,112.54611969,116.034713745,106.59299469,119.329246521,110.22114563,112.277755737,106.664360046,107.055130005,104.839553833,67,128.25
75.9754638672,78.6007995605,75.7910385132,80.6782531738,75.7015075684,77.0158462524,80.9553451538,76.5980453491,80.1678619385,75.8112182617,74.3707885742,76.9739227295,79.4067001343,79.8800201416,80.8954772949,80.576751709,78.9435424805,83.0381774902,79.4261856079,76.419921875,79.8717498779,72.8131561279,83.1692428589,80.5712356567,77.758140564,74.5968856812,77.3110656738,77.3283615112,78.6368179321,79.5419082642,77.6853942871,77.0883331299,81.0765228271,74.7841033936,79.8276062012,75.0984802246,77.2911529541,73.9318389893,79.6408081055,74.9524078369,68,76.0
112.961013794,114.181022644,109.078948975,107.136108398,113.781974792,105.824211121,103.170684814,115.373100281,112.307731628,108.514190674,111.967811584,110.84715271,109.464347839,104.194335938,113.583244324,109.219985962,114.002082825,110.098228455,118.209327698,110.177108765,110.047615051,113.316085815,108.805374146,111.516799927,118.872215271,110.208053589,117.220748901,106.385360718,112.140090942,108.629859924,113.765556335,120.37361145,111.396057129,110.728439331,108.123970032,106.562309265,104.983734131,104.812049866,114.725891113,107.951507568,70,107.875
111.808235168,105.104225159,113.07408905,110.937576294,113.70980835,110.909912109,111.482139587,115.754241943,113.546958923,113.240196228,115.616760254,110.991012573,111.630882263,113.601005554,113.385719299,109.843460083,113.104896545,110.459365845,107.264404297,110.356925964,106.63067627,113.748634338,117.505271912,116.950546265,107.804710388,105.876724243,112.579872131,106.181007385,111.14818573,115.455970764,111.287117004,112.54611969,116.034713745,106.59299469,119.329246521,110.22114563,112.277755737,106.664360046,107.055130005,104.839553833,74,106.875
97.4919052124,96.8420639038,104.842445374,101.086227417,97.4985733032,102.741844177,98.6625137329,101.436653137,94.1844558716,95.7088470459,95.2810211182,92.2548675537,93.8453674316,87.8690872192,96.0683898926,94.8676681519,94.1523513794,96.1138534546,96.6074142456,94.4792556763,94.8592224121,95.4129867554,92.0621337891,101.264198303,94.8868408203,93.9404296875,94.4930343628,93.3198928833,96.7507781982,96.1350784302,95.9366912842,98.7954864502,95.2096939087,92.4818954468,94.3420944214,91.7229995728,98.8295516968,91.9758529663,93.2023773193,92.9439544678,75,104.875
110.269607544,118.479553223,121.998954773,112.477180481,118.01134491,112.367034912,115.030685425,115.32598877,118.665733337,108.436927795,121.623794556,114.177062988,112.848670959,115.345085144,117.525405884,116.237510681,117.142105103,112.868331909,116.148834229,112.294746399,114.015464783,116.880355835,109.098266602,114.957054138,119.954345703,118.327049255,122.373291016,115.518577576,118.657943726,117.566444397,115.852142334,123.474601746,116.386444092,115.521003723,112.281036377,115.27015686,111.507324219,119.751296997,114.104690552,111.292373657,79,114.75
95.7842102051,92.1865310669,92.6042022705,94.3788223267,92.2426452637,87.2508621216,90.5478363037,100.228668213,91.4160308838,92.3868179321,96.541305542,89.8254089355,96.308380127,102.524589539,93.8774719238,90.4101257324,89.166557312,96.9893951416,90.6338043213,92.1366577148,93.5141830444,93.155166626,89.2272720337,85.1640930176,95.8374862671,97.547996521,90.4444656372,88.0851211548,91.6160583496,93.8326263428,92.8978424072,92.5322952271,92.6672744751,92.6211242676,91.7642211914,90.3422317505,90.2059020996,92.0333633423,94.3182907104,96.1181259155,80,91.5625
101.013175964,100.42086792,105.739059448,101.318099976,105.365722656,110.198524475,102.301078796,106.605186462,105.988998413,105.68119812,107.663917542,106.204605103,103.836196899,105.779434204,105.931877136,101.692749023,101.119766235,100.553771973,98.5032501221,103.907218933,101.754486084,96.909072876,101.498321533,99.0831222534,102.642021179,99.729385376,99.8790664673,104.499885559,102.79384613,105.332542419,102.564117432,101.365783691,101.886680603,102.375297546,95.8254241943,100.053672791,99.9798431396,99.7120742798,103.495231628,100.191986084,81,98.1875
114.838500977,113.592094421,119.008453369,115.613998413,117.263275146,118.606140137,122.109802246,115.468170166,114.584709167,103.995826721,110.781852722,112.090065002,118.265441895,115.214927673,108.342910767,115.505912781,112.60496521,114.309547424,119.256278992,113.805480957,114.031608582,114.28730011,108.895118713,111.850059509,116.110809326,114.833839417,118.529457092,115.17301178,117.406539917,110.057060242,110.077613831,119.664535522,118.138008118,114.516242981,110.877639771,107.809494019,113.70375824,122.218544006,115.137924194,110.034591675,86,117.3125
77.5400619507,74.1132125854,74.9826049805,78.7303085327,79.3174133301,78.1662139893,75.6703567505,78.3498687744,76.1524734497,76.1662445068,79.564994812,75.9858856201,81.2420654297,78.9016189575,79.0263748169,78.8732910156,73.5315093994,74.3737411499,77.6984405518,80.7909622192,75.1516571045,78.3143310547,81.0279846191,74.4302368164,79.338142395,79.1933898926,78.0409011841,77.7874145508,79.6020736694,70.8854675293,74.8386459351,77.8126907349,76.6293258667,78.8831253052,79.168006897,74.6103897095,77.877243042,77.0288619995,77.5590820312,80.1866378784,90,79.0
112.433418274,114.394355774,112.331321716,110.42150116,114.75189209,122.528503418,115.772994995,117.527519226,114.024841309,115.434242249,116.343658447,110.62020874,117.099189758,112.103546143,116.972175598,115.595588684,120.370193481,116.544219971,111.234428406,113.434837341,113.692771912,112.726211548,111.691543579,111.12272644,111.570587158,113.431800842,113.107795715,118.034065247,120.410202026,116.332633972,111.023353577,115.783988953,107.123970032,110.049003601,112.86555481,108.510398865,117.374076843,119.358161926,106.615081787,115.194664001,92,110.75
98.2852935791,98.5633468628,101.848754883,99.4096755981,102.642181396,98.614692688,108.968742371,104.511863708,104.566017151,106.22795105,101.35194397,109.346199036,100.686668396,108.240592957,104.973060608,98.1921920776,109.625640869,93.59715271,101.4818573,98.2547607422,98.5730514526,104.084861755,102.706604004,98.2468185425,99.3978652954,104.578018188,107.344276428,105.282974243,99.0663223267,100.887451172,99.4697647095,107.715621948,102.53288269,101.678489685,100.828086853,104.465751648,100.882064819,104.802474976,102.803840637,99.3091049194,100,101.4375
92.8866500854,97.6832962036,97.5020370483,94.0257415771,99.7788467407,105.776023865,103.6014328,97.1061706543,92.0998382568,92.0241546631,97.1795806885,104.773048401,95.8367996216,94.7057342529,93.0290908813,97.4833068848,95.8947067261,93.1127624512,94.8670654297,100.111000061,92.4740600586,95.9185333252,93.896156311,87.0085067749,97.1091690063,94.548538208,94.5139465332,96.9826507568,95.6204910278,95.8502044678,96.3245849609,93.1992263794,98.5886383057,94.1377182007,89.0855407715,95.2783050537,97.0766067505,93.4145278931,95.2835769653,96.3854293823,102,92.0
98.3921966553,92.4709091187,95.7983551025,93.7652511597,97.9124526978,105.298416138,93.4388275146,101.890892029,96.1758270264,93.2811050415,96.3652954102,93.0658569336,95.9781112671,94.6245651245,90.9321746826,98.0753555298,96.3913116455,100.731620789,94.0503692627,94.8278961182,92.0771408081,99.3535995483,95.9199295044,93.8436050415,94.8114242554,91.7577667236,101.493675232,102.152053833,95.2732162476,96.5006866455,96.9287338257,92.4659881592,95.0295944214,92.4484176636,94.2743301392,98.7901916504,96.0155563354,95.2809829712,98.2007369995,92.5854949951,106,98.0625
112.269477844,106.536659241,112.711837769,111.211242676,112.903144836,110.347267151,115.581466675,117.41078949,110.519737244,105.148590088,108.293685913,111.890281677,113.667579651,109.004051208,108.560180664,115.356803894,114.621925354,113.440437317,114.544662476,117.032928467,110.845527649,121.062866211,105.493400574,114.251319885,120.805038452,110.484298706,116.757827759,119.640686035,120.854286194,108.149688721,114.370391846,112.901870728,112.276397705,119.73589325,108.452323914,109.668334961,112.961929321,114.36240387,112.660881042,107.023925781,107,139.25
87.1814498901,91.0925521851,88.3847122192,91.2821655273,92.4380950928,90.5852432251,92.7243499756,94.0841217041,91.2402420044,90.5063171387,92.4826965332,93.1480026245,87.5168228149,94.5326309204,94.4540252686,89.2161636353,93.8312683105,92.1929931641,94.1207733154,93.6352615356,89.6606140137,92.3568572998,90.3760757446,92.1643218994,94.9716873169,93.3254470825,87.8553771973,91.0131149292,94.8738708496,96.7423553467,93.4339752197,90.6257019043,88.0293884277,97.0616149902,97.026473999,90.0331802368,93.2861938477,89.7631835938,90.9646682739,87.0475845337,108,85.4375
117.526939392,112.646026611,111.372817993,111.470458984,117.754867554,120.310974121,116.334327698,117.952568054,123.739204407,114.562889099,118.093025208,114.201400757,118.152938843,111.763397217,118.558624268,116.096916199,124.231117249,120.246910095,113.781669617,112.731071472,115.278266907,118.39591217,111.575210571,113.182388306,116.832389832,116.495483398,117.369018555,114.249015808,111.659225464,111.591110229,119.794212341,114.468154907,114.083877563,109.97277832,118.764274597,119.827568054,116.447982788,115.258827209,116.606758118,116.106323242,109,110.5
92.4327774048,96.5287780762,96.484954834,93.4811325073,94.0429992676,98.1008605957,95.217590332,93.3121032715,94.8657455444,92.4681777954,91.69896698,89.8247451782,93.5582046509,96.0583343506,93.3345413208,94.0531311035,94.8910903931,94.5476455688,93.7271499634,98.5250778198,93.9916687012,97.4727630615,90.8851776123,91.4152145386,92.7062759399,95.1416397095,91.8073501587,97.6756896973,94.5210723877,92.8074645996,93.1625442505,92.4808502197,92.3266143799,89.5159378052,90.8058166504,92.2958145142,94.0981674194,94.6876754761,93.8973617554,94.3822021484,112,91.4375
