keras_MAE2_relu0,keras_MAE2_relu1,keras_MAE2_relu2,keras_MAE2_relu3,keras_MAE2_relu4,keras_MAE2_relu5,keras_MAE2_relu6,keras_MAE2_relu7,keras_MAE2_relu8,keras_MAE2_relu9,keras_MAE2_relu10,keras_MAE2_relu11,keras_MAE2_relu12,keras_MAE2_relu13,keras_MAE2_relu14,keras_MAE2_relu15,keras_MAE2_relu16,keras_MAE2_relu17,keras_MAE2_relu18,keras_MAE2_relu19,keras_MAE2_relu20,keras_MAE2_relu21,keras_MAE2_relu22,keras_MAE2_relu23,keras_MAE2_relu24,keras_MAE2_relu25,keras_MAE2_relu26,keras_MAE2_relu27,keras_MAE2_relu28,keras_MAE2_relu29,ID,y
111.109573364,101.393684387,103.690032959,106.07195282,114.121742249,113.517745972,107.723487854,109.385398865,114.086303711,108.008628845,113.828369141,111.937988281,108.752227783,108.845275879,106.227859497,115.794769287,107.828430176,106.711143494,106.915596008,108.511901855,110.579368591,111.762176514,108.83506012,115.428619385,109.304496765,110.285636902,104.600563049,111.534233093,106.552444458,111.573509216,7762,118.86
91.6527023315,90.8491134644,90.1405792236,89.1077957153,92.7719802856,87.4004211426,92.9181213379,89.3735046387,93.8501739502,91.4501724243,92.745475769,92.9183502197,95.4641571045,89.5849075317,90.1689758301,90.683052063,91.8266372681,92.803527832,93.0149917603,93.0400466919,92.7096862793,93.1884078979,90.0839004517,89.2205047607,88.1056976318,90.1816864014,92.9774932861,93.7338027954,91.5841445923,94.7607192993,1305,90.39
114.583808899,113.352981567,115.091590881,117.628501892,121.555793762,114.619087219,114.892990112,114.34249115,114.254104614,112.1145401,115.670715332,111.788864136,118.545761108,112.573410034,111.321044922,117.762321472,110.085334778,111.312934875,114.38999176,109.706199646,114.024040222,113.94984436,114.704231262,120.086753845,117.147109985,117.124221802,121.981796265,116.419082642,113.555763245,117.773139954,8244,117.85
92.3176956177,94.6227798462,93.5663757324,92.0468292236,93.4564056396,91.8250732422,92.4289703369,93.548286438,90.7344512939,89.8653411865,92.6933288574,91.5140991211,90.3902511597,92.0528717041,92.3180389404,88.2231140137,95.1800689697,90.6523513794,90.3048477173,91.2317733765,91.7618942261,91.4240570068,90.8165817261,89.0150909424,92.8386383057,90.3782653809,92.5192108154,100.400260925,91.1005630493,93.5114517212,5064,85.13
79.6575775146,78.346206665,75.6070632935,79.6325149536,77.6740951538,76.0222167969,75.9036941528,76.0045089722,69.049949646,77.7803115845,79.2757720947,76.0804824829,75.8553848267,78.2784881592,77.464050293,74.2641372681,75.1582183838,80.264831543,76.3994522095,74.9731826782,75.8448638916,74.4648971558,75.7525634766,76.9185256958,72.1483154297,77.7771759033,76.0304260254,78.80859375,79.0530090332,79.890296936,2524,78.45
111.446311951,110.178009033,112.85358429,109.607948303,114.592567444,106.441268921,107.231086731,107.858207703,109.734222412,111.066467285,115.386901855,110.802474976,105.090538025,109.89037323,108.555793762,114.81893158,111.33821106,110.892227173,106.720626831,107.361984253,111.678771973,113.376228333,111.113807678,115.288711548,112.444160461,112.860572815,114.838928223,111.069351196,110.73878479,110.898391724,1657,110.64
112.416526794,113.106330872,106.358100891,110.737297058,117.03302002,107.111801147,106.300125122,104.739906311,106.795684814,109.349700928,108.109527588,107.500335693,106.839569092,111.525878906,108.183120728,107.248947144,104.627502441,107.928474426,110.369621277,111.622924805,108.077735901,107.913024902,110.650871277,107.22743988,111.323066711,111.274406433,109.650604248,106.594032288,109.30997467,115.556518555,4553,112.41
94.5298843384,91.0057144165,88.4452896118,92.8765487671,93.8569793701,92.6323623657,91.1930847168,90.7414932251,92.025062561,93.7765808105,93.647315979,90.0872802734,90.0455474854,92.5302276611,93.7431259155,93.1602783203,91.1815261841,88.6544036865,91.4327545166,92.0668563843,92.6146011353,89.0683670044,93.51146698,92.7661590576,87.3467483521,91.7386856079,97.4852905273,91.9676437378,92.7599487305,95.8431625366,615,94.85
100.403434753,102.923667908,102.797012329,100.201141357,96.3459320068,108.26083374,101.456413269,99.781829834,99.081199646,100.277450562,105.497756958,104.55128479,101.125595093,102.298316956,99.7528915405,98.4069747925,101.967689514,101.701004028,99.4741592407,99.376625061,100.764915466,103.276542664,100.272361755,96.6362304688,100.293388367,96.3083572388,99.8075714111,101.748817444,101.398086548,101.438858032,2418,101.18
98.1739730835,105.270896912,107.285705566,103.141021729,107.777816772,99.9275436401,105.510398865,104.632804871,101.487876892,101.445121765,100.828094482,97.953414917,102.40688324,106.265907288,103.783866882,105.600662231,101.470046997,97.6693649292,100.263114929,102.354034424,101.513404846,102.57308197,107.052764893,101.600357056,102.203666687,104.075637817,105.434577942,104.412780762,106.157966614,103.14516449,2457,101.64
110.145515442,113.849754333,115.252113342,115.489189148,113.252655029,117.331077576,111.992462158,112.568817139,107.966255188,114.368301392,120.921340942,116.236831665,113.777053833,115.110023499,112.704307556,122.064102173,110.326858521,111.552078247,113.202003479,110.908554077,113.812080383,118.289611816,113.148971558,120.684768677,117.17036438,123.317298889,108.60243988,113.742683411,111.786750793,115.243965149,4760,118.85
91.4613418579,98.1798171997,91.9942932129,90.3899230957,94.1349639893,94.5241699219,92.1987838745,92.6215515137,96.2954330444,87.7225341797,91.3479537964,90.8478851318,95.106628418,91.6236572266,95.1734313965,91.2215652466,95.2400436401,101.993423462,90.6775283813,92.5337905884,95.9412231445,93.9893569946,92.5234832764,89.4438934326,89.4981918335,95.0344924927,90.9027709961,91.9615936279,94.4513092041,92.9423828125,4828,89.91
91.7947158813,98.0999755859,93.1799240112,91.1824264526,95.7978897095,92.0677032471,88.0881500244,95.4383544922,90.4075546265,91.6089019775,95.6256790161,92.4172668457,98.3436203003,91.7407989502,91.0689849854,93.9563674927,95.0137405396,91.5706100464,91.5280761719,94.0766296387,92.2901000977,90.795173645,93.3764953613,93.5052719116,94.7264938354,92.8719711304,92.1324996948,96.2617950439,92.7726745605,94.8452835083,6558,90.79
91.3099136353,91.0070114136,92.7938842773,94.5224761963,88.9668273926,94.5749359131,92.1282958984,88.7506866455,91.6255569458,91.0773010254,95.9139175415,91.1482849121,95.1109085083,94.1586914062,96.0655975342,94.2576828003,90.2949447632,93.302406311,91.8653640747,91.8539810181,95.7707519531,94.9961624146,93.7259902954,100.375656128,90.3876419067,96.9420394897,92.6395797729,88.7059860229,94.5617446899,97.3207092285,1495,97.99
88.9001541138,91.1985702515,88.0617675781,90.0513000488,93.4322662354,96.1707763672,91.2766799927,92.4627609253,90.7783355713,89.909866333,89.9300079346,93.2393569946,89.3760375977,92.5845336914,92.1852874756,93.0026321411,102.286125183,94.4439086914,95.7656860352,95.1994476318,92.6385116577,91.5989456177,94.6609191895,93.6943206787,95.0674819946,95.8821105957,94.2687454224,93.5823974609,92.5129470825,91.6394958496,7560,90.46
90.5667724609,93.8319702148,92.9146194458,90.7266845703,95.4526901245,96.9631118774,94.244102478,93.4709625244,91.1736526489,90.1133804321,92.9404907227,91.6322479248,91.7097015381,91.6420440674,90.6056518555,90.5095062256,91.7141418457,94.7653198242,94.9925537109,95.8243942261,89.1807098389,91.525718689,92.7069244385,85.4937667847,95.5627670288,87.8722686768,92.4281997681,94.5594024658,93.6854248047,90.9975967407,3026,90.41
75.9643096924,77.3961105347,75.1533355713,75.5676803589,77.0645828247,76.0559310913,74.9810333252,72.1867599487,78.0550918579,77.6964492798,74.1834869385,78.2447280884,75.1201629639,81.6907730103,75.8876266479,74.4698028564,79.2084960938,76.7026901245,76.2582778931,74.5275344849,80.3478927612,74.0902862549,80.0843658447,79.2754440308,70.8757781982,77.4747619629,76.3591766357,79.3102722168,74.2605514526,79.7588729858,2725,75.26
111.232315063,113.80960083,116.406669617,116.917068481,122.408935547,114.672607422,113.263961792,115.300720215,111.669334412,112.695724487,116.102409363,111.794502258,118.962432861,113.150558472,116.604385376,118.305259705,110.575561523,112.184188843,111.58065033,115.886604309,112.138206482,117.599868774,116.431396484,122.129493713,119.156784058,117.249183655,122.665023804,117.139015198,113.992538452,118.453811646,6239,109.18
92.6582565308,91.3301620483,104.394981384,96.6233596802,93.1563720703,93.1964416504,93.585105896,95.8694992065,92.9582901001,93.1498260498,100.699905396,90.9472579956,89.7246780396,93.1247787476,91.3877487183,92.3563232422,101.419418335,95.2131347656,90.0453186035,95.2067947388,101.991378784,91.0462799072,92.7700424194,92.4716415405,90.858215332,98.5122528076,96.9117355347,91.4026260376,93.2449569702,100.502960205,2193,89.74
108.153762817,114.075019836,109.213470459,106.327697754,129.490829468,108.655174255,111.328765869,112.315628052,112.300460815,110.928871155,109.765563965,115.235038757,109.205024719,114.091491699,107.439201355,110.028701782,111.296691895,111.362770081,107.970092773,110.10760498,112.290794373,110.900680542,110.463546753,111.935630798,111.805938721,117.728149414,102.236656189,109.965438843,110.212005615,110.777534485,6710,108.76
108.723182678,109.493370056,117.318138123,108.071517944,109.982658386,113.553764343,110.580688477,108.199653625,112.341026306,110.117881775,105.848083496,112.894042969,106.91632843,110.506126404,107.304985046,115.900444031,107.545570374,109.537689209,107.011459351,108.404747009,113.51663208,106.804931641,112.419944763,117.107460022,110.108894348,114.59286499,102.450408936,110.509078979,110.776077271,112.421051025,3566,109.61
89.4831771851,91.6688613892,89.3508300781,89.3793716431,85.8838577271,96.8163909912,92.7134399414,95.2255172729,91.6945953369,93.9647140503,91.6259307861,93.9906997681,92.2954406738,90.9887466431,89.1433944702,89.205657959,90.8278808594,90.5797653198,91.9560317993,92.626739502,93.2591705322,91.1911697388,91.8284835815,92.7357940674,94.5998458862,93.8030776978,92.6951065063,90.7800445557,91.516708374,91.6414108276,1081,95.92
92.0506744385,91.227645874,91.7684020996,92.9647903442,87.89478302,91.5849151611,91.7450790405,88.9483566284,92.0094604492,91.2990036011,91.6700744629,92.465461731,93.5300445557,88.9913482666,88.4466323853,90.691192627,89.2519989014,88.2511291504,90.022102356,95.015335083,89.4460830688,93.981300354,89.7466583252,91.304649353,90.7728042603,88.8561325073,88.3399734497,92.1728973389,92.6285552979,90.4649581909,5311,84.53
101.777198792,104.934967041,106.71105957,104.880531311,111.455513,99.0686416626,99.9642333984,102.039627075,101.449569702,97.631439209,106.67578125,106.549530029,103.753173828,103.416992188,104.820098877,107.253089905,99.9283294678,105.98134613,105.698478699,99.9930496216,102.93309021,103.524711609,106.806144714,100.01285553,106.478713989,114.258888245,105.38822937,101.1614151,104.945625305,106.917984009,4746,99.82
91.4016494751,94.0236434937,91.9258880615,94.5966110229,92.8146896362,93.7406005859,92.355506897,93.7012710571,90.7317276001,97.2565383911,90.7770385742,89.3062515259,92.2330322266,98.2601242065,90.6850509644,89.9863433838,90.8960723877,90.8280410767,89.4309463501,89.6029663086,91.9216766357,90.8056106567,91.8427352905,90.0706481934,91.3410110474,92.848815918,91.4378738403,90.9004669189,91.866859436,90.6694793701,3265,133.5
89.984664917,88.5193634033,91.7049255371,93.2412490845,95.5598449707,93.2768249512,88.0806732178,94.7816925049,88.9783706665,93.0606460571,90.6041259766,91.6069793701,91.6511230469,99.3526077271,87.9906997681,90.4217224121,88.8999176025,90.75050354,90.4761123657,91.7383270264,92.4131240845,93.5053482056,90.1353683472,91.997177124,91.9055023193,90.0594406128,92.832359314,88.8220825195,90.5591583252,94.3198776245,2903,167.45
91.1822357178,91.189994812,88.9122238159,91.0670318604,93.5620574951,91.4516830444,93.1518707275,93.4758071899,93.2570495605,94.5640716553,94.3447036743,90.8105697632,93.0026855469,92.379119873,93.0645751953,89.1141815186,88.4732437134,92.5313949585,85.1717758179,89.9922943115,86.554107666,92.1133041382,90.5555343628,89.6827316284,90.6376419067,86.2421951294,91.1673049927,91.2334976196,92.5077590942,90.8811950684,7168,93.96
89.9242172241,94.3819274902,92.6893005371,91.7721710205,94.5634689331,96.8326950073,90.5724945068,88.3023376465,89.2078475952,92.8041610718,91.2763290405,89.799407959,90.7645874023,90.6490020752,89.0135421753,89.5043334961,89.9292602539,91.3858642578,92.2317657471,96.7557067871,92.0024642944,92.0629959106,93.5391464233,90.2907028198,92.2610626221,91.0430908203,87.943862915,91.0022964478,90.4583740234,95.6778335571,4407,98.96
92.9982376099,94.4788894653,88.2379074097,96.342010498,94.0323104858,93.4425964355,92.7781295776,92.5490722656,92.5235671997,91.0787582397,94.3700714111,91.4781417847,94.6691207886,95.4793014526,92.4589538574,90.3517227173,94.416305542,91.1560287476,92.7000656128,91.4038162231,87.6640777588,91.0377731323,91.3211212158,89.8798980713,91.6340866089,94.0733642578,95.124382019,92.5059280396,92.2449264526,98.6054840088,2456,91.85
98.5831985474,97.6959609985,98.8029327393,101.618659973,103.294631958,106.213027954,96.6790542603,99.0338516235,103.66999054,107.015083313,108.371696472,104.063766479,99.3090133667,102.020179749,102.844604492,100.062416077,103.28352356,104.969871521,99.0908584595,107.042915344,105.160636902,99.5024414062,104.770095825,103.205696106,106.881652832,103.125045776,103.360450745,99.6062850952,103.091758728,100.325454712,995,116.87
93.1390151978,94.5310134888,90.6388473511,91.9842758179,96.7476501465,91.4787445068,92.9471588135,98.1426086426,93.4188995361,88.2217559814,92.2547454834,91.2633590698,89.6348495483,88.758972168,90.6408691406,92.3686981201,95.2852859497,93.892326355,91.0027542114,91.737991333,92.158241272,94.5482711792,88.8793106079,91.3051300049,93.8894119263,87.8139190674,89.8552856445,90.0625,94.8500900269,94.3867034912,7447,91.65
92.3825378418,90.2704391479,87.698890686,95.4224319458,92.5174484253,91.3602142334,86.6406860352,91.1549224854,86.8138046265,94.6152801514,93.9990921021,89.3574447632,94.9783630371,92.3108978271,91.6732559204,92.8237609863,93.3343429565,92.3785400391,88.4802017212,90.3710708618,92.2595367432,91.6830291748,91.8339309692,90.8384780884,88.4469833374,92.2722244263,93.8528213501,93.4041595459,90.3716812134,93.8684005737,3721,93.78
84.4967422485,77.9724655151,76.4384384155,79.8604049683,76.3541564941,81.1597518921,83.7872924805,82.2370758057,76.2617645264,79.578338623,79.926071167,78.8913116455,78.0943832397,78.5510635376,79.594291687,76.8059310913,77.8610992432,84.4312057495,73.2330780029,77.3433990479,78.9930953979,76.5710678101,80.0480880737,79.2549514771,77.3825454712,80.4473800659,79.178894043,78.0882415771,84.3909378052,74.9764633179,2051,89.65
90.505645752,91.7303619385,88.028678894,93.9769210815,92.1173706055,88.7990112305,87.3609237671,93.7103118896,91.7754516602,94.1351013184,92.8274154663,89.8040618896,89.156036377,92.3526077271,92.6395568848,93.5346603394,90.9887542725,94.3216934204,85.5573120117,87.3938980103,91.3414993286,90.0175170898,96.215057373,96.1200485229,88.8731460571,89.0241928101,93.1976089478,91.6141815186,95.3873443604,91.3466644287,5702,88.03
79.8185119629,75.0298995972,74.6736831665,75.6588897705,73.5114135742,77.2325134277,75.6079025269,76.9404296875,82.1510772705,78.486289978,77.8822021484,73.7951965332,76.2610855103,83.8267288208,79.6629943848,75.4986877441,78.4296417236,75.2813949585,75.4313659668,75.0812072754,74.6002044678,75.7154006958,76.3188247681,78.7656478882,74.5714874268,77.703994751,76.3324737549,78.4861297607,79.2649459839,81.0773773193,6237,73.52
112.243270874,107.242530823,107.663192749,112.198066711,110.68119812,109.813850403,107.170120239,109.277061462,110.359092712,110.973747253,113.098518372,111.088226318,111.37902832,112.369621277,110.580947876,106.407501221,111.329162598,110.040138245,110.497756958,107.409584045,107.137756348,109.747200012,109.236274719,110.95211792,110.152732849,110.914535522,102.434417725,111.306114197,112.130157471,107.45401001,6256,114.63
95.8778381348,96.0482711792,90.0311050415,92.5119552612,93.7912750244,89.0197143555,94.1023178101,98.0161132812,92.3236923218,92.8752441406,94.5115814209,96.1896514893,95.868598938,93.4890670776,94.0391693115,92.1398162842,93.2195053101,93.0368728638,90.2780532837,93.779586792,97.1407089233,93.4582290649,91.8192214966,94.5486755371,93.2558441162,92.797164917,94.6006774902,102.462242126,93.4431838989,96.0029220581,5040,103.36
99.0032806396,100.535804749,95.5591506958,98.6253128052,110.304611206,93.9227752686,99.7810592651,97.4833374023,101.05821228,93.3109130859,95.5076904297,99.7457122803,104.84803009,98.4876861572,101.781944275,97.8310546875,101.728065491,103.166038513,100.769569397,95.3680877686,101.626846313,99.7555389404,103.943321228,98.0188369751,102.024040222,100.393028259,98.3301467896,97.8516464233,101.108932495,103.347419739,5916,96.48
100.505577087,94.6041717529,94.0823822021,94.9124221802,94.8301239014,92.2946395874,99.5246810913,91.932510376,94.5411148071,94.5138244629,97.0467376709,91.6890487671,91.9245147705,89.0667953491,90.9950408936,97.7998809814,89.3817520142,91.0592803955,93.9090881348,92.48802948,88.4352111816,93.2401885986,91.117515564,92.5550765991,96.0070037842,94.7315979004,90.5760955811,95.3183517456,93.7101974487,93.2000198364,5066,93.06
97.6981811523,104.837738037,98.8821716309,103.336990356,99.5115737915,98.2451248169,102.477790833,98.2905883789,103.670181274,102.804130554,101.599998474,97.0470962524,102.650215149,100.435951233,98.4298324585,99.4001617432,100.499610901,102.484893799,101.027961731,101.066810608,103.543579102,102.557556152,105.807189941,101.5495224,106.261711121,102.072891235,97.655090332,104.80292511,100.745956421,101.508087158,2290,100.16
80.6476593018,77.0717849731,75.5892562866,68.8315734863,83.0416259766,77.0529327393,83.7903137207,72.0145645142,77.9486618042,75.8600845337,79.5540542603,80.3004150391,75.8857650757,83.0515441895,71.5189590454,76.7834777832,76.3120956421,80.7000198364,77.0393218994,74.9269485474,78.794090271,74.8929367065,80.3065643311,77.548210144,75.7108840942,74.9073257446,76.9224624634,78.4771347046,79.1328887939,80.0734863281,4572,104.65
90.0456924438,91.0039596558,95.4796447754,89.5989151001,93.0681610107,88.450668335,88.0756149292,86.6896438599,91.4589309692,89.9224777222,90.9779510498,90.404914856,92.5783843994,90.2651443481,97.3838424683,96.4221115112,90.0482406616,91.5628509521,89.8029327393,90.8446960449,91.4746322632,94.2127609253,89.659286499,94.217300415,91.9265823364,89.9099502563,94.2895126343,88.4435043335,90.7120513916,91.502456665,6982,90.2
112.888725281,112.227996826,106.083137512,110.650085449,128.930557251,106.786064148,107.984031677,108.627868652,110.705337524,109.420196533,108.315673828,109.356658936,108.401184082,113.853858948,106.478927612,116.445709229,103.721817017,110.027183533,108.409606934,111.52167511,110.050918579,111.531204224,110.898246765,114.743728638,107.525856018,112.623519897,111.118286133,111.112632751,108.516090393,116.155532837,477,108.46
90.8181533813,89.5781478882,88.4368286133,94.6690826416,93.4732437134,91.4843139648,90.2186508179,93.4383926392,88.2328414917,88.6292724609,92.9206848145,88.9762268066,93.6005935669,90.2141418457,89.4391098022,89.3040924072,90.8959274292,90.7631530762,91.7674865723,89.7696533203,86.4418258667,86.8438873291,88.840713501,92.1089401245,87.2925491333,86.5920944214,91.6091537476,90.6338272095,91.1103439331,90.2101287842,4517,99.15
95.0659408569,93.9691696167,95.0453643799,90.3958053589,92.4854125977,100.211074829,91.4923706055,91.1017608643,93.5749282837,90.6964492798,92.3766784668,89.8152542114,93.2550582886,92.5865783691,94.6926574707,91.3110733032,90.6410064697,92.3483352661,92.9516372681,90.3028564453,88.6171340942,90.3721542358,94.6219177246,90.4638442993,90.8747940063,91.4525680542,92.1115875244,96.5469055176,93.5424194336,90.7317886353,1724,91.11
96.4184570312,104.633590698,93.2070007324,99.0466308594,92.9343032837,101.797683716,98.5901107788,101.060447693,100.767303467,93.753944397,101.078674316,103.583465576,95.8111419678,96.8404922485,100.902992249,101.733840942,101.027351379,99.1950531006,97.8869552612,100.199493408,97.8102645874,101.396331787,103.224990845,98.3844528198,101.871360779,103.320770264,100.709465027,97.9428405762,101.970588684,99.7237701416,5041,99.27
91.8229904175,94.1007537842,95.318611145,89.6833496094,92.4264297485,90.9531555176,90.0874633789,90.2977600098,90.9608917236,88.8610153198,91.6218795776,91.4954986572,91.7105255127,97.0439147949,92.4468383789,88.8690414429,88.9288330078,91.3233566284,91.5480041504,91.4460144043,91.6390991211,89.0282211304,89.5081329346,90.2450408936,90.4418029785,93.6491851807,90.2422485352,88.4493560791,92.1042480469,95.3054122925,8119,87.33
103.500144958,97.6633148193,98.5233612061,102.179885864,104.755500793,106.92539978,104.939231873,103.525787354,97.8161087036,98.4568481445,106.580055237,101.080879211,100.829414368,101.870109558,102.779647827,104.34147644,103.649246216,102.065574646,104.860961914,102.584823608,101.190200806,108.567199707,107.562080383,109.028770447,104.125648499,102.366294861,106.100700378,97.9111022949,105.06716156,100.527999878,4410,100.67
101.985939026,105.353439331,96.6410217285,101.67829895,107.339744568,105.070831299,101.469009399,105.812301636,104.63910675,103.877113342,103.980316162,99.0584259033,98.3449859619,104.004264832,103.229248047,102.752494812,101.561759949,99.4516525269,97.7113494873,103.828933716,104.929176331,99.2678375244,103.865989685,103.540588379,101.787796021,105.223526001,103.376609802,99.6153106689,104.485046387,103.256210327,7241,98.16
79.3250350952,77.1274642944,74.719543457,69.166885376,72.3640441895,76.3009262085,78.2613067627,76.0037689209,69.3226318359,73.6457977295,78.0119171143,76.2617340088,76.5717086792,81.9198303223,77.3562469482,75.0933914185,75.8172454834,76.6625442505,76.5410919189,75.5891418457,76.1373596191,75.1365509033,76.0486297607,77.1259155273,71.1962203979,76.6991195679,76.6924743652,79.2624511719,74.3558425903,79.7789077759,7694,78.1
105.674438477,110.553543091,106.895721436,110.031333923,110.549064636,101.556732178,109.358566284,109.289894104,108.777893066,109.129325867,109.101715088,110.39932251,107.129936218,108.422721863,105.216362,104.935836792,108.931121826,108.979667664,107.027404785,110.481842041,106.789253235,109.003570557,108.751197815,110.01889801,105.090362549,104.608261108,109.536193848,104.776374817,106.360809326,106.784912109,2472,109.91
78.9908065796,77.7457046509,75.4632644653,69.6329727173,81.1440200806,74.9782867432,82.865234375,81.9238739014,78.1078567505,77.4928588867,79.9341430664,79.2974700928,75.3654785156,77.0769958496,76.0165176392,75.9219589233,77.5948257446,78.051651001,73.2968673706,74.8716049194,79.0169219971,74.4777069092,76.8272857666,79.0119400024,76.1842727661,74.5847854614,76.1142120361,79.2488555908,74.6667556763,78.3745193481,4696,80.29
91.8212203979,88.2276763916,93.6080474854,90.8275222778,86.5566635132,89.2845916748,90.0888442993,89.2202224731,91.0032272339,90.6668395996,90.6697769165,92.3735733032,90.5251693726,87.0408859253,86.4651031494,91.6789703369,91.7888870239,90.7852859497,90.829284668,94.8533248901,91.7284011841,92.9879379272,93.6187515259,90.7474594116,93.217666626,95.3273239136,90.8279418945,90.6072235107,90.7796554565,92.6085205078,141,87.75
76.6127548218,78.0266113281,75.1353912354,69.4491577148,81.8244171143,76.7015228271,78.537399292,82.3867645264,69.392791748,73.814666748,78.6268920898,78.8259811401,75.7691955566,82.2677993774,69.322593689,74.9987487793,73.6240158081,76.4686660767,74.7551727295,74.6419448853,79.8127822876,74.1662521362,76.1712112427,81.4498901367,74.1884307861,76.4239501953,76.352897644,79.1923751831,74.3624191284,72.2699813843,8060,74.75
