predM0,predM1,predM2,predM3,predM4,predM5,predM6,predM7,predM8,predM9,ID,y
91.3338241577,92.1927566528,91.3948364258,92.0869827271,91.6592102051,91.3195419312,91.8795318604,91.1632385254,91.9206619263,91.1960983276,6259,94.82
77.3089141846,77.7052001953,77.4241256714,77.3546905518,75.8715744019,77.9117431641,77.287612915,77.3103256226,78.1351318359,76.6839294434,7785,75.39
92.3042221069,91.3480758667,91.5975494385,91.0432281494,91.9991378784,91.8757247925,92.0199508667,91.5882720947,90.2348480225,91.4220962524,1776,93.02
91.263633728,91.350112915,91.6002655029,92.0868606567,93.0256118774,91.1397018433,92.022315979,91.6050796509,91.8327178955,91.377494812,815,98.01
90.960975647,91.9667205811,91.8846893311,91.9356994629,91.2371673584,91.8769302368,91.8080062866,91.5934753418,91.5392150879,91.5320968628,6960,89.94
105.246101379,100.854423523,101.116966248,101.445831299,100.909545898,100.703521729,103.696762085,100.752441406,103.347312927,101.651123047,2125,99.58
110.323989868,109.944511414,110.319694519,110.302947998,110.178504944,110.319038391,110.072898865,110.473350525,109.960586548,110.473731995,5856,116.39
110.679946899,110.242050171,110.533615112,110.30216217,109.718589783,110.896232605,110.688079834,110.473114014,109.962020874,110.476478577,6667,110.14
109.8539505,109.839546204,110.662849426,110.738990784,110.256576538,110.296325684,110.448944092,110.473472595,110.297691345,110.883407593,6598,107.87
93.4137420654,94.4454574585,97.7073822021,91.9128799438,93.0066680908,93.5676879883,91.7978286743,91.9129104614,97.8919830322,92.4160079956,1291,93.62
110.327255249,109.945747375,110.319793701,109.931175232,110.949111938,110.317749023,110.615982056,110.473365784,109.960227966,110.654975891,6520,107.05
91.2274932861,91.7079467773,91.0856933594,91.9315261841,91.2364807129,91.953338623,90.6278533936,91.1786346436,91.9283752441,91.1709518433,625,89.41
91.1740264893,92.5479354858,91.6069793701,91.9402084351,91.8620910645,91.8771438599,90.8131713867,91.1899108887,91.5413360596,93.0014572144,3362,98.07
92.0807266235,92.1843719482,91.606086731,92.0860748291,91.6541595459,92.0634307861,91.8050384521,91.2068481445,91.539894104,91.4207839966,3057,101.0
91.5623931885,91.6343841553,91.6058731079,91.9320831299,91.9986419678,91.8748703003,91.9329147339,91.9085006714,91.9289016724,91.5376815796,1688,91.21
110.327812195,109.838867188,110.659172058,109.930831909,110.992881775,110.712135315,110.152229309,111.011741638,111.081893921,110.656768799,924,107.86
110.774635315,110.750679016,110.535308838,110.697097778,110.178016663,110.317901611,110.664787292,111.004043579,109.963249207,110.474411011,4306,113.75
91.3769378662,91.3505859375,91.215461731,91.8448181152,91.6716079712,91.8767852783,92.0203552246,91.179145813,91.935798645,92.3877105713,4182,91.63
110.6796875,110.905853271,110.127464294,110.204742432,110.178688049,110.895973206,110.616455078,110.552497864,110.111351013,110.883255005,5775,108.75
90.9483795166,91.7309494019,91.2116088867,92.0811233521,91.9985198975,92.0396728516,92.0138473511,91.9107971191,90.0258865356,91.5306930542,4502,96.77
91.3734817505,91.3900909424,91.881942749,91.9387969971,91.2400741577,92.4426574707,91.0833511353,91.2913970947,91.928604126,91.2193984985,1660,97.32
76.5159683228,77.4669494629,77.4240570068,76.5820770264,77.5922088623,75.660736084,77.2856063843,77.6184616089,75.3366546631,76.6866378784,6093,81.06
110.327835083,109.839744568,110.662315369,109.931091309,110.256904602,110.896240234,110.072265625,110.54875946,109.782867432,110.476737976,8284,106.3
109.854049683,109.945838928,110.319709778,110.697059631,110.256546021,110.134147644,110.062210083,110.54485321,111.003128052,110.88369751,4471,108.96
91.3778381348,91.7110748291,92.2858734131,93.8341674805,94.3939361572,91.8774490356,92.2459335327,91.1928405762,91.5445175171,92.4146194458,527,91.22
91.5626373291,91.8364562988,90.9960632324,92.087020874,91.2419509888,92.0465316772,91.8076934814,91.2129058838,91.9348144531,91.2136917114,6783,92.73
91.3780899048,92.194480896,91.606300354,91.1116867065,91.9038162231,92.4516830444,92.0230712891,91.2934875488,91.9353485107,91.1884002686,6200,90.54
109.854034424,110.750617981,110.661560059,109.931083679,109.718673706,110.711288452,110.45135498,110.473228455,110.111587524,110.475799561,1132,108.32
109.852592468,109.838798523,110.036773682,110.740013123,110.25693512,110.318031311,110.688102722,110.059761047,111.083572388,110.88104248,6826,109.64
77.0879974365,77.4668045044,77.2280960083,77.6922225952,77.274772644,77.2001342773,77.9437484741,77.6189956665,78.1359176636,77.6722412109,1342,74.2
109.774490356,110.902648926,110.320022583,110.20489502,110.178871155,110.133995056,110.073684692,110.090484619,111.086639404,110.656234741,4369,117.49
91.5611190796,91.3681945801,91.8292770386,91.046081543,91.6709060669,91.8771362305,91.8078765869,91.8246459961,91.9334564209,94.7733688354,5179,95.58
91.377746582,91.6979675293,95.6901168823,92.0293197632,94.4396972656,91.8771972656,91.0835571289,91.5554199219,91.9289703369,93.3057937622,699,91.62
101.114883423,103.40372467,101.074035645,101.178344727,101.407157898,101.802711487,100.653610229,99.8767089844,102.658241272,101.042144775,2099,100.55
109.852279663,109.945823669,110.112258911,110.696784973,110.992118835,110.295783997,110.152534485,110.473449707,110.291503906,110.863975525,2938,114.92
110.67956543,110.903648376,110.662902832,110.204856873,110.178977966,110.31955719,110.616516113,111.01574707,109.961074829,110.656105042,4847,136.56
91.2157897949,91.3505935669,91.2175216675,91.1957550049,91.2396240234,91.940788269,92.0222854614,91.834602356,89.9677276611,91.1688613892,7111,97.12
91.0246887207,91.7113265991,91.6040267944,91.9124069214,91.6714248657,91.3352279663,91.6889419556,91.193145752,91.9005661011,93.297668457,6808,94.1
91.2559204102,91.3504333496,90.9826202393,91.0382766724,91.9824752808,92.4398880005,90.6311340332,91.1925125122,91.9284667969,91.3783187866,4535,92.21
91.5629730225,91.836807251,91.8291473389,91.0849456787,91.9200515747,91.8776168823,91.808052063,91.9123001099,91.9290618896,91.5396957397,5228,89.37
91.377456665,91.3518829346,91.9979324341,92.0576324463,91.6573028564,91.8741836548,91.9373168945,91.1806564331,90.8257751465,91.2139434814,6167,107.75
110.327095032,110.241279602,110.121696472,110.30355072,110.25655365,110.317405701,110.687400818,110.08215332,111.013282776,110.474205017,4874,107.03
92.3229217529,91.8366241455,91.8292770386,91.9404754639,91.2560424805,92.0694961548,91.9582901001,91.2953796387,91.9351043701,91.6616897583,6948,89.19
109.774581909,110.750679016,110.320343018,109.931236267,109.718666077,110.895629883,110.451080322,110.0832901,111.090705872,110.883750916,3100,108.94
91.3771362305,91.7106170654,91.828453064,92.0863342285,92.6150894165,91.8751144409,90.6450576782,91.1725463867,91.8334503174,91.5438537598,684,98.52
92.2744598389,91.7114944458,91.8854598999,92.083114624,91.8583908081,92.4130783081,92.0226745605,91.8305130005,90.8161087036,91.6028060913,4641,92.79
109.744148254,110.241950989,109.052536011,110.195495605,109.718704224,110.892601013,110.685890198,110.651687622,109.767921448,110.423774719,7223,115.04
91.3778839111,91.7752914429,94.0922088623,92.086555481,91.9989013672,91.8772201538,90.6513900757,91.2968444824,91.8336791992,93.1596679688,5354,88.82
91.3759384155,92.1888504028,91.6064376831,92.0846862793,91.9986724854,91.8759689331,91.8081970215,91.194480896,91.9286193848,91.3776855469,7371,93.71
109.853866577,109.944625854,110.122848511,110.303398132,110.987579346,110.708259583,110.615692139,110.541366577,111.086471558,110.862014771,3888,118.27
77.3508758545,77.8136367798,77.2291870117,75.6040420532,77.1959457397,75.6463851929,77.567741394,76.1440048218,77.7117996216,77.4445571899,4110,77.16
109.85358429,109.934738159,110.036331177,110.205162048,109.835983276,110.896224976,110.450538635,109.993927002,109.782409668,110.473487854,1782,112.38
91.3770294189,91.3501815796,90.984703064,91.8530044556,91.9124450684,92.0611038208,92.0225296021,91.2955322266,91.9268112183,93.1968383789,6408,93.24
91.3777923584,91.3658065796,91.045249939,91.9404754639,91.2384109497,91.8779754639,91.0872497559,91.2015686035,92.5303344727,91.3767242432,411,96.16
92.191444397,91.8300628662,91.0880737305,92.0848693848,91.9158554077,92.4546508789,92.0154342651,91.1716690063,91.5408630371,91.5315246582,6769,89.88
110.327987671,110.75113678,110.652679443,110.734016418,110.178878784,110.877510071,110.152084351,110.652618408,110.111236572,110.656440735,7746,112.32
91.5484390259,91.3485107422,91.2155227661,91.0320281982,90.4262466431,91.1351394653,91.0764465332,91.2947235107,91.8321533203,91.172416687,5651,95.71
103.067459106,100.741470337,101.110626221,102.076698303,100.904396057,100.954956055,100.104576111,101.158058167,102.34992981,101.343765259,3785,115.83
91.3778457642,92.1933135986,91.8865966797,92.0873260498,91.6711654663,92.0663299561,91.1044540405,91.1909484863,91.9289703369,91.4134140015,5980,91.74
109.774650574,110.75138092,110.127319336,109.930915833,110.992546082,110.134277344,110.616569519,110.551460266,110.110824585,110.864570618,3182,113.75
90.9575805664,91.7104415894,91.8864440918,91.9390106201,91.9981231689,91.871887207,91.9277877808,91.2952194214,91.5413894653,91.1822433472,6227,98.31
91.5419616699,92.1942214966,91.8175964355,91.2563095093,92.0839767456,91.1288070679,92.0071487427,91.2002487183,91.8328704834,91.1734237671,6075,94.27
91.5624313354,91.9408340454,91.8853302002,91.0472488403,91.9983444214,92.4575805664,91.0999298096,91.9134674072,91.8329162598,93.3005065918,2136,90.7
91.5445022583,91.3493652344,91.6069869995,92.0893630981,92.6549682617,92.0459823608,91.1305236816,91.9070205688,93.0639648438,91.4200439453,4941,87.97
110.679649353,109.945205688,110.319725037,110.696731567,109.718635559,110.134361267,110.450698853,111.011558533,111.092956543,110.863983154,4414,109.01
101.092636108,103.05859375,101.44316864,101.480461121,101.435005188,101.799324036,102.508628845,100.563705444,100.993392944,101.680023193,8120,118.41
91.5669937134,92.4295730591,91.8290557861,94.0211868286,91.671585083,91.4273681641,91.8078613281,91.8580093384,91.5425186157,91.1888427734,1071,97.57
91.3783340454,91.8196640015,91.8854446411,91.6924438477,91.2690200806,91.1351318359,92.0197219849,91.2919998169,91.5405807495,92.6078033447,2165,89.02
101.702186584,100.75970459,101.426712036,101.444618225,103.001556396,101.05040741,100.592422485,100.812049866,103.646972656,101.348884583,3251,109.37
100.76537323,100.844017029,101.066749573,101.806838989,102.089195251,101.030654907,102.312889099,101.649452209,102.052818298,103.234481812,4165,98.94
91.7326049805,91.7221069336,94.0977172852,95.2665100098,94.2750778198,107.145492554,96.1130065918,91.1849822998,91.9140777588,91.9404983521,5558,103.77
92.0782928467,91.8350982666,91.8839950562,91.7032089233,91.8955307007,91.140586853,90.6322021484,91.1919021606,91.8327636719,91.1710662842,6346,88.78
91.3764266968,92.1386947632,91.8845672607,91.0358886719,91.9192810059,91.278793335,91.8078765869,91.5916595459,91.5396347046,92.0031738281,5902,99.26
91.3780441284,92.1969451904,91.8835067749,92.7666320801,91.999206543,92.0675048828,91.9441299438,91.2011642456,91.9338531494,91.3773498535,661,93.08
91.3777923584,91.3659210205,91.6059799194,91.940071106,91.9990539551,91.1380691528,92.0235595703,91.177772522,91.9284973145,91.5478286743,1845,91.78
92.2437591553,95.3635406494,91.8295822144,92.3478164673,91.916015625,91.2174835205,94.3494186401,91.1960830688,91.8370361328,91.549118042,1370,91.44
91.377494812,91.8319396973,91.2254104614,91.0336456299,91.9174423218,91.140083313,92.0161056519,91.5889053345,91.9283752441,91.1736679077,4004,95.33
91.3136749268,91.3647537231,91.9136047363,92.0858001709,91.2647247314,92.065574646,92.0216064453,91.2952804565,91.9287643433,93.2205047607,175,101.59
100.78263092,101.437454224,100.981582642,100.401329041,100.898651123,103.044517517,100.591781616,100.754096985,103.362663269,101.042007446,4454,109.65
91.3770675659,91.711479187,91.8282089233,91.0330276489,92.7951202393,91.1355819702,90.6652984619,91.2002487183,91.5395736694,91.5323944092,3854,89.09
91.1952896118,91.7090835571,91.0231018066,92.0852890015,91.6715927124,91.7918930054,91.9287033081,91.5901489258,91.5413208008,91.142616272,6270,88.73
92.3565292358,91.7126922607,91.6026382446,92.0873260498,92.4930496216,91.1299362183,91.8076248169,91.201789856,91.8285217285,91.1710662842,3366,92.35
91.2464141846,91.3686218262,91.7118453979,91.3637008667,91.6240921021,91.1378250122,91.8049697876,91.6043930054,91.9287261963,93.0612945557,2879,89.26
109.851951599,109.838890076,110.116317749,109.930938721,110.992965698,110.319381714,110.152290344,110.082946777,109.781761169,110.88381958,690,107.16
91.3748855591,92.1851272583,91.8216018677,91.7666778564,92.5513534546,92.0624847412,90.7055969238,91.1809463501,91.5410385132,91.533241272,5549,94.74
110.774414062,110.904426575,110.660453796,110.203582764,109.835739136,110.896286011,110.616470337,110.077980042,110.110786438,110.647613525,700,115.5
77.0878601074,77.8176498413,77.4241409302,77.3532867432,77.591468811,77.4429855347,77.3063659668,77.3102798462,76.3358840942,76.6861190796,3185,72.11
91.572479248,91.3844909668,95.3821640015,92.013420105,91.6715621948,92.4547958374,91.9274215698,91.1807174683,91.5460205078,93.329498291,388,97.81
90.9731826782,91.842918396,91.8957290649,92.0868225098,91.9987258911,91.8765335083,91.0845489502,91.1948623657,91.9286651611,91.4814605713,6742,91.17
110.327842712,109.840339661,110.036384583,110.697097778,110.256103516,110.896125793,110.616340637,110.088745117,109.960357666,110.863006592,3108,114.65
110.327926636,110.903366089,110.53515625,110.303413391,109.718276978,110.708084106,110.073112488,110.08833313,109.782974243,110.651504517,2702,113.86
109.774368286,109.839202881,110.662139893,110.696655273,109.718284607,110.295272827,110.615943909,110.651329041,109.960090637,110.474082947,596,114.34
90.9720153809,91.7107696533,91.8288345337,91.9406967163,92.7299957275,92.0285720825,90.8974151611,91.2930145264,91.9334106445,93.0266265869,7870,92.02
110.775794983,109.944908142,110.535812378,110.696899414,110.25668335,110.712158203,110.688339233,110.652412415,110.110305786,110.883430481,7532,111.91
91.3773727417,91.3503952026,91.8854827881,92.0866394043,91.2409667969,91.875289917,90.6337814331,91.6059112549,90.4326095581,91.5489883423,4887,88.05
91.9766540527,92.1949310303,95.277885437,91.9082183838,92.9474639893,91.3443756104,91.9256820679,91.5954437256,91.4311218262,95.0858383179,2634,92.64
91.3781433105,92.1923599243,91.8291625977,91.9084472656,91.8879623413,91.8772964478,90.6710281372,95.8722839355,91.9287567139,93.7936630249,2875,94.26
91.3793945312,91.7114181519,91.8291549683,92.6155319214,91.671836853,92.6113510132,91.8086395264,95.0424118042,93.1301345825,93.3316802979,5087,91.59
92.3638763428,91.3510437012,91.2336883545,92.0867843628,91.9192962646,91.8758010864,90.8354415894,91.1784591675,91.9276885986,91.3881225586,3700,89.38
109.853889465,109.944992065,110.662750244,110.736831665,110.178985596,110.134315491,110.151947021,111.016830444,109.782798767,110.864616394,5340,112.12
101.068908691,100.702835083,100.980102539,101.445716858,101.420921326,101.794029236,100.590492249,100.412124634,101.016281128,101.241104126,7705,97.32
103.742111206,103.198387146,110.316360474,104.087371826,102.036865234,110.009170532,100.708847046,106.399795532,109.94342041,100.670936584,1041,104.25
92.2699737549,91.3620681763,91.6015930176,91.0367050171,91.6666488647,92.0391998291,91.924949646,91.5897674561,91.8330383301,92.7779083252,8307,87.43
91.5634613037,91.5065383911,91.8848266602,91.9402313232,92.6802368164,92.0589523315,90.6525497437,91.5991821289,91.9348526001,91.4058151245,3157,90.44
109.853507996,110.90447998,110.652694702,110.696762085,110.256332397,110.29486084,110.4506073,110.652984619,109.960945129,110.863960266,6010,111.04
109.774734497,110.75113678,110.534179688,110.204696655,110.178344727,110.895637512,110.687240601,110.544250488,110.298751831,110.655838013,2781,105.96
90.981628418,91.7079467773,91.6045608521,94.9088973999,91.8747558594,92.4462966919,92.0189208984,91.9114608765,91.5197677612,91.1890335083,2078,90.59
91.5601272583,91.3505249023,91.8276977539,91.9337615967,91.9083099365,91.8732910156,91.9344482422,91.8333129883,91.8324127197,90.8556747437,2052,88.1
92.3327178955,91.7079696655,91.8823547363,91.8800888062,94.168258667,91.876991272,91.0867843628,92.2562255859,90.7333145142,91.4278793335,3989,89.65
90.9804840088,91.831817627,92.5693817139,92.0868835449,91.6525497437,92.064704895,92.0149230957,91.6255722046,90.5037689209,91.565246582,5719,92.73
91.3781509399,91.3491897583,91.605506897,93.6749954224,91.6656570435,92.4505310059,91.0849380493,91.8423461914,91.8333587646,91.2418060303,1409,99.22
109.853393555,109.840408325,110.320106506,110.303649902,110.178749084,110.134262085,110.45124054,110.473442078,110.29839325,110.47328186,1058,113.4
91.0663833618,91.7114105225,91.8293762207,92.085975647,90.6426849365,92.4568557739,91.0796890259,91.1904830933,91.9352874756,92.12109375,8329,91.96
110.327049255,109.839889526,110.120193481,110.737976074,109.836021423,110.134170532,110.685302734,110.067207336,110.110786438,110.883674622,4600,125.75
91.3781051636,92.1148223877,91.2152633667,92.0864257812,91.0633239746,91.9851913452,91.9273452759,91.1938323975,91.5412216187,91.5310287476,2169,89.0
109.854118347,110.749771118,110.662940979,110.204048157,110.178474426,110.319107056,110.616325378,111.013175964,110.29876709,110.655807495,3590,107.99
101.466384888,103.685440063,101.073623657,102.7759552,101.410949707,101.778076172,99.6162414551,99.8486404419,103.384117126,100.66242218,2418,101.18
91.3771209717,91.3653793335,91.6064300537,91.7313232422,91.6715316772,91.152633667,91.9349746704,91.3030853271,91.833442688,91.3372039795,5525,100.0
102.994140625,100.791992188,101.080589294,100.379058838,102.870635986,101.784103394,101.505882263,101.15978241,103.411209106,101.034812927,644,102.7
101.712966919,100.685562134,101.173774719,100.377746582,99.8659591675,101.696327209,100.589736938,100.75075531,102.930236816,100.895736694,5812,119.71
91.3793334961,91.3693084717,91.8289871216,91.4022293091,91.9988250732,91.3402252197,91.1469650269,91.2443008423,91.5429611206,91.2141647339,6624,88.68
109.774208069,109.839225769,110.036804199,110.737808228,110.256278992,110.319129944,110.687149048,110.543289185,110.110771179,110.473907471,52,120.77
91.5629348755,92.1963272095,91.8285903931,91.8834152222,92.881187439,91.14012146,91.3771591187,91.1787109375,91.9283370972,93.2878341675,154,89.91
91.25365448,91.8138809204,91.232963562,91.799446106,91.6610183716,92.0561065674,91.0823898315,91.291519165,91.9343261719,91.4733123779,2658,85.92
110.327644348,109.83921051,110.535217285,110.736289978,110.178329468,110.134239197,110.074188232,110.075286865,110.111732483,110.862663269,1558,111.02
