keras_MSE3_None_relu1,keras_MSE3_None_relu2,keras_MSE3_None_relu3,keras_MSE3_None_relu4,keras_MSE3_None_relu5,keras_MSE3_None_relu6,keras_MSE3_None_relu7,keras_MSE3_None_relu8,keras_MSE3_None_relu9,keras_MSE3_None_relu10,keras_MSE3_None_relu11,keras_MSE3_None_relu12,keras_MSE3_None_relu13,keras_MSE3_None_relu14,keras_MSE3_None_relu15,keras_MSE3_None_relu16,keras_MSE3_None_relu17,keras_MSE3_None_relu18,keras_MSE3_None_relu19,keras_MSE3_None_relu21,keras_MSE3_None_relu22,keras_MSE3_None_relu23,keras_MSE3_None_relu24,keras_MSE3_None_relu25,keras_MSE3_None_relu26,keras_MSE3_None_relu27,keras_MSE3_None_relu28,keras_MSE3_None_relu29,keras_MSE3_None_relu30,keras_MSE3_None_relu31,keras_MSE3_None_relu32,keras_MSE3_None_relu33,keras_MSE3_None_relu34,keras_MSE3_None_relu35,keras_MSE3_None_relu36,keras_MSE3_None_relu37,keras_MSE3_None_relu38,keras_MSE3_None_relu39,ID,y
109.020187378,105.78313446,107.611427307,108.405006409,103.085281372,106.943840027,107.302566528,110.151184082,109.169418335,114.014022827,110.929740906,104.37285614,101.819984436,105.356384277,103.642868042,112.629806519,108.256835938,104.334289551,109.597740173,109.448913574,112.216773987,106.511665344,103.865112305,102.583030701,107.289978027,106.889938354,102.00579071,106.979072571,113.479667664,106.234458923,107.796577454,106.433082581,107.980445862,110.824928284,104.046066284,106.974060059,108.6925354,109.340606689,31,102.09
100.072753906,97.0802307129,100.490493774,102.770622253,100.400047302,102.755493164,98.6238479614,97.1053619385,105.311531067,101.465484619,101.800170898,99.1361923218,96.8367996216,106.322090149,98.9548339844,96.6293945312,100.318443298,96.4384765625,104.479377747,101.616333008,101.395309448,102.472145081,98.78515625,95.7844009399,96.1582717896,100.298744202,100.326042175,100.881950378,105.527832031,103.067863464,105.1587677,97.9946899414,105.19103241,106.685066223,100.199035645,100.872253418,99.6311950684,102.935447693,32,98.12
92.6369171143,89.1367797852,94.3432617188,87.2858123779,98.4402313232,99.0954971313,93.2975158691,90.5632247925,95.7089767456,95.0964050293,92.4944229126,89.2108078003,91.9077911377,93.7026596069,91.7771835327,91.9399108887,95.6580581665,94.4761734009,96.5046005249,90.1826553345,94.9591827393,93.3202896118,90.927734375,91.0246963501,90.9935760498,93.7699203491,93.693359375,96.1315307617,100.588989258,96.1276855469,101.854400635,94.0205612183,96.5869369507,91.6348953247,91.2217407227,89.644744873,95.2168731689,91.6191253662,34,82.62
102.714431763,104.391967773,98.6677093506,101.059402466,101.504722595,103.254371643,100.948547363,96.4348144531,105.319396973,95.7731704712,103.426734924,101.239631653,96.5930328369,99.026184082,95.0462722778,95.7908706665,94.8522415161,92.4044570923,102.6431427,104.321228027,101.176338196,104.051040649,97.6229705811,97.6102905273,103.21156311,101.207069397,101.574066162,99.0645751953,97.4257354736,100.334587097,103.333358765,96.5693588257,104.086204529,98.4647064209,98.2262878418,100.078147888,96.6655502319,100.195655823,36,94.12
91.1471939087,93.542137146,98.6658554077,99.2299118042,98.1180725098,97.0887527466,96.3480682373,94.9681549072,96.8647994995,94.0514144897,93.9894638062,89.8340454102,92.1082229614,94.6666183472,91.939239502,91.9998168945,100.330245972,97.3406066895,104.966651917,93.0952148438,103.916038513,92.6573944092,91.725189209,94.2378463745,93.5156402588,88.8623352051,94.9819717407,91.2158737183,97.4547576904,89.8443984985,93.9683456421,94.6869354248,94.3743286133,88.798500061,91.7628555298,97.6792907715,98.1221313477,93.0060653687,37,99.15
90.7342453003,95.8107452393,95.4506607056,96.3854370117,89.7317123413,94.3392410278,99.2056655884,94.648727417,99.95753479,94.8018951416,96.452255249,95.6427993774,94.6013031006,93.37865448,96.6978988647,98.3556518555,96.0344314575,94.6794509888,96.4310913086,88.4002304077,95.224029541,96.212097168,89.7148361206,94.8195266724,97.2169189453,96.3470687866,98.6277618408,95.1109161377,98.1679000854,95.3987731934,91.7765884399,97.2145004272,96.8143997192,98.1016845703,96.651550293,91.4037780762,95.3404922485,95.8403549194,38,93.64
102.714416504,104.391967773,98.6677093506,101.059402466,101.504730225,103.254379272,100.948547363,96.4348297119,105.319412231,95.7731781006,103.426742554,101.239639282,96.5930252075,99.026184082,95.0462799072,95.7908782959,94.8522338867,92.4044723511,102.6431427,104.321228027,101.176353455,104.051063538,97.6229553223,97.6102676392,103.21156311,101.207084656,101.574066162,99.0645828247,97.4257278442,100.334564209,103.333358765,96.5693511963,104.086204529,98.4647064209,98.2262878418,100.078147888,96.6655502319,100.195663452,39,106.1
102.159996033,100.68119812,101.872032166,108.382644653,100.24508667,101.61807251,103.674346924,103.160438538,101.127502441,103.07157135,102.362716675,101.045631409,100.338722229,101.405220032,104.287879944,105.77897644,95.3376998901,98.2547683716,104.144203186,96.670249939,102.47164917,101.823928833,102.09147644,101.782203674,100.09160614,101.183074951,104.050674438,97.2132797241,99.1104736328,100.187843323,105.246505737,93.6690826416,98.981010437,104.514266968,101.36315918,103.705848694,103.399635315,104.575889587,40,114.13
91.2798690796,91.19506073,93.7460403442,94.8346176147,91.6171722412,94.266204834,96.3872146606,96.074005127,94.846321106,96.4076156616,93.4074630737,97.5044250488,89.6069412231,96.5864486694,98.6607055664,89.9800796509,94.5565719604,96.0273284912,95.070602417,91.1528625488,91.9589309692,98.5544509888,95.9594116211,93.5135574341,97.7601318359,93.5801620483,95.073135376,93.199432373,94.2765655518,94.9284286499,86.3858566284,96.8868560791,92.9018249512,93.2393188477,97.2215957642,90.822013855,89.2148132324,89.3130722046,44,89.81
90.2699813843,88.9891204834,89.6190261841,91.6175537109,92.938041687,88.1730041504,94.4332351685,92.0417861938,89.7275543213,93.1182098389,94.8801727295,88.9185409546,94.4360122681,91.1771240234,89.167678833,89.0997085571,86.1215591431,92.2249298096,93.4744949341,89.7449645996,91.9848327637,92.9408111572,87.2979888916,90.469581604,89.4712905884,94.7065658569,95.9468307495,88.5946655273,89.9842910767,91.7573318481,90.5977630615,95.0578994751,93.7224655151,94.5668411255,91.3318710327,92.6320419312,91.749671936,91.909576416,47,90.81
95.9237670898,91.871383667,90.7116622925,93.6286010742,92.2268600464,88.128288269,92.9272003174,89.0875778198,92.3060836792,95.5073928833,93.4364013672,93.3830490112,92.667678833,90.0083618164,92.539352417,93.8061752319,98.302230835,89.7935180664,92.4234237671,91.0721511841,91.9535827637,93.4290618896,94.1234588623,89.9102783203,95.4447631836,91.688621521,91.8168869019,89.3580474854,95.2381820679,89.7746429443,91.1547698975,90.0650482178,94.3156433105,97.7688446045,87.6533966064,94.8218994141,93.7324142456,92.6406555176,48,90.56
97.1872634888,87.7162475586,93.1061172485,94.8414611816,92.9928588867,94.9150161743,93.9016342163,98.2974624634,98.3845062256,93.2971343994,95.3508834839,97.2017364502,94.2114257812,98.6576156616,96.3154449463,92.1292114258,96.0661010742,96.4903793335,96.2852859497,91.1426620483,91.888633728,96.6123123169,92.6021499634,93.0322494507,98.5215606689,92.9668807983,94.4745178223,95.1380233765,90.1660766602,88.5991134644,88.6689529419,94.5056304932,92.8389663696,95.7645645142,97.6306381226,94.9673309326,92.6187820435,94.9519805908,49,94.57
118.64315033,130.546310425,116.327453613,115.850708008,113.488517761,112.28288269,109.101371765,121.265258789,111.581489563,115.831573486,115.145683289,132.806549072,114.316764832,117.252487183,107.893936157,111.818222046,106.454772949,108.997543335,112.863075256,117.174438477,124.054855347,115.954551697,109.803009033,115.88117981,124.311561584,113.004585266,113.800102234,110.233642578,111.819358826,111.971763611,113.843406677,112.993026733,121.741661072,109.04485321,113.737319946,118.47177887,117.193511963,112.391227722,50,108.14
114.900032043,110.834106445,111.483688354,116.197525024,111.542556763,115.659637451,114.634651184,113.946418762,107.061355591,114.847961426,108.130210876,111.01486969,107.257865906,107.7552948,110.877212524,116.151847839,115.061920166,108.693977356,112.647827148,107.045135498,115.266052246,109.67339325,110.993759155,109.302566528,111.089256287,115.925270081,113.825645447,104.906608582,110.814613342,108.722229004,114.198905945,99.8815078735,111.222595215,111.244606018,107.352752686,116.649841309,107.675689697,113.334350586,52,120.77
90.6594543457,89.0546112061,93.5183868408,91.3103637695,91.1933059692,91.9184341431,88.7831115723,92.7201766968,92.7679290771,90.7428817749,91.375617981,94.6944198608,91.6513977051,91.7999649048,94.3002319336,92.2468490601,92.6866455078,89.1910629272,94.2428436279,88.940574646,91.916885376,93.0551071167,96.5870285034,90.2501296997,94.2862548828,88.8339004517,90.9934387207,92.1067657471,86.4244842529,95.565246582,87.5765151978,92.9483032227,94.3849487305,90.8006057739,94.435798645,89.7505340576,90.7805404663,91.0601119995,54,84.84
96.856010437,92.5668792725,93.2996826172,96.6455917358,94.8201828003,90.5355377197,93.4388427734,102.774856567,96.6325378418,96.8190078735,95.6742172241,96.9204025269,92.9533996582,95.3410568237,91.4955444336,90.2174835205,94.991607666,93.1159973145,93.489692688,96.6245117188,95.0338363647,90.8886795044,97.6261444092,93.6737442017,93.854598999,95.874671936,92.5992965698,90.7189331055,92.6138076782,92.3979492188,93.1222381592,94.2772521973,93.0659637451,90.6998977661,91.5373306274,91.6034088135,97.9046936035,95.8528442383,60,93.59
104.157096863,97.8149032593,101.876289368,106.618644714,101.913963318,103.377754211,100.295204163,97.8657150269,106.833976746,103.766059875,107.436637878,102.767410278,102.407203674,104.122550964,101.530776978,105.759223938,104.165374756,104.864463806,108.316818237,96.7129898071,102.674308777,104.449249268,103.118003845,100.823852539,102.578369141,99.4164733887,106.492477417,102.22403717,96.7807617188,104.429267883,107.154899597,99.4449691772,101.78591156,97.9073104858,100.862602234,104.547264099,104.876808167,100.529029846,61,104.07
93.6968917847,92.9069213867,100.361930847,92.8617782593,93.1855163574,93.6716918945,91.6526107788,89.0411758423,99.5434265137,97.0419158936,88.8861846924,97.1541671753,93.1611022949,94.7885742188,89.0704498291,90.9008636475,95.4706497192,89.9334793091,94.0413208008,92.5888748169,98.2898864746,96.2996444702,91.3634414673,93.6991043091,93.8267822266,91.4477615356,96.1876296997,96.5590591431,94.6131439209,92.598487854,93.0676116943,94.5591278076,95.7372894287,90.3304748535,99.1848068237,85.3659439087,93.0258636475,90.8224258423,62,89.37
94.2578353882,96.1857757568,92.5536804199,92.261390686,92.7374038696,90.5585479736,92.6486129761,97.3445205688,89.8096542358,96.5428161621,96.1826171875,94.9843597412,89.9803085327,93.6874237061,92.6184921265,89.575050354,89.1767807007,94.1081848145,92.6704406738,98.1432418823,95.8020324707,95.3246459961,93.7879638672,94.2737731934,93.5356063843,95.7064361572,94.384552002,93.9776687622,92.2013168335,90.9295883179,92.085647583,92.4727783203,91.3001403809,86.9978256226,90.6701431274,92.7658462524,93.3886566162,95.4545822144,66,90.08
114.899963379,110.834083557,111.483711243,116.197525024,111.542572021,115.659698486,114.634628296,113.946418762,107.061332703,114.847885132,108.130203247,111.014854431,107.257827759,107.7552948,110.877204895,116.151885986,115.061843872,108.693977356,112.647834778,107.045135498,115.266044617,109.67339325,110.993759155,109.302589417,111.089241028,115.925308228,113.825660706,104.906593323,110.814613342,108.722213745,114.198875427,99.881439209,111.222549438,111.244606018,107.352783203,116.649787903,107.675697327,113.334350586,67,128.19
76.1136322021,77.1319198608,78.7816314697,81.5106658936,82.4560012817,81.0635910034,79.1460876465,74.9124221802,80.4089889526,75.8021011353,84.0811080933,77.8773269653,77.7514877319,77.32472229,80.5795669556,79.9571380615,80.9921340942,79.3149871826,77.8858032227,77.7778701782,80.3855743408,79.1682815552,80.7112045288,81.4921264648,78.8092422485,78.2397460938,77.2497329712,79.6426544189,78.7257232666,76.8620529175,76.9110488892,79.6386184692,78.2763671875,77.6262664795,79.9183197021,78.7995529175,81.0828399658,75.38671875,68,76.01
111.782440186,109.279594421,111.399581909,115.035942078,106.915481567,106.315437317,106.703910828,110.717895508,110.12096405,116.389427185,109.848144531,105.170524597,112.584938049,105.942504883,113.647903442,104.25151825,114.16986084,110.861824036,112.134963989,111.335548401,112.250534058,107.525123596,108.773727417,117.801925659,108.203437805,111.311981201,110.921913147,113.652877808,111.977790833,116.808410645,108.354652405,107.292045593,113.932090759,109.676116943,106.416740417,107.538887024,115.347763062,106.57183075,70,107.86
114.900108337,110.834083557,111.483665466,116.197540283,111.542579651,115.659675598,114.634559631,113.946464539,107.061408997,114.847808838,108.130195618,111.01486969,107.257888794,107.755340576,110.877243042,116.151931763,115.061965942,108.694030762,112.647850037,107.045135498,115.265975952,109.673454285,110.993774414,109.30266571,111.089279175,115.925361633,113.825813293,104.906646729,110.81463623,108.72228241,114.198814392,99.8815917969,111.222465515,111.244628906,107.352706909,116.649917603,107.675704956,113.334396362,74,106.87
94.2201004028,90.811920166,94.221321106,97.8724975586,88.2977371216,102.12021637,95.6111679077,89.3461151123,92.0887832642,95.8871459961,95.3313674927,96.322517395,95.4077606201,98.0409698486,92.5431747437,100.843856812,99.5287322998,95.0391845703,94.7024688721,89.8720016479,92.7778930664,98.2470169067,94.5506515503,95.3441162109,93.5411682129,94.1840515137,93.8876647949,95.0767364502,97.3528289795,91.3921585083,95.9836502075,100.300857544,97.1796646118,94.2746124268,95.3775253296,94.0996704102,94.7786941528,96.6868438721,75,104.85
114.050117493,121.336929321,113.237808228,116.358802795,109.677322388,114.560493469,113.282432556,115.101089478,116.009490967,116.285560608,112.853286743,111.598747253,113.492927551,116.042480469,115.566322327,105.943237305,112.307785034,111.998733521,119.333427429,116.226585388,119.02481842,118.455123901,107.392868042,109.067237854,116.41973877,114.973327637,113.787528992,116.133613586,121.148551941,116.669174194,115.38483429,117.583961487,117.492988586,116.561813354,111.063850403,122.387741089,112.791404724,111.736213684,79,114.78
92.8417510986,95.9248504639,88.6128082275,95.6113204956,90.9581832886,91.6729736328,96.7355499268,94.4047088623,97.9218521118,94.0250015259,91.8664398193,92.4326019287,97.0244140625,89.8892974854,91.5884552002,93.2705383301,96.4469680786,93.2563400269,94.0235824585,93.1143722534,97.901473999,89.5739898682,92.7585067749,90.8334884644,90.4889984131,94.658996582,96.4178085327,92.9908599854,95.206817627,89.8648147583,95.9373092651,90.2098388672,93.59815979,90.2195053101,88.7660598755,94.4653320312,90.0918960571,94.0151138306,80,91.56
105.338012695,92.5421142578,104.218772888,99.2751464844,104.626861572,101.548217773,99.4438476562,102.991012573,106.835044861,97.5586166382,106.071815491,104.028450012,102.915061951,104.77431488,104.137428284,97.7639389038,100.540977478,104.066886902,99.4587631226,101.751731873,99.1535644531,103.554542542,106.776016235,99.1683120728,104.462608337,108.831848145,100.728309631,106.798171997,102.474334717,98.6346817017,97.5436019897,105.768615723,99.4713745117,99.8654174805,103.681938171,98.6065368652,95.452507019,103.599014282,81,98.16
111.680335999,118.723960876,113.498550415,117.62172699,119.54725647,114.76600647,117.266098022,112.946060181,111.876495361,113.506362915,117.213623047,113.551757812,116.821975708,117.798881531,116.457351685,109.312675476,111.656318665,112.22253418,113.613006592,111.265533447,113.805267334,108.516685486,107.933822632,109.072853088,111.243347168,112.618507385,112.550575256,109.790885925,115.655563354,123.680519104,112.543815613,113.211395264,111.550689697,108.360176086,113.010139465,117.524368286,117.521713257,110.680648804,86,117.31
75.0523605347,77.943649292,77.9617462158,81.4811630249,80.2496337891,84.2887496948,77.8272018433,78.1504974365,79.9182815552,74.8119125366,76.3521728516,75.1499633789,75.3325653076,73.6352462769,82.0985870361,79.3139724731,79.2742462158,72.6049575806,82.4063720703,81.081741333,78.8428115845,76.6781005859,76.5389404297,76.6294326782,77.78540802,76.0425186157,82.031578064,77.4701919556,82.7317047119,75.6428909302,79.782043457,76.2070007324,80.8405761719,74.4265823364,76.4811706543,80.2572097778,75.6093673706,80.0754394531,90,79.0
111.239456177,112.536216736,114.238487244,110.973106384,110.450675964,107.164833069,111.593276978,109.253684998,112.084609985,109.491760254,117.025566101,120.784111023,112.921455383,117.504234314,112.827354431,111.792953491,109.106231689,109.014221191,108.206260681,113.945846558,109.714622498,113.039642334,113.226257324,110.040863037,116.813034058,123.941726685,118.048629761,114.611083984,118.144302368,118.10320282,112.097259521,115.600959778,110.596969604,108.260948181,114.576805115,112.028114319,117.178321838,117.957763672,92,110.76
100.782661438,102.175071716,107.374107361,103.057128906,100.035140991,98.4413757324,100.511535645,105.866081238,97.6412277222,106.652801514,107.968078613,105.608283997,98.7895278931,103.768554688,99.9234695435,94.401550293,104.688240051,105.056060791,108.827507019,106.811050415,107.313987732,100.157394409,103.293746948,101.337036133,100.479133606,109.390830994,95.5974655151,110.134933472,100.980026245,102.510360718,100.583366394,103.549156189,104.077964783,103.435623169,102.572753906,107.448661804,98.5445480347,107.952133179,100,101.44
90.1884536743,96.8852081299,91.838104248,93.2542266846,96.3119888306,95.3190155029,94.8246765137,94.0465011597,92.8869628906,95.1599197388,92.2299499512,93.6604766846,91.1888580322,92.414855957,95.0746154785,92.0947494507,96.2315216064,90.823600769,98.0260314941,89.8024368286,96.8146591187,92.0719451904,94.1701660156,94.5797042847,100.216896057,86.2952575684,99.8396682739,97.7807388306,100.539543152,89.1924362183,95.441696167,100.148483276,94.9983978271,92.1025085449,93.4265060425,98.3901672363,98.0471801758,90.5593948364,102,91.98
100.601173401,96.3952865601,96.2186813354,93.5110626221,95.4997940063,93.1206207275,94.3951416016,94.5115203857,97.4174804688,96.5257644653,93.0288467407,91.0850067139,92.4890060425,97.2532272339,98.7338943481,94.8971328735,99.0773468018,95.8639831543,97.5492706299,93.2029800415,96.5111083984,93.3564147949,91.7643051147,96.946762085,97.2998809814,94.3337249756,98.8209228516,98.8807296753,92.7351837158,90.8611068726,101.831626892,94.836807251,96.8231201172,96.2460708618,98.0662384033,93.9169464111,95.8504333496,93.7718887329,106,98.08
116.324333191,116.524635315,109.340065002,113.633972168,107.342605591,110.506668091,108.136100769,115.839897156,112.673370361,112.891113281,112.467102051,113.704040527,119.580352783,112.691497803,116.522521973,107.224708557,107.584243774,110.818901062,109.999717712,112.055007935,113.764343262,107.898834229,107.113647461,106.12311554,111.305656433,111.698242188,110.742973328,117.271873474,114.025123596,120.791419983,112.217056274,111.542167664,113.34538269,108.75693512,108.46144104,112.919960022,115.688240051,106.942321777,107,139.2
98.2731170654,90.8857269287,87.4648361206,92.4664306641,93.4539642334,90.7170715332,92.5121459961,92.0013046265,93.3913040161,89.6771316528,93.4954223633,87.9937896729,92.0366210938,90.8888778687,93.3341064453,93.9406356812,98.2362594604,92.8359832764,94.2524719238,90.2264251709,95.0514068604,92.4161987305,88.6181182861,94.1619873047,93.9044113159,90.5430145264,95.227142334,87.0669021606,88.5976486206,90.4486618042,93.2814941406,88.6600494385,92.6040649414,91.2969970703,88.4745330811,93.4755249023,93.6452789307,92.4491271973,108,85.44
119.776062012,115.461700439,116.114257812,115.783309937,111.003501892,112.096809387,111.488693237,116.420837402,118.586296082,125.65045166,117.224662781,120.737785339,114.184059143,115.208305359,121.669631958,113.825012207,118.721076965,118.978645325,115.857269287,120.396896362,116.233833313,117.977455139,108.091072083,113.847602844,120.407287598,120.136711121,122.662818909,117.062408447,122.348190308,119.184654236,114.465522766,115.340675354,114.951622009,104.5210495,116.944839478,115.368041992,112.081932068,114.338546753,109,110.52
92.7280578613,95.5504150391,95.9892730713,92.7417755127,98.3595581055,91.1987991333,94.1494522095,96.1948928833,91.3427429199,95.2290344238,95.3054504395,91.5789337158,89.4738540649,94.2940139771,90.6392974854,93.7832794189,88.8981933594,94.0217514038,96.1597900391,94.358215332,94.4389038086,95.5932617188,92.7691879272,94.9131317139,93.0135498047,99.9718704224,99.8206787109,92.7238311768,93.615020752,89.5154342651,93.0690155029,96.1450119019,93.6620025635,94.1994857788,91.986618042,100.607139587,91.7619247437,94.0351638794,112,91.44
99.4510955811,91.1107254028,88.7974700928,92.7682266235,91.7440338135,90.174331665,92.3633956909,90.4499588013,92.9281463623,92.0688095093,93.1572647095,89.4929428101,92.9166641235,96.2757797241,92.9172973633,93.6435394287,98.6149597168,92.928855896,94.0838088989,92.3974075317,94.5341033936,94.7392883301,91.047088623,94.4494018555,93.7121963501,91.8557662964,96.1053924561,89.6573562622,91.4730606079,89.2866287231,97.0146179199,89.2648239136,94.4395828247,93.9982528687,90.5181274414,92.8111877441,95.3335418701,92.9250183105,116,91.52
95.8243331909,97.6356811523,95.8283233643,97.6625671387,92.1593399048,97.0479507446,98.6427536011,93.7860107422,90.5387954712,96.6826934814,100.233161926,100.960388184,94.1940536499,97.1743927002,98.95362854,97.3803100586,97.3259048462,95.2560348511,96.0913619995,97.229309082,98.7176589966,99.7453765869,96.1052627563,94.8845748901,101.368927002,103.334434509,101.964607239,96.1463394165,95.3797302246,107.030906677,96.3061981201,99.1355667114,98.3851394653,97.3504486084,99.6378860474,97.4469985962,99.180480957,98.752281189,118,91.59
107.84324646,114.150840759,106.045059204,111.192581177,107.043624878,106.917694092,102.612258911,110.644180298,106.390632629,107.700660706,111.222175598,103.042823792,104.28754425,102.972541809,99.9052352905,98.0083465576,106.546684265,97.3735427856,109.048469543,109.996032715,112.37701416,112.262382507,101.880905151,99.893081665,108.115104675,105.970603943,108.735466003,106.738685608,102.275741577,108.419448853,105.676986694,115.035415649,102.047576904,104.380691528,103.493919373,108.135528564,107.360572815,101.969963074,119,108.0
