ID,X0y,X1y,X2y,X3y,X5y,X6y,X8y
286,91.88,104.45,91.03,100.175,98.16,101.33,98.84
294,91.97,94.285,93.115,100.175,98.16,99.51,98.215
300,101.26,105.67,105.03,100.175,96.16,99.51,98.47
302,91.85,102.11,93.115,100.175,96.41,99.51,98.33
308,92.55,,105.03,100.175,96.41,,94.09
310,91.84,98.35,93.25,93.59,96.16,100.045,97.95
315,110.03,98.67,104.97,106.555,96.16,98.28,97.03
318,91.64,98.35,93.4,93.6,96.41,98.31,97.95
320,91.97,98.75,,100.175,96.41,98.31,102.0
322,110.36,98.67,,106.555,96.16,99.955,104.73
325,92.34,98.35,93.25,93.59,96.41,101.33,94.26
328,110.1,98.67,,100.105,96.16,95.65,98.28
332,110.1,98.67,105.03,106.625,96.16,98.28,97.03
334,92.55,102.11,93.4,100.175,96.41,99.51,98.84
336,91.88,94.285,105.03,100.175,96.41,95.89,93.77
342,91.97,98.75,91.095,100.175,96.41,98.31,105.72
348,92.53,104.45,,,96.16,99.51,93.77
355,91.48,96.52,96.455,93.6,96.41,98.31,98.47
359,110.325,101.91,93.25,100.105,96.16,98.28,94.26
361,110.03,98.67,,100.105,96.16,101.25,97.555
369,,98.67,,106.625,96.16,99.955,106.005
372,110.255,,95.81,93.59,96.16,98.28,95.75
375,91.88,94.285,93.03,100.175,96.41,99.51,98.215
379,91.84,102.11,93.03,100.175,96.41,100.045,106.005
381,92.55,98.35,105.03,93.6,96.41,100.045,99.365
385,76.805,,,100.175,96.41,99.51,95.22
387,110.255,98.16,104.97,,96.16,99.955,105.905
389,101.64,,93.25,93.59,96.16,93.62,105.72
394,,,,100.105,96.16,100.0,95.75
398,,98.67,,106.625,96.16,99.51,106.005
401,111.42,101.91,104.97,100.105,96.16,95.65,101.47
403,110.255,98.16,108.23,93.59,96.16,98.28,98.04
405,91.64,94.21,105.03,93.6,96.41,95.89,104.87
411,91.88,94.225,105.03,100.175,96.41,95.65,100.68
415,91.37,94.285,105.03,100.175,96.41,99.51,98.16
417,92.58,98.75,105.03,106.625,96.41,101.33,93.96
422,110.255,98.16,93.25,93.59,96.16,101.25,105.67
424,76.805,,,100.175,96.41,99.51,95.22
426,91.37,98.75,93.115,100.175,96.41,99.51,98.16
428,92.55,102.11,93.115,100.175,96.41,98.31,99.365
431,,94.225,,100.105,96.16,100.0,97.72
433,110.03,105.66,104.97,100.105,96.16,98.28,94.85
441,,101.91,104.97,100.105,96.16,93.62,94.26
444,,97.87,,100.175,96.41,99.51,98.84
447,101.25,105.66,104.97,100.105,96.16,99.46,97.91
450,91.48,94.21,93.4,93.6,96.41,98.31,103.54
454,92.58,98.75,96.455,100.175,96.41,94.83,98.47
456,92.53,98.67,105.03,106.625,96.16,101.25,93.77
463,,94.225,93.25,100.175,96.16,99.51,97.85
468,,98.67,,106.625,96.16,99.46,106.005
470,92.34,96.62,93.25,100.175,96.16,98.28,106.005
476,,98.67,,100.105,96.16,98.28,105.905
478,,94.225,91.03,100.105,96.16,99.46,98.28
481,,101.91,104.97,100.105,96.16,98.28,98.39
483,114.83,98.16,115.325,100.105,96.16,99.46,97.555
485,91.84,98.35,93.25,93.59,96.16,101.33,98.84
487,91.64,98.35,105.03,,96.41,98.31,96.52
494,111.4,98.16,93.25,93.59,96.16,98.28,105.67
496,110.255,98.16,104.97,93.59,96.16,99.955,98.495
504,110.255,98.16,104.97,93.59,96.16,98.28,96.03
507,92.58,96.52,93.4,100.175,96.41,98.31,97.95
509,92.55,104.45,105.03,93.6,96.41,95.89,105.72
514,91.97,98.75,93.115,100.175,96.41,99.51,98.215
517,114.83,98.16,115.325,100.105,96.16,98.28,106.77
523,92.58,,91.095,100.175,96.41,98.31,99.365
525,91.37,94.285,91.095,100.175,96.41,95.89,98.47
528,76.835,104.45,105.03,93.6,96.41,98.31,102.0
531,91.46,96.52,92.45,93.59,96.41,95.89,96.52
535,91.46,94.21,96.455,93.6,96.41,101.33,103.9
542,110.03,98.67,104.97,98.11,96.16,98.28,93.77
545,92.58,94.285,,106.625,96.41,99.51,98.33
550,110.255,101.91,104.97,106.555,96.16,,103.47
554,,101.91,104.97,99.11,96.16,99.46,98.495
561,91.84,102.11,93.115,100.175,96.41,99.51,106.005
564,91.325,98.67,93.03,99.11,96.16,100.0,98.28
567,110.325,98.16,104.97,106.555,96.16,98.28,105.67
569,91.48,98.75,91.095,100.175,96.41,98.31,97.95
578,111.42,101.91,104.97,100.105,96.16,100.0,98.495
583,,94.225,104.97,106.555,96.16,101.25,98.67
585,101.44,98.16,105.03,,96.16,101.25,104.87
587,76.835,104.45,96.455,93.6,96.41,99.51,102.0
590,91.85,102.11,93.115,100.175,96.41,98.31,106.005
596,110.32,98.67,,100.105,96.16,98.28,105.67
599,110.255,,104.97,100.105,96.16,99.46,103.47
601,91.97,94.285,91.095,100.175,96.41,95.89,105.72
605,91.97,98.75,105.03,106.625,96.41,99.51,98.16
611,91.415,94.21,105.03,93.6,96.41,95.89,104.87
613,92.58,94.285,92.53,100.175,96.41,94.83,98.33
615,,98.75,,99.27,96.41,98.31,98.84
621,92.55,94.21,96.455,93.6,96.41,98.31,98.47
627,91.48,98.75,91.095,99.27,96.41,99.51,94.375
632,,,104.97,106.555,96.16,98.28,104.73
634,,95.98,,93.59,96.16,95.65,94.85
636,110.03,98.67,104.97,98.11,96.16,99.46,93.77
640,91.88,94.285,93.115,100.175,96.41,98.31,94.375
642,92.58,96.52,,93.6,96.41,94.83,93.925
647,91.37,96.52,105.03,93.6,96.41,95.89,103.54
650,91.97,98.75,91.095,100.175,96.41,99.51,102.0
655,91.48,94.21,93.4,93.6,96.41,94.83,103.54
661,91.88,94.285,105.03,,96.41,95.89,99.365
665,91.88,94.285,93.03,100.175,96.41,98.31,98.33
670,101.44,98.16,95.81,93.59,96.16,98.28,98.04
673,91.325,94.285,91.03,100.175,96.41,98.31,98.47
676,,101.91,104.97,106.555,96.16,98.28,98.39
681,,98.16,95.81,93.59,96.16,,93.71
684,91.88,98.75,93.03,99.27,96.16,98.28,97.555
689,91.415,98.35,105.03,,96.415,98.31,96.52
691,91.46,98.75,91.03,99.27,96.415,99.51,99.365
694,110.1,98.67,104.97,98.11,96.19,99.955,93.77
697,101.25,105.67,105.03,100.105,96.19,99.46,97.91
700,111.4,,104.97,93.59,96.19,,94.26
703,92.58,98.75,105.03,106.625,96.415,99.51,93.96
707,101.44,98.16,105.03,93.59,96.19,99.46,94.85
713,76.835,,108.83,93.6,96.415,100.045,98.16
719,91.84,97.87,93.115,100.175,96.415,98.31,104.87
723,91.84,102.11,93.03,100.105,96.19,99.46,97.72
729,91.64,94.21,96.455,93.6,96.415,98.31,95.22
732,76.835,104.45,77.135,93.6,96.415,99.51,94.375
735,91.415,98.35,105.03,,96.415,98.31,96.52
737,91.85,102.11,93.115,100.175,96.415,98.31,98.33
740,91.85,102.11,93.4,99.27,96.415,98.31,98.84
742,91.64,98.35,96.455,93.6,96.415,,93.96
744,91.84,102.11,93.03,100.175,96.19,101.33,97.72
748,91.85,102.11,93.115,100.175,96.415,98.31,103.9
750,91.64,98.35,93.4,93.6,96.415,100.045,98.16
753,110.325,96.62,95.81,100.105,96.19,98.28,99.52
757,110.325,101.91,104.97,99.11,96.19,99.955,97.85
762,,93.93,105.03,93.59,96.415,99.51,98.13
764,92.55,102.11,93.115,100.175,96.415,98.31,99.365
775,91.48,98.75,105.03,99.27,96.415,101.47,98.16
779,91.46,98.75,91.03,100.175,96.19,100.045,105.72
783,92.34,96.62,93.25,100.105,96.19,101.25,106.005
785,92.34,102.11,105.03,100.175,96.19,99.51,103.9
789,76.805,,,100.175,96.415,99.51,95.22
791,110.325,98.16,104.97,106.555,96.19,99.955,99.52
795,101.64,98.35,105.03,93.59,96.19,101.33,98.84
797,101.44,98.16,104.97,100.105,96.19,101.25,98.39
801,110.1,94.225,104.97,100.105,96.19,99.46,98.67
803,110.03,98.67,104.97,106.555,96.19,98.28,97.03
805,101.26,94.225,105.03,100.105,96.19,99.46,104.87
808,92.53,98.75,92.45,99.27,96.415,95.89,93.96
813,110.325,101.91,104.97,99.11,96.19,98.28,104.73
819,91.85,,105.03,100.175,96.415,101.33,93.925
822,110.03,94.225,,100.105,96.19,99.46,98.39
825,91.46,98.67,105.03,100.105,96.19,95.65,95.75
827,91.97,94.285,,106.625,96.415,99.51,96.79
832,111.4,98.16,104.97,93.59,96.19,98.28,99.34
835,91.88,94.285,93.115,100.175,96.415,98.31,98.84
837,91.46,98.75,91.03,99.27,96.415,99.51,94.375
840,92.58,94.285,91.095,102.985,96.415,95.89,96.79
843,92.55,98.35,93.4,93.6,96.415,94.83,98.84
847,110.1,98.67,105.03,106.625,96.19,98.28,97.03
853,110.325,101.91,104.97,100.105,96.19,99.955,93.71
858,92.34,98.16,93.03,93.59,96.19,99.46,102.0
862,91.48,98.75,91.095,99.27,96.415,99.51,98.16
868,111.4,,104.97,100.105,96.19,98.28,103.47
873,91.64,98.35,105.03,,96.415,98.31,96.52
875,101.25,105.67,105.03,100.105,96.19,95.65,99.34
877,,101.91,104.97,102.635,96.19,98.28,99.52
879,76.805,102.11,,93.6,96.415,99.51,103.9
881,92.55,102.11,93.115,100.175,96.415,98.31,99.365
886,92.53,98.75,92.45,99.27,96.415,99.51,93.96
889,101.26,98.75,105.03,99.27,96.19,98.28,97.85
891,101.25,94.225,95.81,100.105,96.19,98.28,105.67
894,92.34,102.11,93.115,99.27,96.415,99.51,93.96
896,91.85,97.87,93.115,100.175,96.415,95.89,104.87
898,76.805,,,100.175,96.415,99.51,98.84
900,91.85,102.11,93.115,100.175,96.415,98.31,98.33
906,92.53,94.225,93.03,100.175,96.415,99.51,102.0
908,91.48,98.75,93.115,99.27,96.415,95.89,94.09
912,91.37,,105.03,93.6,96.415,95.89,100.68
915,91.325,98.67,104.97,106.555,96.19,99.46,99.52
917,91.46,98.75,105.03,99.27,96.19,,98.84
920,111.4,101.91,104.97,99.11,96.19,98.28,98.04
923,,101.91,105.03,99.11,96.19,93.62,103.47
925,111.4,101.91,104.97,100.105,96.19,98.28,97.555
927,,101.91,104.97,100.105,96.19,100.0,98.39
931,110.325,,104.97,99.11,96.19,99.955,103.47
938,101.25,98.67,104.97,99.11,96.19,99.46,98.495
946,91.415,98.16,93.25,93.59,96.19,98.28,97.555
950,91.415,,96.455,93.6,96.415,101.33,104.87
956,111.4,,104.97,100.105,96.19,99.46,99.34
961,91.325,94.285,91.03,100.175,96.415,99.51,93.925
964,91.415,98.35,105.03,,96.415,98.31,96.52
968,91.97,94.285,96.455,100.175,96.415,94.83,93.96
970,111.4,98.16,104.97,93.59,96.19,99.955,98.04
977,92.53,98.75,91.03,100.175,96.415,98.31,98.84
982,101.64,98.16,105.03,93.59,96.19,98.28,93.9
985,91.48,98.75,91.095,99.27,96.415,99.51,102.0
991,92.34,104.45,96.455,93.6,96.415,98.31,99.365
994,92.53,98.75,91.03,99.27,96.415,98.31,105.72
997,114.83,96.62,115.325,100.105,96.19,99.955,95.75
1005,110.325,96.62,95.81,106.555,96.19,98.28,103.47
1007,92.58,94.285,91.095,100.175,96.415,101.33,99.54
1017,91.64,94.21,105.03,93.6,96.415,99.51,104.87
1023,,98.16,104.97,106.59,96.19,99.46,98.67
1031,101.25,94.225,,100.105,96.19,95.65,105.72
1034,91.37,94.285,91.095,100.175,96.415,99.51,98.215
1039,92.55,97.87,93.4,100.175,96.415,101.33,98.13
1041,101.25,94.225,,100.105,96.19,100.0,105.72
1048,,98.35,93.25,100.175,96.415,98.31,98.13
1052,92.34,102.11,93.03,100.175,96.19,101.33,98.495
1055,101.26,105.67,105.03,100.175,96.19,99.46,97.91
1060,92.53,98.75,105.03,100.175,96.19,98.31,93.77
1065,110.325,104.26,104.97,93.59,96.19,101.25,105.67
1068,,98.67,,100.105,96.19,99.46,95.75
1071,92.53,98.75,105.03,100.175,96.19,98.31,93.77
1073,91.97,105.67,93.4,100.175,96.415,100.045,95.22
1075,92.58,98.75,91.095,100.175,96.415,99.51,98.84
1081,91.415,98.35,105.03,93.59,96.415,101.33,105.72
1085,92.34,98.35,93.25,93.59,96.19,98.31,93.77
1087,91.415,98.35,105.03,93.6,96.415,101.33,98.33
1090,,98.75,,100.175,96.255,100.045,93.71
1094,110.03,,77.085,100.105,104.085,100.0,103.47
1096,110.255,101.91,104.97,100.105,104.085,98.28,104.73
1100,110.325,98.16,105.03,93.59,104.085,99.955,104.87
1105,91.48,98.75,91.095,100.175,104.51,98.31,96.79
1108,110.03,98.67,104.97,100.105,104.085,99.46,97.03
1115,110.1,98.67,104.97,100.105,104.085,101.25,97.03
1119,110.1,98.67,104.97,100.105,104.085,99.46,97.03
1122,101.26,105.67,105.03,100.175,104.51,99.51,98.47
1127,91.88,94.225,93.03,100.175,104.51,100.045,102.0
1129,92.58,98.75,105.03,100.175,104.51,101.33,93.96
1131,91.97,94.285,93.115,100.175,104.51,95.89,94.375
1133,91.46,105.67,105.03,106.625,104.51,99.51,94.375
1136,,93.93,95.81,93.59,104.085,99.955,94.26
1140,110.03,98.67,104.97,98.11,104.085,101.25,93.77
1142,114.83,104.26,,100.105,104.085,99.46,96.03
1147,110.1,98.67,104.97,100.105,104.085,98.28,97.03
1151,111.4,101.91,104.97,99.11,104.085,98.28,93.77
1158,92.55,98.35,105.03,93.6,104.51,99.51,98.33
1160,91.85,102.11,93.115,100.175,104.51,98.31,106.005
1163,91.88,94.225,93.03,100.175,104.51,100.045,104.87
1170,91.97,94.285,93.115,100.175,104.51,98.31,98.215
1179,110.325,101.91,104.97,99.11,104.085,95.65,97.91
1181,91.88,94.225,93.03,100.105,104.085,98.28,98.04
1184,110.255,101.91,95.81,100.105,104.085,98.28,94.26
1190,92.34,98.16,105.03,93.59,104.305,99.955,97.72
1194,91.64,98.35,93.4,93.6,104.51,100.045,98.16
1196,91.84,97.87,93.115,100.175,104.51,98.31,103.54
1202,111.42,101.91,104.97,99.11,104.085,101.25,98.04
1205,91.88,94.225,93.03,100.105,104.085,100.0,101.47
1207,91.46,94.285,92.45,100.175,104.51,98.31,94.375
1210,91.37,,93.115,93.6,104.51,94.83,94.09
1212,92.53,98.75,105.03,100.175,104.51,98.31,93.77
1215,92.53,98.67,104.97,100.105,104.085,99.955,93.77
1217,91.88,95.98,,93.59,104.085,,96.03
1220,91.97,94.285,93.115,100.175,104.51,98.31,98.215
1223,110.03,98.67,104.97,100.105,104.085,99.46,97.03
1225,,94.225,105.03,100.105,104.51,98.28,93.71
1229,110.255,98.16,104.97,93.59,104.085,98.28,97.85
1234,110.32,98.67,,100.105,104.085,99.46,98.04
1237,101.64,102.11,105.03,99.11,104.51,,98.495
1240,110.1,94.225,104.97,102.635,104.085,99.46,98.67
1243,92.34,102.11,93.03,102.985,104.51,100.0,98.04
1248,91.88,98.75,105.03,106.625,104.51,101.33,98.16
1252,110.255,98.16,104.97,93.59,104.085,98.28,105.905
1261,101.25,105.66,104.97,100.105,104.085,95.65,97.91
1264,91.415,98.35,93.25,93.59,104.51,98.31,98.16
1266,92.34,101.91,93.03,100.105,104.085,98.28,98.495
1270,101.25,94.225,,100.105,104.51,99.46,105.72
1278,110.1,98.67,104.97,106.555,104.085,101.25,97.03
1284,91.97,98.75,93.115,100.175,104.51,100.045,93.96
1288,91.48,98.75,105.03,106.625,104.51,100.045,100.68
1291,91.46,98.75,105.03,106.625,104.51,101.33,100.68
1293,91.97,94.285,93.115,100.175,104.51,94.83,104.87
1295,,96.52,92.53,93.6,104.51,101.47,93.96
1298,110.255,101.91,104.97,100.105,104.085,100.0,97.72
1302,110.255,101.91,104.97,100.105,104.085,99.46,105.905
1304,110.325,,104.97,100.105,104.085,99.955,106.77
1309,110.32,98.67,,106.555,104.085,98.28,105.905
1311,,98.16,104.97,93.59,104.085,100.0,105.905
1318,,,,100.105,104.085,101.25,97.03
1321,91.415,102.11,105.03,100.175,104.51,99.51,98.33
1326,76.83,102.11,105.03,100.175,104.51,95.89,107.79
1333,92.53,94.225,91.03,102.985,104.51,99.51,99.54
1335,91.88,94.285,93.03,102.985,104.51,95.89,94.375
1341,92.58,98.75,105.03,106.625,104.51,99.51,93.96
1344,91.46,98.67,105.03,100.105,98.28,100.0,98.04
1346,92.53,94.225,91.03,100.105,98.28,99.46,95.75
1351,110.1,98.67,104.97,106.555,98.28,99.955,97.03
1355,76.805,102.11,77.085,93.6,98.93,101.33,97.95
1357,110.255,98.16,108.23,93.59,98.28,101.25,98.04
1361,,101.91,104.97,100.105,98.28,99.46,98.67
1367,110.36,98.67,,106.555,98.28,98.28,105.905
1369,101.25,105.67,104.97,100.105,98.28,99.46,97.91
1371,110.32,98.67,,106.555,98.28,99.955,105.905
1374,92.34,101.91,93.25,100.105,98.28,101.25,98.04
1382,114.63,98.16,114.73,100.105,98.28,100.0,106.77
1385,,,105.03,100.175,98.93,98.31,97.95
1389,91.97,94.285,93.115,100.175,98.93,94.83,104.87
1391,91.46,98.75,,100.175,98.93,95.65,95.75
1397,91.415,104.45,93.25,100.175,98.93,98.31,97.95
1405,91.435,98.35,105.03,,98.93,98.31,96.52
1411,91.97,94.285,93.115,102.985,98.93,95.89,94.375
1416,91.64,98.35,105.03,,98.93,98.31,96.52
1418,114.83,98.16,115.325,100.105,98.28,99.46,105.67
1421,,102.11,105.03,100.175,98.93,100.045,99.54
1433,91.88,98.75,93.115,100.175,98.93,98.31,97.95
1436,110.03,98.67,104.97,106.555,98.28,101.25,97.03
1443,76.805,,,93.6,98.93,94.83,98.13
1449,91.415,102.11,105.03,100.175,98.93,100.045,94.275
1451,,97.87,,102.985,98.93,100.045,98.84
1457,91.64,98.35,105.03,,98.93,98.31,96.52
1462,110.03,98.67,104.97,106.555,98.28,99.46,97.03
1464,110.03,98.67,104.97,106.555,98.28,98.28,97.03
1468,,,104.97,106.555,98.28,98.28,93.77
1471,110.32,98.67,,106.555,98.28,98.28,105.905
1475,110.32,98.67,93.25,100.105,98.28,99.955,97.555
1478,91.415,104.26,93.25,100.105,98.28,98.28,97.555
1481,110.03,98.67,104.97,106.555,98.28,101.25,97.03
1485,92.55,102.11,105.03,106.625,98.93,99.51,106.005
1489,91.46,98.75,91.03,100.175,98.93,101.33,99.365
1493,91.48,98.75,91.095,100.175,98.93,99.51,97.95
1498,110.255,98.16,104.97,93.59,98.28,98.28,97.72
1501,92.53,98.67,105.03,106.625,98.28,99.51,93.77
1504,,98.35,93.4,93.6,98.93,99.51,98.16
1506,91.64,104.45,93.4,106.625,98.93,100.045,98.16
1515,92.55,98.35,93.4,93.6,98.93,101.33,94.375
1517,92.55,102.11,93.115,102.985,98.93,101.47,98.33
1521,91.325,98.75,93.035,100.175,98.93,99.51,103.54
1525,92.53,98.67,91.03,100.105,98.28,95.65,98.67
1528,110.255,,95.81,99.11,98.28,93.62,98.28
1531,,98.67,91.03,99.11,98.28,95.65,105.72
1534,110.255,101.91,104.97,99.11,98.28,101.25,97.72
1538,92.34,102.11,93.03,102.985,98.93,100.045,99.365
1541,101.26,98.75,93.03,99.27,98.93,93.62,94.85
1547,,94.225,95.81,100.105,98.28,98.28,101.47
1549,101.25,98.67,104.97,106.555,98.28,99.46,98.04
1553,92.34,102.11,93.03,102.985,98.93,100.045,99.365
1557,92.58,98.75,91.03,100.175,98.93,98.31,98.33
1561,101.25,105.66,104.97,100.105,98.28,99.46,97.91
1564,91.325,98.75,93.03,100.175,98.93,98.31,95.75
1568,91.88,94.225,93.03,102.985,98.93,100.045,98.215
1573,111.42,101.91,104.97,100.105,98.28,99.955,104.73
1576,92.34,102.11,93.03,102.985,98.93,98.31,99.365
1579,76.835,104.45,77.135,93.6,98.93,95.89,98.16
1582,91.97,94.285,93.115,102.985,98.93,95.89,94.375
1591,92.34,104.45,105.03,106.625,98.93,,104.87
1594,110.1,105.67,,100.105,98.28,99.46,98.04
1597,91.415,98.35,105.03,,98.93,98.31,96.52
1601,92.34,102.11,93.03,102.985,98.93,100.045,99.365
1603,92.58,104.45,,106.625,98.93,101.47,93.96
1610,,98.67,104.97,106.555,98.28,101.25,98.39
1614,92.58,98.75,92.45,99.27,98.93,98.31,93.96
1617,101.25,105.66,104.97,100.105,98.28,99.46,97.91
1623,101.25,98.67,104.97,99.11,98.28,101.25,98.67
1626,101.26,98.67,93.03,99.11,98.28,93.62,94.85
1630,92.34,102.11,93.03,102.985,98.93,99.51,98.33
1632,,101.91,104.97,99.11,98.28,101.25,98.67
1635,76.805,98.35,77.085,93.6,98.93,95.89,94.375
1640,110.255,104.26,95.81,93.59,98.28,98.28,97.03
1649,101.44,98.16,104.97,93.59,98.28,98.28,98.495
1651,110.255,104.26,108.23,102.635,98.28,101.25,105.905
1655,76.805,102.11,105.03,93.6,98.93,101.33,96.79
1660,91.415,98.35,105.03,,98.93,98.31,96.03
1671,110.03,98.67,,100.105,98.28,95.65,98.28
1675,110.255,,104.97,93.59,98.28,101.25,104.73
1681,76.805,104.45,77.135,93.6,98.93,94.83,94.375
1684,92.53,98.67,91.03,99.11,98.28,95.65,98.67
1688,91.64,104.45,93.4,100.175,98.93,98.31,97.95
1698,91.85,,105.03,100.175,98.93,94.83,99.54
1705,92.58,104.45,91.095,99.27,98.93,99.51,94.375
1712,,98.75,91.095,100.175,98.93,99.51,105.72
1715,101.64,98.16,105.03,93.59,98.28,98.28,98.67
1718,110.36,98.67,,106.555,98.28,93.62,99.34
1723,101.25,95.98,93.25,100.105,98.28,93.62,97.91
1728,,94.225,91.03,100.175,98.93,95.89,93.9
1736,92.53,98.67,91.03,100.105,98.28,98.28,101.47
1739,110.325,104.26,,106.555,98.28,99.955,94.85
1741,114.83,96.62,115.325,102.635,98.28,99.46,95.75
1744,92.58,98.75,91.03,100.175,98.93,98.31,98.215
1748,101.64,102.11,105.03,100.105,99.0,93.62,98.67
1757,,102.11,105.03,100.175,99.2,100.045,93.96
1767,110.255,104.26,108.23,102.635,99.0,101.25,105.905
1776,91.46,96.52,,106.625,99.2,99.51,93.925
1781,91.84,96.62,93.25,100.105,99.0,99.46,98.39
1783,92.53,98.75,108.83,100.175,99.2,101.33,95.2
1785,91.88,95.98,93.25,100.105,99.0,98.28,98.04
1789,101.64,98.16,105.03,93.59,99.0,98.28,93.9
1792,76.805,98.35,77.085,93.6,99.2,98.31,98.16
1794,111.4,101.91,104.97,100.105,99.0,99.46,98.67
1797,,94.285,105.03,100.175,99.2,95.89,93.925
1799,110.03,98.67,104.97,100.105,99.0,99.46,98.67
1802,110.325,,104.97,100.105,99.0,99.46,93.71
1805,91.84,94.21,105.03,93.6,99.2,95.89,96.79
1808,91.46,,91.03,100.175,99.2,95.89,103.9
1811,101.64,98.16,105.03,93.59,99.2,98.28,98.91
1819,,,,100.105,99.0,,98.495
1824,76.805,104.45,77.085,93.6,99.2,98.31,93.96
1829,111.42,101.91,104.97,100.105,99.0,101.25,99.34
1832,92.58,98.75,91.095,102.985,99.2,98.31,105.72
1834,111.4,104.26,,106.555,99.0,100.0,98.28
1838,101.26,98.67,105.03,100.175,99.0,99.46,98.495
1840,110.1,104.45,,100.105,99.0,98.28,97.03
1843,76.805,102.11,105.03,93.6,99.2,99.51,102.0
1846,111.42,101.91,104.97,100.105,99.0,98.28,93.9
1849,101.26,95.98,105.03,106.625,99.2,101.33,98.04
1855,110.36,94.225,,106.555,99.0,99.955,97.85
1858,92.34,,93.115,102.985,99.2,95.89,98.215
1864,,,105.03,100.105,99.0,99.46,97.85
1870,91.48,94.21,96.455,93.6,99.2,98.31,93.96
1873,114.63,98.16,114.73,100.105,99.0,101.25,106.77
1875,111.42,98.16,104.97,93.59,99.0,99.955,96.03
1877,,95.98,93.25,100.105,99.0,101.25,97.03
1881,92.53,95.98,,93.59,99.2,98.31,95.75
1884,92.53,94.225,91.03,100.175,99.2,100.045,97.95
1889,110.1,104.26,,100.105,99.0,98.28,97.03
1892,110.325,98.16,104.97,93.59,99.0,98.28,93.77
1898,91.97,94.285,91.095,100.175,99.2,98.31,95.22
