keras_MAE2_lgY_relu0,keras_MAE2_lgY_relu1,keras_MAE2_lgY_relu2,keras_MAE2_lgY_relu3,keras_MAE2_lgY_relu4,keras_MAE2_lgY_relu5,keras_MAE2_lgY_relu6,keras_MAE2_lgY_relu7,keras_MAE2_lgY_relu8,keras_MAE2_lgY_relu9,keras_MAE2_lgY_relu10,keras_MAE2_lgY_relu11,keras_MAE2_lgY_relu12,keras_MAE2_lgY_relu13,keras_MAE2_lgY_relu14,keras_MAE2_lgY_relu15,keras_MAE2_lgY_relu16,keras_MAE2_lgY_relu17,keras_MAE2_lgY_relu18,keras_MAE2_lgY_relu19,keras_MAE2_lgY_relu20,keras_MAE2_lgY_relu21,keras_MAE2_lgY_relu22,keras_MAE2_lgY_relu23,keras_MAE2_lgY_relu24,keras_MAE2_lgY_relu25,keras_MAE2_lgY_relu26,keras_MAE2_lgY_relu27,keras_MAE2_lgY_relu28,keras_MAE2_lgY_relu29,ID,y
112.487281799,111.040328979,109.782081604,108.498466492,107.445884705,112.109352112,112.942352295,112.419845581,109.628570557,108.582481384,112.009643555,113.679389954,113.989196777,112.083435059,108.548294067,107.424667358,111.382362366,111.527992249,109.832733154,112.605506897,110.182067871,111.42539978,115.12677002,111.959152222,113.500915527,109.631652832,108.525367737,112.498512268,110.251708984,110.028495789,2479,122.51
110.827560425,114.710449219,113.209152222,112.610557556,112.793296814,113.516921997,114.90549469,113.853569031,111.237304688,113.908821106,117.27923584,123.641143799,115.526054382,111.395111084,120.440567017,107.036621094,116.865386963,112.856315613,113.832565308,116.338569641,112.441757202,115.503013611,120.036994934,115.348350525,111.953285217,116.882575989,109.994041443,111.049171448,115.112770081,113.064750671,2957,115.6
102.293693542,99.4674377441,102.000289917,103.636772156,106.385925293,97.4782562256,101.42666626,101.295982361,100.34841156,100.001296997,101.004974365,102.676239014,97.6536331177,100.602546692,102.137069702,105.114128113,103.027023315,108.880226135,109.695404053,104.809768677,104.785812378,100.444702148,101.348419189,98.5391693115,103.8228302,102.224311829,104.373283386,100.761451721,102.236183167,102.371284485,7228,100.98
102.927658081,97.442527771,98.6686630249,107.217536926,103.360359192,102.31413269,102.323471069,103.78704834,96.8257369995,100.314689636,100.250419617,99.885269165,103.399131775,102.652008057,101.629547119,101.356590271,101.405479431,101.624053955,101.841018677,100.277183533,102.937446594,104.631988525,98.3671188354,98.4567337036,102.46975708,98.9235153198,105.020248413,103.373458862,102.16973877,102.509368896,2451,102.91
92.0684585571,91.1425247192,92.1503829956,87.9853973389,90.9836044312,88.4472427368,91.0650558472,89.3810501099,91.352935791,93.4773254395,86.7612533569,92.7678985596,93.1503143311,90.1042404175,89.4043731689,92.0835723877,89.8978424072,91.3294448853,88.8675613403,86.8097000122,95.5293960571,91.5252685547,94.2175140381,95.1006622314,93.8614196777,89.0851211548,86.1122894287,89.2647247314,90.2963409424,98.1425857544,323,94.75
92.5884552002,89.4871673584,93.6527557373,92.1370544434,89.974357605,96.1969146729,87.2656860352,93.8579940796,92.6728363037,87.4488754272,90.5979919434,87.7970581055,90.6989593506,92.3699493408,88.3314056396,93.1273117065,87.0092468262,92.3411102295,93.4171142578,88.0210266113,90.7729110718,90.9350280762,91.6708679199,89.2338562012,91.4763412476,90.0562133789,93.0316009521,91.4991378784,91.7658691406,87.1949996948,5012,113.5
104.843345642,95.8502655029,87.4473953247,90.8598709106,90.673538208,93.3801498413,93.1052932739,90.5645370483,88.4609603882,95.0238647461,87.4088592529,91.8701248169,84.9782028198,95.3628005981,90.0824279785,94.0497131348,86.8314819336,93.4710464478,93.1959533691,92.0561752319,90.9210510254,95.2920761108,92.4779968262,93.6664733887,92.0850143433,89.8717193604,95.8519210815,91.3299865723,96.3071212769,91.8832702637,5643,90.85
110.51348877,105.06186676,110.976608276,107.862464905,111.2474823,111.286613464,111.91796875,113.932891846,108.043823242,111.415534973,112.276412964,110.047538757,109.471084595,107.922554016,111.222267151,105.381134033,112.056411743,111.518684387,110.057029724,112.831420898,119.615608215,110.093612671,115.16733551,112.783027649,107.962905884,111.571502686,107.058624268,113.861663818,111.993209839,109.85055542,6362,106.18
93.9992599487,87.1057434082,95.0007858276,92.2034835815,96.516960144,89.7403945923,91.5459442139,91.6902770996,85.7980422974,93.6339263916,88.5038299561,94.8988189697,89.7461090088,90.9217376709,89.6674346924,90.4438018799,92.6902084351,96.2959594727,91.6907043457,95.7167816162,96.0531692505,90.104019165,94.5132217407,91.5714569092,92.589263916,90.6026611328,91.7296142578,91.5664825439,89.4490966797,94.4738082886,7592,93.67
94.9325714111,91.1036911011,94.4733734131,91.6402587891,94.1080551147,89.6886444092,93.8989334106,92.5888595581,93.582359314,91.2732315063,91.0010681152,95.0957870483,93.4386138916,92.1708755493,91.4038085938,90.4294891357,91.1993865967,87.1919784546,94.0377502441,87.330078125,92.1935501099,90.5731811523,90.1441421509,90.170249939,91.704536438,85.4967346191,95.8815002441,90.6612167358,91.2024459839,90.1084899902,482,88.21
103.358573914,110.568557739,105.447563171,104.445251465,101.79094696,103.782646179,108.084457397,101.808387756,106.080635071,103.991600037,100.132125854,101.919158936,106.376571655,107.078361511,106.657814026,104.587753296,99.6895294189,101.491485596,101.249137878,101.733108521,99.0833053589,102.56463623,106.31060791,107.808456421,108.674293518,104.606231689,106.193603516,102.078109741,100.626281738,105.316001892,5380,100.71
92.7854156494,88.382194519,95.4566802979,89.2177886963,90.3337478638,93.0124130249,91.5286254883,91.2420349121,86.4923095703,91.5754852295,94.9669647217,93.4586105347,91.3583908081,91.4339447021,91.6413574219,91.1653747559,89.2908401489,94.0928268433,92.7028198242,87.6623077393,89.8937530518,91.8664932251,91.5858764648,92.145980835,93.5251922607,90.1968612671,96.86277771,92.2369308472,94.9686126709,91.829460144,4524,91.55
90.9611206055,92.3707122803,92.2481384277,93.0895690918,91.5396194458,93.9395065308,92.5786590576,91.5194854736,93.1586380005,92.8037872314,90.2181854248,98.0834884644,93.6667709351,93.6324081421,90.5190429688,93.3844833374,93.5006637573,91.2517547607,92.7164230347,95.5446243286,98.1741714478,92.1404571533,95.1735839844,94.1179504395,97.7940139771,90.5668792725,94.8695526123,92.8547439575,90.1354827881,91.6342773438,2078,90.59
105.030464172,105.310394287,100.185516357,103.827705383,102.005744934,103.518692017,98.8673629761,100.692314148,98.3371505737,103.859466553,102.150444031,104.269004822,103.187187195,102.067733765,99.243057251,97.6106185913,97.4041137695,107.205368042,99.6504821777,100.621765137,100.518455505,100.108909607,98.7529144287,103.847244263,105.73261261,108.486251831,100.664405823,105.919319153,98.7977676392,103.117004395,2767,98.44
110.242134094,106.015838623,110.235900879,107.391952515,105.230010986,109.067001343,109.030807495,105.507148743,110.337860107,109.435913086,112.279441833,110.8360672,110.485580444,112.30809021,106.925445557,107.598838806,107.437675476,99.7043838501,109.729385376,112.12726593,106.21105957,109.950714111,115.619155884,106.280937195,105.185043335,112.743965149,113.68473053,114.013221741,112.047927856,111.284454346,4657,109.72
86.333114624,90.5263137817,89.5988388062,88.3231201172,91.3251190186,89.5242843628,96.2721633911,90.4565963745,90.9424438477,91.4956893921,91.9406204224,94.0292358398,86.2638473511,92.9366149902,93.2943496704,93.6674880981,87.4390106201,92.8860397339,94.7633895874,92.5274810791,90.1927108765,94.4689331055,102.100799561,96.4679718018,93.0289916992,93.877456665,92.3957061768,90.2688903809,97.7797241211,92.3204269409,6129,89.6
110.166412354,106.945075989,119.329666138,110.422889709,112.336929321,108.609687805,109.556083679,104.791160583,110.792167664,112.140167236,109.896080017,117.425109863,108.002410889,109.794494629,108.808006287,115.592163086,112.774810791,104.025436401,110.543128967,109.804412842,111.820983887,111.919700623,109.772270203,110.356185913,111.383331299,112.029777527,109.866249084,112.079681396,112.451660156,106.864257812,2343,122.65
85.7406616211,92.5089569092,92.4175949097,88.7316055298,93.8553543091,88.7625732422,90.9990386963,89.7363815308,91.6145477295,91.0842971802,92.3245544434,94.7666778564,93.3352279663,85.660369873,91.8784484863,91.6512298584,89.4365005493,92.8243179321,91.4295654297,96.328956604,95.7736816406,95.4050064087,93.0398635864,95.508102417,92.401763916,90.3103103638,87.6278610229,88.4626617432,90.1463928223,92.6845932007,1397,94.6
104.663711548,96.3694992065,105.455444336,108.222190857,107.107940674,107.811141968,106.547401428,98.768661499,108.335258484,109.239295959,102.65448761,107.257835388,108.617279053,102.282112122,106.930465698,102.950675964,103.902130127,106.175422668,104.422981262,97.7310256958,103.974128723,99.8725891113,106.378700256,102.922355652,109.759109497,104.929229736,107.107025146,108.031646729,107.668701172,105.320579529,708,100.32
91.0173339844,88.6459655762,99.9856033325,95.6632461548,87.7765197754,92.4181137085,92.0386505127,89.0783233643,95.9263076782,91.9941635132,94.6751937866,92.8007202148,95.4949874878,91.4362030029,95.7207260132,92.5811080933,89.5693588257,88.7300720215,93.0232086182,96.7723007202,96.4296188354,93.8250656128,88.4531097412,92.8694229126,91.7273101807,89.2795410156,89.9887924194,91.1318130493,91.9977722168,92.0484008789,3350,97.86
94.6745605469,98.9026107788,96.3977508545,91.7671966553,95.1323699951,91.7845840454,93.7797241211,92.6176071167,93.530418396,94.2344741821,87.5904388428,95.9015655518,91.0552825928,93.6039657593,92.7425918579,98.7358093262,93.1902084351,93.8506469727,92.1822357178,91.3881912231,94.4525909424,93.5771255493,93.8070678711,94.5153274536,97.1356048584,92.1595535278,93.4022369385,92.1370010376,91.4675292969,93.6948318481,906,95.6
115.869384766,110.814323425,109.226516724,110.707305908,113.385444641,106.625137329,108.642433167,106.688827515,108.309127808,112.92199707,106.907592773,106.871528625,114.040298462,111.718353271,118.652435303,108.981193542,109.847419739,110.605644226,111.647026062,109.99546814,111.665618896,112.17880249,114.640571594,110.662078857,110.547790527,113.642883301,108.606338501,108.3670578,101.658325195,113.191650391,3490,122.12
96.8014984131,91.0767440796,96.0193862915,94.0020904541,96.5887374878,89.3227996826,95.001083374,90.9547119141,90.6992416382,97.4639587402,91.4349212646,95.4017791748,90.7946624756,93.2869567871,91.3911209106,92.7444381714,94.4821395874,99.6904907227,93.6729049683,95.9583282471,94.3765792847,92.8415145874,94.2247390747,95.3086700439,93.4484863281,90.8961257935,96.1174545288,93.8740005493,92.606628418,94.3840789795,523,87.58
92.7695083618,94.2550964355,96.8270645142,92.5904388428,92.6200027466,91.0869216919,96.9664764404,98.1252670288,91.6228713989,93.1850128174,89.9517364502,94.166015625,92.1104354858,94.2597885132,89.2777938843,90.7393493652,86.1355667114,92.4066009521,90.5767059326,91.9988327026,95.4788665771,94.6929473877,95.8634872437,93.1792297363,98.6918945312,89.970954895,98.3004684448,90.0700302124,94.1973114014,93.9545593262,6415,88.04
91.5298690796,92.9446258545,93.9539718628,91.6400756836,90.8998260498,89.7802963257,92.3424224854,90.8772506714,90.1290130615,91.5890426636,90.3916702271,94.7255020142,92.897277832,94.8060455322,91.6874847412,90.4928970337,92.4311752319,90.74634552,100.928421021,95.7106170654,91.6464309692,91.7362213135,85.2124786377,94.6729431152,90.9965820312,90.8921890259,92.8947372437,90.9100799561,92.2419891357,89.6860046387,6350,90.39
118.485626221,116.255058289,116.321105957,111.075363159,116.358451843,114.790458679,115.494377136,114.088104248,111.923751831,115.18006897,119.406364441,127.598724365,114.208068848,112.141471863,123.179244995,114.985488892,122.989135742,118.770736694,111.425270081,113.65788269,113.54838562,113.362510681,121.126350403,114.572860718,118.981193542,117.799369812,107.948097229,112.934394836,107.490615845,113.340179443,2207,115.82
107.960075378,104.344024658,107.429801941,117.129364014,110.953063965,113.075737,111.619766235,106.497901917,113.976173401,109.828483582,111.417503357,112.630584717,113.951042175,109.117759705,107.431930542,106.564910889,107.463066101,113.160011292,107.857246399,109.956375122,109.896324158,107.206459045,113.667686462,107.0834198,113.472259521,107.830192566,114.529266357,111.323814392,103.36302948,109.596321106,4808,121.92
93.8837509155,93.0326309204,95.6700897217,89.8333969116,87.033493042,93.5113372803,94.2872695923,97.0166473389,90.3657302856,94.1881408691,92.9118881226,94.8520202637,96.0221862793,91.1451416016,96.535736084,96.6812438965,93.0307006836,88.7106552124,91.9433746338,94.3015594482,96.6265106201,92.6233596802,91.3986740112,94.4002380371,92.568321228,85.5724487305,92.9414596558,92.6247940063,94.4888458252,87.7578582764,5179,95.58
102.821075439,112.480895996,110.062103271,104.06892395,110.637634277,104.949813843,112.030128479,111.039337158,111.968681335,113.91468811,110.20677948,112.090438843,111.871696472,112.218437195,111.129959106,116.965194702,104.81401062,111.735267639,105.454208374,112.156593323,106.737762451,107.805381775,112.044380188,112.549674988,113.760848999,112.107139587,103.160865784,111.19392395,112.369476318,109.467803955,2433,107.35
109.437095642,99.4741821289,110.239578247,109.640640259,106.635276794,107.407440186,109.534873962,111.159446716,112.671661377,107.924118042,113.804359436,108.306770325,108.951217651,112.723480225,110.185050964,104.91027832,102.367233276,110.257301331,109.170196533,111.660804749,113.467033386,110.514511108,110.056358337,109.392936707,113.215278625,109.907585144,104.936233521,106.095085144,110.747871399,107.640739441,2970,128.35
93.4610671997,90.0774230957,93.0079040527,91.9914016724,90.5039901733,85.3226242065,91.8450927734,89.9870834351,91.9099349976,90.4720001221,89.8314437866,91.5305099487,93.79737854,90.693572998,92.3208312988,91.1561508179,92.8964691162,88.9662628174,92.3287887573,86.1396179199,90.5697784424,92.8212051392,91.4308547974,88.813079834,89.8153457642,90.2582702637,90.8854598999,93.4519348145,89.7280883789,88.0802688599,5513,97.8
96.864730835,90.7070159912,94.6805953979,92.2465896606,91.3943481445,89.361366272,95.7417144775,90.7159423828,89.453666687,91.2709121704,89.9403686523,94.2074661255,93.5645599365,91.4508514404,95.3733901978,91.84400177,86.3881072998,95.2565460205,93.7663803101,91.5356216431,91.2952041626,92.0769042969,92.5450515747,96.6274185181,91.013130188,91.2718276978,95.8535003662,89.0649337769,91.9688186646,96.3714828491,6622,93.22
110.712005615,111.553573608,109.369949341,112.108894348,114.023681641,108.930252075,109.702690125,111.154556274,110.235023499,109.914405823,113.347114563,110.97177887,108.399200439,111.10357666,107.875015259,111.981155396,108.152084351,113.038864136,115.926139832,109.445838928,105.725624084,107.344596863,106.868553162,107.965553284,110.797927856,114.440612793,112.107261658,112.241012573,111.563865662,110.578933716,92,110.76
93.9180679321,87.3096160889,95.3211517334,93.3241271973,94.5951080322,90.0540542603,92.9052429199,90.8737411499,96.9840240479,89.2902069092,97.4783172607,91.8269805908,92.1486816406,92.2315673828,92.8802261353,93.4718780518,93.162612915,93.7669296265,92.3092575073,95.5707168579,91.9635543823,92.6628494263,97.0774459839,97.1472930908,90.8424530029,91.8436737061,93.1276245117,96.7272567749,93.5454711914,93.2686080933,2313,97.72
92.1979064941,90.2158584595,92.8042221069,95.103767395,94.9241485596,92.5849990845,94.4940109253,93.1692276001,93.0736160278,92.5970458984,92.7156982422,95.1917266846,92.4557876587,92.8507995605,91.2848358154,96.3280181885,93.1425018311,92.2001190186,92.0946884155,95.4538040161,86.7869873047,92.1680145264,92.5737304688,91.9838180542,93.9962921143,91.1509552002,91.5380935669,93.606048584,89.1054840088,91.9306335449,2682,89.38
103.913955688,98.6476898193,105.358169556,103.104507446,100.557365417,100.190452576,100.015007019,107.400642395,97.0550537109,101.513885498,103.168495178,105.152244568,103.202896118,99.2746047974,105.447189331,102.891685486,102.121299744,103.821624756,102.141403198,103.160751343,99.3299026489,101.467262268,106.894630432,99.136756897,101.024856567,108.331459045,101.28288269,104.324127197,101.19694519,103.686233521,429,98.28
92.4827423096,90.3573226929,87.7664337158,93.3117752075,88.0351409912,86.9175033569,90.5366210938,91.0930786133,90.4654159546,90.8562927246,90.1828384399,95.157875061,91.4257278442,93.0621185303,90.6919021606,91.6627807617,90.3650283813,91.7573471069,89.4243164062,95.1749038696,88.1476287842,92.5974884033,90.3203353882,87.0896530151,91.8281784058,90.1866455078,94.3070602417,93.5069503784,91.5832672119,88.9231033325,6227,98.31
100.107711792,98.2524337769,101.653129578,107.169914246,103.272521973,102.474472046,105.090904236,105.806854248,98.9196548462,100.371170044,100.68145752,100.700004578,101.255470276,99.6784210205,105.187309265,99.5960845947,102.942062378,99.4358444214,102.059043884,100.433860779,102.784828186,101.917732239,102.60710144,107.721481323,97.8621063232,104.095207214,103.536582947,99.6829452515,103.535430908,98.0510787964,4084,99.59
91.1249389648,96.879447937,88.0248336792,88.8712615967,93.5252838135,92.7830657959,92.9775695801,90.8621292114,93.3527374268,96.0347518921,94.2447357178,95.9081878662,92.1566085815,89.5078201294,93.0523376465,91.5586624146,84.1509475708,89.0654754639,96.0133895874,89.939704895,92.9025726318,91.9605407715,93.9301681519,92.8314361572,91.7681884766,90.0084762573,94.4144592285,94.9578094482,97.9566650391,94.6206588745,3025,91.11
117.201011658,111.366371155,113.323387146,109.072494507,113.90486908,109.29914093,116.024299622,109.190620422,111.435447693,110.095954895,113.181037903,117.496421814,114.137519836,109.225601196,113.069572449,111.090957642,102.185653687,116.398033142,117.086746216,108.648696899,103.647750854,110.568473816,112.732902527,112.894050598,118.07094574,110.559646606,108.351020813,112.966583252,111.146636963,102.419425964,6674,110.58
93.1654663086,89.5652694702,94.7169342041,94.1517333984,91.8296813965,88.4010391235,92.5395507812,98.3558959961,87.6042404175,92.5607910156,89.3574295044,87.5234603882,90.6804122925,92.7602233887,92.9020614624,95.1367874146,86.017364502,87.4836502075,91.1589813232,89.712852478,90.2944641113,91.6429672241,90.7778244019,88.3672180176,89.972076416,90.5809326172,92.2299041748,92.977394104,91.5153427124,93.2314147949,5274,94.52
86.7711181641,96.9895477295,89.2786712646,88.7913589478,92.0277938843,92.7004776001,94.1303787231,92.3111724854,91.1804428101,90.305229187,93.5988235474,91.8747787476,92.0769271851,95.8014068604,93.1819381714,95.5784378052,92.6619644165,99.6846237183,93.5862350464,89.7268676758,98.7311096191,93.1533203125,93.0972671509,95.7332458496,94.8563461304,91.2256698608,96.2691879272,90.7059020996,92.2203140259,91.3074417114,5291,90.98
93.2794189453,91.4383010864,88.540512085,91.541809082,90.1772003174,87.688117981,92.408203125,89.8923568726,92.7121124268,89.7260437012,93.1358184814,95.0027923584,90.4871826172,91.5134277344,91.2390899658,90.9532470703,93.9867172241,92.4707641602,90.3128585815,95.5084228516,91.4572753906,91.3447036743,88.9389648438,92.7071685791,91.3628082275,92.4068832397,92.7938995361,90.4356307983,93.6156005859,88.8891983032,1986,90.04
88.3209381104,90.3221893311,87.2386169434,93.4676132202,93.7932434082,93.6333465576,92.3606262207,89.2331314087,91.1586837769,92.6812591553,95.5713119507,95.822769165,94.1973724365,98.3964157104,90.9742584229,91.9256744385,86.6925048828,95.1636581421,92.0458145142,86.6578445435,92.4019088745,92.3544998169,88.2596740723,91.2599945068,91.0766372681,91.5503845215,94.9023513794,89.9898300171,91.7543487549,92.7540969849,1552,87.87
94.8824234009,92.8973999023,96.0946960449,94.2368774414,91.2001647949,92.6306991577,91.679725647,92.0797576904,91.8770294189,91.3665237427,89.1722335815,94.7426071167,93.1127929688,92.1089248657,91.9450454712,94.2112426758,90.3763427734,92.6333999634,93.451210022,91.003868103,90.6721572876,93.274887085,93.4938659668,89.4447860718,86.6585006714,92.7690811157,95.0344848633,100.309402466,91.3096313477,90.756362915,919,94.88
