keras_MSE2_tanh0,keras_MSE2_tanh1,keras_MSE2_tanh2,keras_MSE2_tanh3,keras_MSE2_tanh4,keras_MSE2_tanh5,keras_MSE2_tanh6,keras_MSE2_tanh7,keras_MSE2_tanh8,keras_MSE2_tanh9,ID,y
91.8434143066,91.3869857788,92.3429946899,97.1697845459,94.0706253052,92.3009338379,91.1604766846,93.3839416504,92.322883606,92.287689209,3357,89.03
102.769172668,102.380447388,102.518714905,102.79826355,103.759399414,108.896987915,107.089820862,108.752510071,106.726417542,103.607536316,2722,98.57
91.8009338379,92.466293335,93.4895324707,92.2883071899,92.4524612427,91.7863082886,92.1891174316,93.9799499512,93.5124893188,91.1307525635,835,92.2
92.2029571533,92.5108108521,93.2910385132,97.5114593506,92.3671188354,92.8899765015,92.1975479126,99.7613983154,97.2893753052,98.0862350464,4430,86.95
102.394386292,96.8185043335,98.8469085693,97.3796234131,103.313407898,95.2052612305,101.384796143,92.6724853516,102.850875854,102.561607361,6133,89.51
102.746337891,102.312461853,102.71875,103.259155273,102.4061203,103.395523071,102.086174011,102.809768677,103.050979614,102.455566406,7859,98.01
102.739334106,104.208442688,103.134643555,102.73223114,102.418708801,102.241874695,102.971916199,102.806259155,102.061706543,103.174858093,3911,100.1
93.4421691895,91.7096405029,91.5580825806,93.068107605,92.1905136108,97.8120117188,97.3613433838,92.4807815552,92.0085296631,91.8615112305,2744,92.82
77.7934188843,77.2301559448,79.2674407959,77.6496963501,76.5985412598,77.7722015381,76.2849197388,77.5613327026,80.660736084,80.399597168,2524,78.45
113.559616089,113.685760498,113.652160645,113.702522278,113.487983704,114.620079041,113.807510376,109.205299377,113.412086487,113.585548401,1294,112.5
113.89730072,113.756095886,113.730323792,112.973381042,113.292770386,113.017089844,108.551223755,114.236755371,110.910644531,111.123397827,3909,114.8
92.9201278687,91.4807510376,91.4886550903,92.2324142456,92.3409194946,92.1979446411,90.9688262939,91.7049713135,91.4300003052,91.9149246216,6517,90.69
92.8799057007,92.2846755981,92.2540359497,92.2144393921,91.8142318726,92.3354873657,92.3989715576,92.4236450195,91.2294540405,91.1120758057,8074,91.81
102.701904297,107.72202301,103.835044861,106.159851074,102.302589417,102.217102051,103.126991272,102.271255493,104.518615723,102.086036682,8109,97.93
96.7096405029,95.4910812378,93.5729827881,92.5335464478,92.4250640869,113.016120911,93.8095703125,99.1161880493,93.2843093872,98.582359314,2255,90.57
92.2653427124,91.4922332764,91.8573074341,91.9976730347,91.5467224121,91.3961334229,91.8631668091,92.3414382935,92.0470428467,92.2651901245,3698,89.19
92.5431976318,91.5031356812,93.5190658569,91.8965835571,92.3102340698,93.3380126953,91.6631469727,92.3934402466,92.2969894409,91.9056625366,6542,91.85
113.995330811,113.265869141,114.228302002,114.11605835,113.686508179,113.118240356,113.465286255,114.051605225,113.969512939,112.765258789,5785,138.19
99.7963790894,99.8947372437,94.6684417725,95.4778747559,96.50390625,95.6192245483,92.3608322144,97.5674438477,100.605285645,95.936416626,5361,86.61
97.0299301147,94.7692260742,95.9269332886,93.7129364014,97.2910079956,97.0604934692,93.2360458374,93.5645523071,94.0726470947,96.1045761108,4366,86.9
103.035476685,111.256523132,107.364143372,102.754570007,102.403404236,103.475479126,107.482597351,103.714241028,102.022689819,104.658706665,5630,100.05
113.694419861,113.66002655,113.247299194,113.302970886,113.727355957,113.116233826,108.85823822,109.05544281,114.639961243,112.573776245,7922,105.72
92.9377059937,91.991317749,95.5827941895,92.4129180908,94.1823577881,92.6300964355,91.7980041504,92.1882858276,91.2416381836,91.6175613403,3892,108.64
92.5656585693,101.501945496,96.2069396973,92.2375335693,92.8692855835,92.5390701294,101.622894287,97.8960189819,97.5325469971,92.3249053955,6742,91.17
92.8469467163,91.2762374878,91.2602767944,92.1940917969,92.0194778442,91.7364196777,91.3277511597,92.3172988892,92.4987945557,92.1653823853,4846,109.28
97.3638458252,96.6118621826,96.9466400146,93.5329971313,100.6978302,101.023468018,92.6127243042,92.1109161377,97.5037384033,102.359352112,699,91.62
92.0417633057,92.8697814941,93.7641906738,92.3638839722,92.1932525635,92.2187576294,92.5336227417,97.9687194824,91.6159439087,92.0444412231,1344,103.9
92.1805419922,91.4502563477,91.7133712769,92.1452026367,91.4944000244,91.957824707,91.4372787476,92.0638656616,92.0581130981,91.1158370972,7954,96.87
113.570480347,113.592262268,113.650932312,113.64604187,113.334480286,114.635719299,113.309768677,113.195083618,113.393257141,113.815284729,3482,105.79
91.7237930298,91.3522720337,91.8053741455,96.5821380615,92.2762680054,91.3828201294,93.7452392578,92.2130279541,94.7405395508,92.3040847778,5545,88.69
92.3642196655,92.6117477417,91.4034042358,91.9758529663,92.2119903564,92.4509811401,92.1321182251,92.1178512573,92.0318450928,92.3543777466,7190,90.8
96.6429138184,92.1952438354,92.3822937012,91.8668899536,92.4706192017,95.8612823486,91.4804000854,92.3773727417,92.1065673828,91.9957351685,3874,97.87
92.1669921875,91.6391067505,91.1769866943,92.2117004395,91.5268783569,92.4466323853,92.4508666992,92.6678237915,92.019203186,91.0816726685,8167,86.96
102.780891418,102.899307251,106.582290649,103.039596558,106.991241455,102.327919006,103.573631287,104.504234314,107.889297485,103.239707947,695,97.75
113.842720032,113.230644226,113.36894989,113.556991577,113.335121155,113.122535706,113.466323853,115.439727783,113.396377563,113.893188477,1367,108.68
108.732666016,113.57421875,106.014541626,109.980278015,107.043281555,112.984863281,109.219741821,101.154121399,113.40940094,113.562850952,3808,102.91
113.753585815,114.445266724,113.65536499,113.593711853,113.698150635,113.125198364,113.481544495,113.993026733,115.147094727,114.278892517,922,116.6
91.8786239624,91.37840271,91.6423568726,92.2141571045,91.9624786377,92.2408218384,91.1700210571,92.1492767334,92.0350341797,91.5536651611,2197,112.51
113.900405884,113.706863403,113.264122009,113.368186951,114.034858704,113.117340088,113.311393738,114.057060242,113.395370483,113.826599121,6645,108.86
107.211502075,113.261451721,107.400978088,103.841827393,113.340522766,99.8830108643,103.71320343,106.713539124,111.613288879,113.707489014,8384,107.24
92.9095306396,92.432800293,91.4837493896,92.4443588257,93.2182769775,92.5931777954,92.2665557861,91.7915649414,91.6636657715,92.2709732056,8307,87.43
92.6968688965,91.4253234863,91.8506546021,92.0917739868,92.439743042,92.2118606567,92.5089035034,92.4269485474,93.6700286865,92.2728500366,325,94.92
77.7588577271,77.5359649658,77.68800354,77.4838104248,76.7264938354,77.646194458,78.1970748901,77.5047607422,77.1577529907,80.9607696533,587,76.59
102.172134399,102.445533752,102.533500671,106.878913879,102.968513489,103.333824158,103.385742188,103.221481323,102.029624939,102.486068726,2754,98.32
102.886314392,102.427200317,102.509185791,102.477470398,102.237556458,102.212738037,101.556137085,102.966239929,101.042442322,102.729103088,6090,96.92
95.7219390869,96.1341934204,93.7396392822,93.440071106,95.3340988159,96.820892334,96.4845275879,95.3689651489,96.0262145996,96.8477859497,3591,108.97
101.968467712,95.9811172485,101.783462524,96.8108139038,106.728538513,95.160736084,102.958686829,97.8236312866,102.236808777,101.89528656,4822,92.98
106.840873718,95.0960845947,94.6619415283,96.9355163574,94.5467376709,96.2271728516,95.0118103027,109.106689453,107.336181641,95.3093185425,1728,95.1
91.7251586914,92.2515563965,91.6544799805,93.7909240723,92.4390640259,94.8344726562,92.4998321533,92.4358215332,96.0057373047,91.7616348267,7940,87.71
113.740158081,107.748374939,107.982521057,102.884170532,114.292160034,113.06879425,108.13432312,108.474533081,113.354171753,113.758903503,6433,105.71
96.586769104,99.6209945679,91.5619888306,92.869720459,92.513710022,93.9911804199,91.1979904175,94.4322280884,92.9942321777,94.345451355,1141,94.56
92.2079391479,91.3465423584,91.7397766113,92.5808258057,92.0602416992,91.8715362549,92.5308227539,92.4570541382,91.6737976074,91.9187698364,7676,96.93
101.88899231,103.301315308,102.444503784,102.244430542,102.098991394,102.577774048,102.401870728,102.740325928,103.189071655,102.219039917,5096,97.2
102.392089844,103.228050232,108.071937561,103.301673889,102.779663086,97.2059326172,113.294456482,98.3560943604,92.1272201538,106.695487976,2616,88.63
113.532241821,113.229736328,114.172622681,113.367622375,113.691268921,115.03944397,115.460289001,115.460098267,113.400947571,113.888038635,838,111.7
94.7900619507,101.766113281,97.1710128784,94.1032409668,104.65184021,93.1901702881,96.6465530396,97.8746261597,93.2066726685,102.084022522,7206,89.23
103.720909119,94.8154296875,95.7805023193,96.0399856567,92.3111190796,95.1954574585,92.1568832397,101.006904602,96.7294540405,94.1091766357,4728,113.86
92.2726135254,92.0702819824,92.0677490234,92.204826355,92.1263656616,91.8815917969,91.6885070801,92.5051879883,92.7897491455,94.6185302734,2552,108.19
95.2263946533,92.7122497559,98.0929794312,98.9437561035,95.6392211914,96.6217269897,95.0935211182,92.5111999512,96.1729049683,92.0919418335,4828,89.91
95.1500091553,92.4133071899,95.3239364624,97.5582199097,92.4772720337,92.6864395142,92.3478469849,95.494720459,92.1300888062,97.3287811279,4059,89.86
113.449142456,113.713020325,115.686645508,113.726409912,113.699790955,113.124069214,114.053367615,115.600494385,113.396369934,113.580986023,4593,119.2
92.7800292969,92.427772522,92.3690795898,92.0600967407,92.3116226196,92.7964553833,92.8656616211,92.4675369263,92.2884368896,92.040397644,7208,91.7
93.5754318237,91.4104385376,91.3638534546,93.3846588135,92.3384857178,93.1406555176,96.9566802979,92.5488586426,92.4886550903,95.9532470703,2924,93.03
108.848022461,113.597137451,112.871208191,111.509307861,114.264953613,109.764350891,113.309555054,111.390686035,110.689826965,113.794403076,5668,114.07
102.365287781,104.923568726,103.738555908,107.317802429,103.289642334,103.15171814,102.815551758,102.134979248,101.747062683,102.95816803,6079,102.93
91.8360214233,96.3576431274,91.7240600586,92.7180175781,92.0008544922,91.7384262085,92.2381286621,92.2453918457,92.0212478638,92.7533340454,1358,90.66
93.4886932373,95.6580429077,98.1413726807,100.040657043,100.68309021,104.152030945,93.3446273804,92.8938980103,98.2258605957,92.3861846924,5857,108.24
113.397689819,113.263061523,114.228889465,107.662742615,114.290802002,109.201835632,109.03238678,111.144676208,109.516662598,112.765007019,6633,116.93
102.564186096,102.397659302,103.573638916,102.753005981,102.111732483,102.845657349,102.859199524,102.724739075,103.262237549,101.530059814,6157,94.85
92.8749542236,92.4997024536,91.1865539551,92.2482452393,91.9916610718,92.5727386475,91.3632049561,92.3190307617,92.0486221313,92.3029098511,4302,91.88
94.2384414673,96.6341552734,95.3402099609,92.0042266846,97.9018554688,93.3061523438,97.416633606,92.1682357788,92.1416320801,92.7756958008,5175,99.49
114.000335693,113.787719727,113.263214111,113.094482422,113.294143677,110.947868347,113.796989441,113.949356079,109.746528625,112.065185547,6476,107.46
113.991355896,113.657028198,113.269798279,113.532478333,114.297767639,113.020309448,113.475158691,114.053108215,113.357749939,112.765914917,4390,121.6
113.747993469,113.583747864,113.265197754,108.184112549,113.473510742,113.600128174,113.319709778,114.242683411,114.028648376,113.771575928,4250,111.14
91.7060317993,91.7983398438,97.2045669556,94.1765518188,91.7248916626,92.1090621948,92.5727996826,93.6780166626,91.1555786133,92.3096313477,2831,135.29
92.2950057983,91.9998779297,93.7358627319,92.9566040039,93.2144851685,96.5238800049,92.5303421021,92.3185577393,91.8561325073,96.3691482544,4337,102.3
101.894691467,92.7721481323,92.8884735107,92.2862701416,92.4258346558,92.0480270386,91.8288650513,92.1090087891,91.6284255981,91.9928741455,2064,89.75
97.973197937,92.4894714355,96.2138824463,97.4354324341,97.3520431519,95.1999893188,97.6347045898,101.989311218,95.6098861694,96.595916748,1183,93.65
93.5573425293,95.0971298218,97.6572189331,96.1112518311,94.7671508789,94.811958313,93.6826553345,93.1514587402,92.5433959961,92.1358718872,5641,88.23
113.569511414,113.624977112,113.648338318,113.363792419,113.483657837,114.617675781,113.823738098,111.803512573,113.393707275,113.10774231,6147,105.0
91.7232437134,92.49193573,91.2928543091,92.2548141479,91.534828186,92.2473220825,91.8342819214,92.3467712402,91.5475082397,92.2618713379,2897,112.88
92.2347183228,91.5509033203,91.547996521,93.4281387329,92.3473739624,91.6114807129,94.6861495972,91.7299346924,91.7027053833,93.0906295776,7915,92.11
113.558479309,106.813491821,111.723526001,113.352226257,114.298103333,107.927841187,112.853469849,113.829368591,113.951011658,112.764442444,6961,104.55
102.382965088,100.068275452,99.4688949585,92.583404541,93.1248626709,102.139770508,92.5073776245,97.5013580322,100.871818542,110.250450134,4946,98.16
113.505966187,114.113670349,113.27217865,112.442459106,112.977775574,113.01184082,110.588661194,114.03805542,105.69720459,112.765396118,6957,107.94
113.729614258,113.587097168,113.265640259,114.124771118,108.48941803,110.044502258,108.770179749,114.042320251,113.394691467,113.571479797,6190,107.9
102.193084717,102.308418274,102.718269348,102.526634216,102.338806152,106.972679138,103.347434998,103.165039062,101.245903015,103.361709595,8005,103.08
91.7620315552,91.3516693115,90.6500854492,92.5026092529,92.0757064819,92.7994766235,92.5102920532,92.4145736694,92.0885391235,91.1827545166,386,89.67
113.534645081,113.22341156,114.233703613,113.592605591,113.64868927,113.354759216,115.503700256,114.044197083,113.412261963,113.624771118,3375,107.69
93.0104598999,93.6580276489,92.2546310425,92.2867050171,92.2449188232,97.1818389893,93.9686965942,91.9122924805,92.3473052979,92.6241607666,7609,87.14
113.710647583,113.671714783,114.226493835,114.148262024,113.485946655,114.639854431,115.503540039,113.992729187,113.958564758,113.587158203,1142,111.41
113.968833923,114.383422852,113.262420654,113.35962677,114.294792175,112.377319336,109.934089661,110.539779663,113.966186523,109.913009644,2493,105.97
113.555145264,113.622940063,114.247642517,113.556236267,111.715133667,113.379440308,113.822502136,114.053726196,113.410194397,105.291473389,7388,104.87
91.7479324341,95.3500976562,96.1739883423,93.2804870605,96.7972946167,96.9811859131,96.4217300415,93.557434082,96.5611190796,94.5890884399,6297,90.48
113.541519165,113.636001587,114.04851532,113.591842651,113.672386169,113.123550415,114.03478241,113.940216064,113.411384583,113.824691772,2716,118.06
96.9325485229,92.1096343994,91.8421554565,92.4238967896,93.7685623169,97.2754592896,96.8431243896,92.9753036499,93.1342544556,95.0734329224,4524,91.55
92.3930435181,91.9493179321,92.3146743774,94.6157836914,102.831184387,92.4977264404,93.5707015991,92.1959838867,91.7345123291,92.8627243042,6898,97.28
108.238922119,114.437240601,107.821800232,108.603652954,104.966918945,107.391975403,108.661315918,108.720748901,108.728942871,106.945419312,1547,107.71
97.145072937,94.0806350708,91.3051147461,91.9303741455,92.6192474365,94.2188949585,97.7470169067,92.4541702271,91.1166610718,91.6373214722,1034,88.98
94.896697998,93.4619216919,91.7988204956,93.4609832764,90.7042617798,98.4110794067,92.2584228516,92.9085006714,91.5593566895,92.4061431885,2596,91.1
91.9324569702,91.7353210449,92.945350647,92.2008895874,92.3373947144,94.177696228,91.5135879517,92.9955215454,94.8354263306,96.653465271,6754,86.25
113.753868103,113.264938354,113.273529053,113.7240448,114.289077759,113.11088562,113.485046387,114.214729309,113.393089294,114.280708313,5252,117.26
96.5797119141,96.308013916,93.430480957,92.2422485352,102.305160522,95.4612350464,106.330101013,93.115737915,91.6072616577,96.2765426636,1688,91.21
113.157615662,98.1257705688,107.682853699,104.464118958,113.232322693,110.69392395,111.452880859,108.772171021,106.366851807,103.719184875,4544,113.99
113.513130188,113.479354858,113.594734192,113.359985352,114.297546387,114.545471191,113.303833008,111.985099792,107.947486877,113.850662231,755,107.74
113.543708801,113.769577026,114.233795166,113.647644043,113.565948486,114.6065979,113.317825317,113.060012817,115.096702576,113.589019775,5152,115.27
113.986305237,113.783988953,114.247253418,113.646896362,114.296195984,115.054489136,113.992675781,113.973396301,113.967674255,114.274757385,2039,108.64
113.171569824,113.757247925,108.112236023,113.503295898,109.563438416,113.114593506,113.303337097,113.654151917,103.503791809,112.765274048,7980,142.46
94.7266235352,92.5423660278,92.4335327148,92.0321273804,95.1023483276,99.0317993164,94.0756378174,92.6902008057,96.0076904297,91.7338409424,3957,103.03
113.446746826,114.437393188,114.208633423,113.572792053,113.496177673,113.122894287,113.458358765,111.585403442,113.743400574,113.899459839,4321,118.02
102.820472717,94.1501998901,103.194503784,102.119430542,99.6960067749,105.397644043,101.346885681,102.033058167,102.668418884,103.221626282,6914,93.81
94.6728820801,94.0291137695,100.783233643,97.3471069336,95.6212310791,92.1235580444,96.0378417969,93.4393615723,92.6948165894,96.1705932617,1736,116.02
113.904876709,113.327651978,113.634063721,111.091468811,114.02204895,114.594818115,113.780891418,111.781669617,106.097488403,112.76739502,6965,108.74
102.98449707,102.433021545,103.984046936,102.334320068,102.449333191,111.902839661,103.978096008,102.821083069,103.172592163,102.672691345,5985,108.19
91.6683807373,91.8684387207,91.7178649902,92.5011444092,92.1623458862,91.9946594238,92.535484314,92.1719741821,91.5961151123,92.3464431763,1535,100.25
92.4875335693,91.360824585,91.719078064,91.9030609131,91.5489730835,92.050994873,90.8181686401,92.1293716431,91.5785598755,92.2808380127,2806,92.98
95.9720153809,96.155128479,97.8908081055,96.8597640991,96.9658889771,92.9948577881,97.1871032715,92.9722518921,96.9369049072,96.9862594604,3248,114.6
91.5643768311,91.3606719971,92.2942810059,92.2716293335,91.5250244141,91.6731033325,92.4496383667,92.1026229858,92.0890426636,91.098274231,503,91.01
93.9404525757,92.921546936,91.3116226196,92.4547348022,96.9707260132,92.8706970215,96.6996994019,92.1961669922,92.5474777222,92.6387176514,2356,100.37
113.547447205,112.736206055,114.904159546,113.386352539,113.334938049,108.911430359,113.470252991,107.819549561,113.910598755,108.959320068,4306,113.75
92.4390945435,91.3699798584,92.3090209961,92.2422332764,95.507194519,94.1483535767,91.4266967773,92.2217559814,91.6070175171,92.3460845947,1478,115.62
102.40940094,103.594161987,103.60635376,101.513145447,105.515899658,104.059020996,102.604438782,103.718681335,102.157485962,103.731964111,4143,113.28
102.187591553,101.371589661,102.020553589,102.512550354,102.325187683,102.502700806,100.061729431,102.768424988,100.55695343,102.153152466,3725,98.19
113.893791199,113.786170959,114.231544495,113.648468018,113.382797241,115.053398132,113.116882324,114.224960327,114.012199402,113.829528809,3516,114.57
97.1059875488,94.657081604,96.1981124878,93.6974868774,92.4567260742,92.2095336914,96.8200149536,97.3064193726,92.8869552612,97.3382034302,6027,104.33
91.7998962402,91.9376296997,90.5685577393,92.3364562988,91.5733337402,92.5471725464,91.6896438599,92.7759399414,91.6867752075,92.2252426147,6022,88.48
113.558425903,113.265335083,113.263069153,114.149101257,114.298149109,113.117515564,113.438262939,114.044670105,113.965492249,114.253082275,7663,111.22
103.432785034,103.47996521,103.157272339,102.65486145,102.582893372,102.801177979,102.426345825,104.936408997,102.966590881,102.322044373,5542,100.25
92.177230835,92.0085830688,91.5055618286,92.2285766602,92.2599868774,92.5477981567,95.8886489868,92.404914856,92.1007080078,91.4319992065,8056,89.38
97.0242919922,95.8552474976,91.6497421265,94.9414291382,97.9239044189,92.760635376,96.1364746094,92.467666626,96.181388855,93.4746170044,3623,92.47
91.7685165405,92.7993011475,91.7273635864,97.2078094482,91.5820236206,93.7859191895,95.790512085,90.5345458984,91.8962631226,94.8016052246,4885,121.41
104.422706604,108.269187927,114.165184021,107.050262451,102.861274719,102.766723633,110.042259216,110.687065125,112.857200623,112.959411621,2270,118.23
77.780921936,77.8189926147,79.4573822021,77.6383056641,76.7013931274,80.6671295166,80.4864196777,77.9282684326,76.7373886108,80.9795303345,7084,76.32
111.854408264,105.639251709,115.901634216,102.742012024,113.336334229,114.869285583,113.330955505,111.066741943,112.171684265,106.163825989,2503,105.03
113.936210632,114.447731018,113.250801086,113.626678467,113.606048584,113.119132996,113.424530029,113.031440735,113.879936218,113.360244751,3758,128.02
93.5397186279,92.21509552,91.8730316162,91.9256896973,91.8110046387,92.0572433472,91.4891967773,92.3810958862,92.9973526001,92.6727752686,2158,93.11
92.8957977295,96.334487915,92.5236740112,91.9495925903,93.7633743286,92.04712677,92.5048828125,92.8523178101,92.1084289551,92.4302215576,2267,88.62
113.700653076,114.418991089,113.554489136,113.233909607,113.458129883,113.381126404,110.311645508,110.140846252,111.404907227,112.765907288,6086,106.04
113.481269836,113.639122009,114.217819214,113.368972778,113.453453064,111.205154419,109.770988464,114.05241394,114.938247681,113.822990417,2621,105.8
95.5975799561,91.9025039673,91.7460098267,92.2126159668,92.4218215942,92.6418838501,91.4592971802,92.3506393433,94.2883453369,93.6876144409,6958,84.76
92.2815933228,91.7872467041,92.4496459961,92.300201416,91.5948791504,92.5206680298,93.7323913574,91.7828979492,92.301071167,93.3202362061,6789,95.5
113.707466125,113.511192322,114.238594055,113.356300354,114.289009094,113.123817444,113.319847107,114.777168274,114.03037262,114.211021423,1581,118.9
92.1461868286,93.8350982666,92.2771606445,91.9357833862,96.7423553467,91.8738937378,96.6470565796,92.2824172974,92.0864562988,95.7738876343,4083,88.97
93.4795837402,92.4781646729,92.2767105103,93.1792907715,92.604309082,92.1213378906,92.7885055542,92.4708023071,93.3954238892,93.7026290894,1374,110.24
97.9689178467,94.2350234985,94.2587738037,96.7538146973,93.069732666,93.6375350952,102.211883545,92.3528900146,96.7905731201,97.9789505005,7614,94.4
92.8877944946,91.9284515381,91.1857147217,91.9184112549,92.8331451416,92.0836181641,91.3190689087,92.1605682373,93.2007446289,92.3446807861,3767,87.4
113.751815796,113.713867188,114.2371521,113.372962952,113.782341003,113.097961426,115.409698486,114.000732422,113.383476257,114.271476746,4132,111.32
91.9039535522,92.3808288574,93.2183609009,92.3125228882,92.1916732788,91.679145813,90.5860748291,97.5970001221,92.5154571533,91.0821609497,2049,90.1
92.6098403931,92.5021209717,91.7775421143,92.2080078125,91.8903121948,91.8957824707,91.6558074951,92.3737106323,91.689781189,89.6743545532,7720,92.2
92.2871017456,92.6537399292,92.5941925049,92.3783493042,92.5337677002,96.6259384155,92.3387680054,92.4862518311,100.107398987,94.9486160278,3104,90.66
97.9802627563,92.7768936157,93.1533355713,96.1486434937,96.834602356,94.0774688721,95.6241760254,95.3892364502,91.7621536255,92.7870635986,3581,89.79
113.724777222,113.631736755,114.10533905,113.339874268,113.292175293,113.117401123,113.324829102,110.7576828,113.926605225,114.275672913,3075,108.42
113.907608032,114.44052124,113.654258728,113.648399353,113.455802917,113.380218506,115.553543091,113.990036011,113.398727417,112.764152527,5210,117.27
102.50289917,100.51360321,103.75567627,102.376396179,105.708145142,103.283615112,102.543891907,102.629959106,102.624504089,103.686378479,2727,107.5
104.086791992,107.214569092,110.83769989,102.359008789,106.198577881,103.340957642,107.983444214,102.953292847,103.42010498,106.566665649,2012,101.66
113.97959137,113.250740051,113.965911865,114.132316589,113.452926636,113.382926941,115.553543091,113.164871216,113.408439636,113.570861816,1318,111.66
77.7671432495,77.1348876953,80.5254058838,77.4946289062,76.6126251221,77.5936050415,78.6136703491,77.5220184326,80.5728149414,77.5170822144,5917,75.1
93.5332336426,92.5702896118,91.610786438,92.3072967529,92.5140686035,92.627571106,96.1100921631,92.24609375,92.080291748,91.5790252686,5400,93.22
108.882980347,113.786689758,111.190765381,113.300483704,113.264450073,113.35559845,113.814125061,113.228218079,109.595344543,113.799125671,6444,107.13
113.445465088,114.420661926,113.656196594,113.722892761,113.340042114,113.381851196,113.318962097,114.190284729,114.025627136,113.889465332,5243,127.42
92.3131408691,94.6891326904,92.2604522705,94.6854553223,92.3926696777,92.0390167236,95.6596755981,92.365272522,94.3527069092,92.3028945923,4482,91.31
102.25202179,103.652389526,106.287391663,102.887191772,103.12374115,103.87184906,103.491508484,103.743423462,103.091033936,103.259872437,3494,114.18
92.2660751343,92.7856369019,92.8214492798,95.1558761597,96.5165100098,92.3048629761,91.9895629883,91.8012619019,92.577331543,91.2644042969,7895,92.8
113.470291138,113.691017151,114.226997375,113.36151123,113.339530945,113.115005493,115.553459167,115.370315552,113.96875,113.822570801,1175,113.75
113.560821533,113.637565613,115.894454956,112.488380432,114.265693665,113.118179321,113.742523193,110.720245361,113.395736694,111.964775085,1223,116.87
113.550712585,113.635566711,114.245918274,113.637908936,113.330276489,114.642570496,113.461532593,114.051322937,113.412071228,113.584327698,5798,113.75
113.984291077,114.445846558,114.188369751,113.369110107,114.278404236,113.094543457,113.312789917,113.929473877,113.96685791,114.237594604,5450,107.68
91.6931228638,91.5947418213,91.4775543213,92.2034683228,92.2331924438,91.6143569946,91.4823608398,92.1707000732,92.4214859009,91.0966186523,4225,89.91
113.729545593,113.647331238,115.824485779,113.342025757,109.063621521,113.118057251,113.639968872,113.760894775,113.387550354,113.822105408,2949,110.44
93.7633285522,94.1222381592,97.9908447266,93.8201675415,92.0648040771,93.8106231689,91.6498184204,91.9026794434,91.9088439941,92.6499786377,5907,93.97
102.877326965,104.119689941,103.101379395,102.691986084,102.677276611,105.907577515,103.447120667,101.995162964,103.878540039,102.657073975,4404,98.12
107.6223526,100.957351685,103.091156006,102.998413086,106.309043884,113.366165161,104.390762329,102.607589722,113.055374146,103.50088501,508,100.98
102.56287384,101.977561951,102.349082947,102.613952637,101.995201111,103.201896667,103.096069336,102.84287262,101.708351135,102.226211548,3401,97.67
