keras_MSE3_sqr_relu1,keras_MSE3_sqr_relu2,keras_MSE3_sqr_relu3,keras_MSE3_sqr_relu4,keras_MSE3_sqr_relu5,keras_MSE3_sqr_relu6,keras_MSE3_sqr_relu7,keras_MSE3_sqr_relu8,keras_MSE3_sqr_relu9,keras_MSE3_sqr_relu10,keras_MSE3_sqr_relu11,keras_MSE3_sqr_relu12,keras_MSE3_sqr_relu13,keras_MSE3_sqr_relu14,keras_MSE3_sqr_relu15,keras_MSE3_sqr_relu16,keras_MSE3_sqr_relu17,keras_MSE3_sqr_relu18,keras_MSE3_sqr_relu19,keras_MSE3_sqr_relu21,keras_MSE3_sqr_relu22,keras_MSE3_sqr_relu23,keras_MSE3_sqr_relu24,keras_MSE3_sqr_relu25,keras_MSE3_sqr_relu26,keras_MSE3_sqr_relu27,keras_MSE3_sqr_relu28,keras_MSE3_sqr_relu29,keras_MSE3_sqr_relu30,keras_MSE3_sqr_relu31,keras_MSE3_sqr_relu32,keras_MSE3_sqr_relu33,keras_MSE3_sqr_relu34,keras_MSE3_sqr_relu35,keras_MSE3_sqr_relu36,keras_MSE3_sqr_relu37,keras_MSE3_sqr_relu38,keras_MSE3_sqr_relu39,ID,y
113.593856812,110.819625854,106.894065857,107.782318115,98.85546875,101.138648987,107.264732361,111.522026062,107.363838196,107.637557983,101.864501953,97.6793136597,105.920372009,104.29649353,112.079216003,112.475540161,98.8039550781,104.812210083,106.566688538,106.803924561,106.8959198,102.157646179,108.858924866,107.065917969,104.551239014,101.85181427,99.9281997681,96.3397979736,103.520187378,101.240974426,108.924583435,104.370132446,111.340118408,110.098327637,104.705093384,105.246704102,113.608512878,99.2537002563,31,102.09
105.038398743,101.317344666,113.412742615,111.553817749,109.099433899,109.864837646,96.3702392578,113.596504211,110.63293457,103.611434937,105.900863647,99.2597579956,115.799812317,104.505958557,115.524368286,99.063117981,100.784042358,108.287277222,104.604347229,108.153289795,106.153762817,106.12739563,96.7836990356,102.034111023,99.9964523315,102.412353516,96.8432235718,112.488731384,104.332962036,112.814620972,96.6598358154,98.8152542114,106.612136841,102.420127869,102.960670471,101.050735474,110.093040466,105.924301147,32,98.12
88.8516769409,96.0428237915,86.6591110229,94.6287841797,90.3470916748,93.9835510254,93.9253311157,97.5822753906,91.3642349243,88.758972168,86.5717086792,88.2397842407,90.8004074097,91.7615432739,94.8156585693,94.9660415649,89.3661193848,83.4581069946,91.5494155884,98.3305206299,99.9090805054,93.9283828735,95.0898361206,94.4171447754,89.9984741211,94.4416046143,92.7321624756,92.9050064087,90.2224960327,91.2163848877,95.900390625,97.357963562,92.3857498169,87.191734314,88.0144271851,90.4586791992,89.0795288086,99.3932037354,34,82.62
97.3420257568,102.48550415,101.435592651,100.599517822,95.7143096924,102.064361572,100.152244568,102.1173172,98.4839553833,100.22429657,99.0777435303,91.2422561646,96.5772857666,96.8936538696,104.527351379,107.978363037,95.2994766235,94.2664489746,102.524276733,92.455116272,94.1778411865,98.893989563,104.992797852,101.518417358,96.954284668,103.148292542,96.814453125,94.6910018921,98.8084259033,94.8930130005,97.3700866699,91.6369247437,104.931358337,96.9078598022,97.797958374,104.047660828,112.816627502,91.0703659058,36,94.12
93.4554748535,106.647903442,101.453895569,97.127746582,97.7834396362,101.357978821,90.8898696899,100.112510681,96.1527862549,97.5946884155,96.3439178467,100.845855713,97.735534668,97.7669143677,102.046112061,99.5844573975,100.612411499,98.2555847168,96.7495498657,88.9967422485,103.394744873,87.3425064087,95.9528045654,96.0872802734,96.468132019,97.0859832764,93.1807403564,96.5287475586,99.7527694702,102.3543396,96.5640182495,95.5174484253,94.9389266968,96.1149520874,96.6687469482,99.7327651978,102.621887207,99.3134689331,37,99.15
97.9894485474,98.3097991943,92.6216812134,93.8622741699,103.372947693,97.7947158813,101.987472534,97.7858123779,94.3523254395,97.6698684692,89.263999939,100.177192688,99.9824523926,99.1043243408,93.366859436,93.4456481934,91.8223571777,93.6988449097,93.944152832,100.484214783,89.4666671753,89.3927307129,97.1433486938,95.2352828979,95.3413391113,95.7640838623,96.9134216309,93.2811050415,95.2768707275,87.679145813,93.9159622192,95.8147659302,97.9384613037,88.2518615723,100.725128174,92.1649856567,93.0525054932,98.2194976807,38,93.64
97.3420257568,102.485481262,101.435569763,100.599494934,95.7143630981,102.064361572,100.152244568,102.1173172,98.4839706421,100.224334717,99.0777053833,91.2422180176,96.5772705078,96.8936538696,104.527328491,107.978385925,95.2994918823,94.2664871216,102.524238586,92.455116272,94.1778259277,98.8940505981,104.992774963,101.518379211,96.9542617798,103.148292542,96.814453125,94.6910247803,98.8084487915,94.8930130005,97.3701248169,91.6369247437,104.931358337,96.9078826904,97.797958374,104.047683716,112.816650391,91.0703430176,39,106.1
96.0629043579,103.543243408,106.008644104,101.663139343,107.474937439,102.556045532,90.7080154419,101.13394928,101.788032532,99.2295455933,108.403877258,99.6253128052,100.008811951,98.1465988159,103.64025116,96.3950271606,105.880996704,98.6240005493,103.080696106,100.125793457,107.164459229,101.867271423,97.5607376099,100.91658783,101.475624084,97.0855331421,100.282737732,109.805206299,102.658218384,109.585243225,94.2577133179,103.272262573,96.8358306885,101.293464661,99.0803604126,103.19883728,107.305503845,101.796943665,40,114.13
92.7748565674,103.507881165,85.1220474243,87.7927017212,97.5229492188,89.2169189453,91.6015930176,95.8771133423,90.4404830933,91.1199188232,92.7835617065,89.1779174805,94.6290054321,99.3366394043,100.689430237,98.2182846069,97.499710083,95.0897674561,97.951385498,92.5966796875,87.6744308472,88.5537338257,94.3989639282,94.6789932251,103.941146851,95.3793182373,96.3581466675,96.7522735596,94.6102828979,98.8255462646,86.7292785645,90.1360626221,95.2997207642,93.4771270752,97.3334655762,96.9688415527,94.3440246582,106.955070496,44,89.81
86.9761810303,85.6619644165,99.6370391846,95.5422821045,93.6710586548,93.083442688,94.8864364624,92.5880203247,88.7005081177,89.3366775513,86.37084198,92.0914077759,92.9928512573,89.0365600586,95.6374435425,95.0866622925,84.0733032227,94.1869888306,89.7319717407,92.2523193359,95.2315444946,89.7548141479,101.448860168,96.4203491211,89.2981719971,86.6736602783,95.1740570068,92.2426071167,93.9268875122,88.8255767822,99.2470092773,93.8541259766,95.6409683228,84.5223464966,90.1654205322,92.036857605,93.4234848022,84.0875396729,47,90.81
81.8052978516,84.37525177,91.4646072388,93.8699798584,96.5977401733,92.2668228149,90.2589187622,90.9119338989,85.8880767822,91.4061889648,90.6249771118,91.2033996582,100.429252625,89.0798721313,93.3875808716,90.3982772827,84.6458740234,94.840675354,91.7397689819,97.8375778198,99.1516647339,86.7954788208,91.5468597412,86.8504867554,97.6973190308,91.8310241699,84.4250183105,94.6344451904,90.7628479004,93.8062133789,96.2327804565,91.6030578613,94.5007629395,90.1077270508,91.7402954102,89.8241424561,96.8101348877,94.4065628052,48,90.56
93.4665374756,97.8319549561,89.5631408691,90.3499755859,90.3501968384,94.9705581665,92.7878417969,100.9425354,91.3210678101,92.7453689575,90.1934738159,96.0548248291,92.5586166382,102.797714233,93.5342483521,97.1529388428,95.1857452393,92.1569519043,95.535774231,96.0547180176,95.8346328735,93.6535186768,96.2898178101,94.6004180908,96.0322875977,93.0457000732,89.2313842773,90.871887207,93.4633331299,97.5946578979,91.0695266724,89.7811965942,90.4976348877,84.8114547729,99.8795852661,101.960350037,95.4600067139,98.247795105,49,94.57
115.076599121,108.669296265,116.275512695,114.206306458,117.20349884,127.60572052,119.652984619,118.005783081,114.604881287,116.674285889,113.246589661,117.8409729,117.653770447,114.994804382,113.31061554,126.802764893,108.951423645,114.78565979,110.383544922,114.58442688,114.106552124,115.052513123,131.205703735,122.621063232,117.135902405,117.997077942,118.858787537,99.8751678467,112.774353027,103.459648132,108.354698181,120.96647644,115.971755981,112.9271698,108.305007935,122.963775635,122.109840393,104.605361938,50,108.14
104.223556519,105.176216125,114.713394165,115.051368713,117.607826233,110.496551514,102.927070618,103.740310669,113.536476135,115.155708313,114.28263855,110.659172058,121.617767334,104.309562683,111.186164856,109.465873718,111.544143677,107.513557434,113.754936218,115.577323914,111.296226501,104.157241821,107.393226624,102.680343628,111.453536987,105.842140198,117.337593079,120.247581482,110.903030396,121.130012512,111.515220642,109.486351013,106.14238739,106.663230896,108.45552063,115.984405518,111.127128601,116.908256531,52,120.77
92.0620193481,96.9943847656,93.858505249,91.5242462158,89.0094223022,90.659828186,97.7134170532,93.7088317871,91.3985137939,87.467628479,88.6062011719,85.4516830444,99.2775497437,97.0792922974,93.607421875,93.5768051147,92.7340164185,93.6044464111,94.7828979492,97.9087524414,90.334274292,85.1190032959,95.5076675415,92.1532516479,88.9655609131,93.2215957642,91.6005935669,90.7939071655,88.6623535156,94.1133270264,88.0003051758,89.5104064941,90.3497619629,88.455116272,95.5310211182,91.7980728149,93.1949539185,93.3333435059,54,84.84
105.52306366,97.1851806641,91.3335342407,91.8444366455,93.4006500244,97.5011825562,99.8091278076,98.2934188843,90.847984314,100.991210938,89.013458252,93.5699768066,90.1972045898,90.8965454102,95.1854858398,100.338111877,89.7959289551,94.0090179443,96.5844497681,90.2650222778,92.0119171143,88.5195617676,96.2016830444,92.2244338989,86.5468826294,90.9052200317,99.7318725586,92.7680969238,90.0483474731,92.0039749146,94.1337203979,88.3344421387,92.3063812256,97.5279846191,93.4398956299,97.5956344604,100.222846985,85.6653900146,60,93.59
102.423698425,101.460624695,107.219795227,101.233161926,110.623680115,112.95803833,99.3821334839,106.145942688,92.3141403198,106.315460205,105.944107056,103.869308472,112.622428894,99.951751709,97.1451721191,104.79473114,96.0611419678,102.402565002,100.744194031,105.375907898,99.9073257446,92.6123733521,98.5031890869,101.667793274,111.618774414,102.11681366,91.7275238037,101.376396179,106.40423584,110.167404175,104.184150696,99.3263549805,102.240150452,102.259262085,101.262962341,104.005195618,103.989028931,104.471099854,61,104.07
102.196838379,98.4542770386,87.7617492676,99.8363800049,90.9935836792,89.5925979614,94.4159545898,102.640380859,96.7443161011,92.1469345093,89.2503585815,92.5174484253,108.2865448,92.5980377197,93.3582000732,98.4493560791,88.617729187,87.436668396,95.3498153687,102.050392151,99.2775268555,91.2154006958,85.6024627686,96.7482528687,93.73097229,89.8352813721,94.0187835693,90.4409942627,95.9307022095,94.0253067017,93.0086669922,102.765846252,95.9766464233,89.9655609131,96.6346511841,94.993850708,95.9754180908,98.3509674072,62,89.37
91.9527740479,94.6831207275,96.6841430664,91.0734405518,100.102867126,99.2250671387,99.899887085,87.3104934692,92.3664855957,86.1069107056,86.9816970825,93.6230163574,91.1962203979,92.5865707397,98.4047546387,95.1619033813,84.738609314,95.1971893311,93.835975647,90.3909378052,96.9790725708,94.5439910889,97.0551452637,103.082069397,88.8736190796,87.7909851074,97.6355667114,94.8049621582,93.791305542,92.4385528564,90.3499069214,90.5495529175,89.5717468262,95.3944396973,90.2174987793,94.8080444336,97.355255127,94.5562667847,66,90.08
104.223480225,105.176315308,114.713439941,115.05140686,117.607826233,110.496528625,102.927070618,103.740272522,113.536460876,115.155670166,114.28263855,110.659233093,121.617790222,104.309486389,111.186164856,109.46585083,111.54410553,107.513519287,113.754920959,115.577323914,111.296165466,104.157302856,107.393173218,102.680267334,111.453292847,105.842079163,117.337547302,120.247459412,110.903007507,121.129966736,111.515136719,109.48626709,106.14238739,106.663192749,108.45552063,115.984443665,111.126945496,116.908279419,67,128.19
79.8454818726,82.8025817871,76.9806213379,78.0148162842,78.7225799561,74.2548980713,75.5450363159,82.0722579956,78.4702072144,78.3759231567,77.9245071411,72.5568084717,79.0643234253,76.2697296143,85.3009643555,77.932510376,72.7057495117,75.1636886597,75.5478210449,74.9404220581,79.8246002197,76.4491577148,80.0433883667,75.1134490967,77.7126617432,79.1129760742,80.613899231,80.3498001099,77.1708450317,84.4043731689,77.2403411865,76.3048019409,75.4597167969,74.9513702393,86.5351715088,80.4057922363,75.6921539307,84.8346939087,68,76.01
103.421455383,117.043067932,106.488952637,115.589996338,105.088272095,106.140419006,104.95816803,115.081932068,111.475379944,106.923469543,102.782981873,104.447921753,110.14099884,100.465759277,113.390686035,110.99823761,98.5609512329,109.468009949,110.244010925,101.403778076,104.264801025,114.602844238,114.898330688,111.637954712,101.223312378,113.821937561,102.422424316,110.029472351,106.925483704,103.750068665,103.183685303,103.080368042,112.815696716,108.827087402,106.736915588,108.197486877,109.821472168,107.513641357,70,107.86
104.223556519,105.176139832,114.713478088,115.05140686,117.607681274,110.496452332,102.927108765,103.740142822,113.536476135,115.155525208,114.282531738,110.659294128,121.61781311,104.309524536,111.186203003,109.465950012,111.543861389,107.513595581,113.754798889,115.57723999,111.296409607,104.157363892,107.393287659,102.680419922,111.453674316,105.842079163,117.337593079,120.24760437,110.903091431,121.129951477,111.515197754,109.486228943,106.142501831,106.663291931,108.455459595,115.984489441,111.127288818,116.908317566,74,106.87
100.11580658,100.831993103,98.0055389404,92.5212249756,96.9440689087,97.074180603,92.924369812,94.75415802,94.8053894043,93.8075866699,99.1508483887,94.5911026001,106.132049561,94.6515655518,96.9068145752,98.6601791382,89.7265167236,88.0395126343,93.9133377075,100.264282227,86.9646759033,88.3905105591,91.8100738525,96.2063598633,97.1766433716,92.1890335083,89.3998336792,92.0046539307,95.5940246582,97.8301239014,88.563117981,99.067276001,98.2253723145,90.6494064331,93.6879882812,97.3910522461,101.734962463,98.8542938232,75,104.85
113.453407288,129.726455688,119.980705261,114.202331543,101.961082458,114.10974884,117.671188354,117.775306702,107.247146606,119.191688538,116.076225281,110.465881348,110.973983765,111.31061554,121.078269958,116.771240234,105.462173462,118.273925781,120.848144531,113.053619385,111.138763428,113.209526062,116.617614746,111.923019409,109.687019348,110.199798584,112.536643982,112.482154846,114.826454163,120.749702454,105.346618652,114.269264221,115.501487732,126.886932373,114.934783936,118.238868713,116.112190247,113.46194458,79,114.78
98.1546478271,87.7351455688,92.9114990234,90.1021652222,92.3039627075,92.6307449341,97.2133102417,94.7314910889,99.1328048706,96.7382202148,91.3193511963,94.1119766235,99.1582717896,88.7238082886,98.1312942505,89.2671356201,87.9337387085,90.9117507935,98.0563583374,93.8646011353,100.621803284,90.2506332397,87.0998535156,86.6295394897,91.0263900757,92.6582717896,88.4028091431,95.0246963501,89.2191925049,95.3711547852,88.2789154053,89.765045166,92.8945617676,93.2806854248,89.8887634277,90.4732437134,89.3476867676,91.7177886963,80,91.56
100.780326843,105.237251282,95.4253463745,101.042976379,96.2202987671,103.420829773,95.882774353,104.82749939,101.838356018,100.714126587,98.0385437012,101.558067322,102.333053589,106.925956726,101.148796082,103.359085083,101.179199219,100.158966064,98.1795730591,105.603034973,100.342277527,101.453781128,102.8387146,107.24622345,102.093650818,107.56476593,102.612342834,99.0948104858,101.014579773,104.973014832,100.612083435,98.9364624023,103.746414185,94.5791015625,104.914161682,98.76927948,103.896507263,105.423706055,81,98.16
117.770050049,109.014381409,123.832603455,121.817108154,112.636276245,121.772399902,117.761146545,110.967391968,112.626899719,108.339942932,112.338737488,110.811210632,113.221641541,118.467926025,115.92350769,113.732521057,106.613876343,114.936172485,118.077606201,111.93460083,112.48841095,112.372543335,124.219902039,125.735565186,112.281639099,118.070640564,113.833091736,106.507980347,112.242774963,112.277168274,111.194915771,118.260276794,118.645706177,115.917160034,114.508384705,115.492675781,115.248405457,111.551864624,86,117.31
81.684425354,70.6515884399,79.9080963135,78.0169754028,74.6284942627,80.9577102661,77.3650741577,82.217414856,70.0273513794,77.7741241455,79.5302886963,75.788444519,82.1879119873,69.3008422852,74.9433441162,82.2972488403,73.4967041016,76.4511566162,73.3934173584,78.9813308716,77.9000167847,78.5120010376,78.117515564,74.886138916,81.5692977905,76.5699462891,68.4839859009,73.25050354,83.2491073608,86.7921218872,80.3365402222,77.6991043091,76.5508041382,75.2610092163,79.0478286743,72.8550643921,75.898109436,78.1690597534,90,79.0
112.378204346,116.393844604,111.579177856,113.779510498,110.924720764,108.119804382,114.381652832,115.160560608,107.597328186,110.457862854,109.753364563,120.983634949,106.311286926,119.245529175,113.188949585,115.27507019,116.922569275,109.705734253,110.066864014,109.51890564,111.251457214,113.093940735,113.974075317,109.229484558,117.078811646,116.284690857,102.085708618,106.227882385,115.143310547,111.071495056,112.400405884,113.363975525,119.689979553,112.322685242,108.358589172,113.952453613,113.149261475,119.528648376,92,110.76
106.957595825,111.596405029,108.205123901,97.1871566772,101.96547699,104.124664307,107.162704468,101.821128845,94.9488143921,99.120803833,95.6240158081,103.719200134,103.257415771,97.2844696045,102.011779785,111.61214447,94.168548584,106.478988647,106.909545898,104.76197052,107.769332886,104.440063477,101.205451965,100.612068176,93.1359863281,103.653961182,104.112831116,102.282196045,105.877502441,106.056350708,98.6255722046,100.592956543,104.825996399,109.782302856,102.154556274,101.783088684,106.59085083,104.133888245,100,101.44
94.0000991821,98.3675613403,90.8899612427,96.2806243896,88.4640808105,97.4096679688,95.6876296997,96.7733001709,92.6546478271,97.7060623169,102.681739807,97.6256561279,99.5878448486,92.8332138062,104.606300354,99.7806243896,89.9629058838,99.5252151489,87.3343200684,96.1842880249,101.919830322,89.916267395,94.6799621582,96.6506881714,106.802864075,99.0624923706,96.004196167,89.239692688,95.8361053467,102.496894836,94.0483551025,94.1563186646,99.8916168213,95.9853210449,96.0637435913,93.7658920288,114.334411621,94.8014526367,102,91.98
88.8132476807,93.894317627,85.5813827515,105.790130615,86.7525177002,93.0543518066,95.0216827393,100.330284119,98.6691970825,96.6714248657,87.7653579712,95.1112823486,102.665756226,92.0617218018,102.435325623,102.998626709,97.0814361572,96.8587341309,97.1740646362,93.3005065918,96.7730026245,91.3250961304,95.8751907349,98.1918792725,103.796173096,87.4050292969,104.662864685,91.8059692383,96.8104782104,99.2521743774,94.1460266113,92.8006896973,95.0127944946,92.6379623413,95.9596786499,101.777870178,90.9113693237,105.508056641,106,98.08
109.117401123,115.643630981,118.981117249,116.630569458,109.15422821,113.764152527,117.169036865,112.361785889,105.103675842,119.609130859,111.587722778,115.284835815,110.260177612,103.863693237,114.270278931,114.471672058,103.461158752,107.847496033,113.977577209,112.020278931,109.247848511,104.592315674,118.787788391,108.593437195,100.396011353,115.203041077,103.914627075,103.019142151,113.93926239,103.615631104,104.21257782,115.418113708,114.233970642,109.22756958,115.23223114,115.554542542,117.799194336,105.50579834,107,139.2
92.021232605,85.9774856567,95.8358840942,95.4874572754,95.1540145874,92.1895980835,88.6001739502,104.39250946,95.6828536987,101.374526978,95.63671875,98.8560562134,95.5396194458,92.0420532227,97.2635650635,90.513961792,90.0901260376,89.781539917,89.4104919434,90.4946746826,99.0854873657,86.8011856079,88.1290359497,88.6348114014,94.5729446411,90.9514160156,86.8160018921,101.044082642,96.0057983398,95.3472595215,88.7046051025,90.820892334,90.5485916138,96.6051635742,94.454826355,94.331741333,96.8198394775,92.0099563599,108,85.44
117.236206055,118.209442139,103.012680054,117.914093018,110.990318298,114.43649292,112.050827026,113.835426331,115.851585388,111.362136841,107.722747803,119.4506073,118.019226074,107.72026825,119.981391907,118.227584839,116.036811829,117.465270996,111.213401794,113.981262207,115.731147766,105.021133423,113.92010498,111.887123108,119.914230347,106.646492004,119.453857422,109.083435059,123.532600403,112.611984253,114.681526184,122.58782196,108.737823486,106.807556152,108.600532532,112.178039551,120.709213257,124.164573669,109,110.52
90.9591674805,90.1570892334,93.4010696411,97.6821060181,102.725456238,92.6479721069,96.584487915,104.169235229,95.6711349487,92.7908782959,91.9185943604,95.3594589233,98.089805603,91.7736206055,92.6009216309,94.2078857422,86.1529998779,95.1780014038,91.128036499,90.1219940186,100.986175537,92.2059555054,100.796257019,103.585830688,94.926071167,94.470413208,96.5933151245,88.8271942139,95.1067123413,97.6766586304,95.5896224976,95.4319458008,92.3614959717,90.1020202637,92.5120544434,96.4238128662,96.7130050659,95.8687133789,112,91.44
87.6207199097,86.6765365601,98.7600250244,98.0834579468,97.4080276489,91.7966461182,86.0623626709,94.4008483887,95.8033218384,92.8198165894,96.0402069092,96.652633667,99.2762908936,94.0731811523,96.9024734497,91.2372589111,93.6540908813,90.1952285767,92.0095367432,89.8124465942,98.0563201904,84.9647979736,86.5258560181,90.0899124146,92.3380889893,89.9309921265,85.8783874512,100.739639282,91.6053009033,94.4172363281,95.4741134644,94.2943954468,94.5464401245,95.9699783325,95.0915908813,91.5112533569,96.9938964844,94.139289856,116,91.52
97.379196167,100.524864197,99.7103729248,97.4001464844,118.330596924,97.6971511841,102.0102005,105.383255005,102.659744263,99.634979248,100.492797852,100.262359619,103.843650818,99.0442123413,103.166503906,107.032958984,104.094261169,88.3418884277,101.284233093,101.065544128,98.7918014526,96.2315597534,95.4300842285,99.1865539551,99.0722122192,93.6116409302,95.7665634155,103.324394226,99.5697250366,107.170066833,91.3639068604,105.45111084,100.951538086,95.0936737061,98.6717910767,98.2116851807,100.474403381,102.657966614,118,91.59
114.214378357,107.620185852,102.891059875,107.989265442,103.647613525,103.987747192,106.080749512,115.777626038,98.4101257324,109.958457947,105.143745422,101.204948425,104.939292908,104.45300293,109.084907532,107.94077301,108.211097717,113.172065735,110.85369873,109.807106018,105.640419006,109.583641052,105.132446289,107.29548645,104.324172974,101.587539673,94.9544448853,99.5053100586,99.766998291,103.236312866,110.19859314,103.187309265,108.341926575,107.406196594,99.2634277344,111.933067322,109.500419617,106.471412659,119,108.0
