ID,y,x_mse_expY3_0,x_mse_expY3_1,x_mse_expY3_2,x_mse_expY3_3,x_mse_expY3_4,x_mse_expY4_0,x_mse_expY4_1,x_mse_expY4_2,x_mse_expY4_3,x_mse_expY4_4,x_mse_expY5_0,x_mse_expY5_1,x_mse_expY5_2,x_mse_expY5_3,x_mse_expY5_4,x_mse_expY6_0,x_mse_expY6_1,x_mse_expY6_2,x_mse_expY6_3,x_mse_expY6_4
2143,14380.178055,104.828994751,104.919387817,104.713554382,104.189216614,104.786346436,104.947685242,104.696968079,105.132858276,104.955818176,105.140487671,105.488380432,104.877510071,106.215293884,104.896186829,105.945465088,104.884986877,106.167510986,106.04209137,104.198646545,104.991340637
2819,32040.0034541,96.6101837158,95.1960144043,95.929145813,95.7306365967,96.0163879395,97.5540618896,99.409866333,97.5307769775,99.534538269,99.5201034546,102.323562622,101.620986938,100.913856506,99.9198074341,100.367591858,102.562683105,102.549003601,102.518508911,102.505470276,102.777275085
7746,57539.2428888,109.447235107,109.35105896,109.323677063,109.376876831,108.841110229,109.55355072,109.344444275,109.520118713,109.79347229,109.326774597,109.370994568,109.326812744,109.137519836,109.217811584,108.798164368,109.518424988,109.458732605,109.48009491,109.8098526,110.109306335
5029,4939.90519161,93.985496521,94.0877304077,93.7739181519,93.9678268433,94.1283340454,93.663269043,93.7481079102,93.8284454346,94.19581604,93.6085968018,93.7355651855,94.0863265991,94.1830062866,94.5038223267,93.4365844727,94.3249816895,94.1303100586,94.4482650757,94.4910888672,93.733215332
3362,14324.1585543,94.2788314819,93.8544464111,94.1770172119,94.1885452271,94.3850021362,93.7496261597,93.5811691284,93.9459838867,94.3706588745,94.0031814575,93.9002456665,93.6152420044,93.7705459595,93.7409439087,93.3458938599,93.5720367432,94.0912475586,93.7485351562,93.7946472168,94.0134506226
8098,5946.17861042,93.0975952148,92.91746521,92.8953323364,93.1143264771,93.0528182983,92.9429626465,92.5698699951,92.7074127197,92.952583313,93.1113204956,92.3798828125,92.1591262817,92.7988052368,92.6304626465,92.4978485107,91.702796936,92.362701416,92.2119598389,92.2689666748,92.4456329346
4961,17702.3399907,104.633728027,103.897941589,103.888954163,104.321647644,104.301231384,103.500717163,103.631095886,103.992996216,104.111122131,103.983039856,103.938621521,103.32409668,103.222358704,103.630569458,103.152915955,104.214622498,104.002456665,103.603729248,104.959007263,103.760658264
699,7633.56066908,94.6550140381,93.6252365112,94.9242248535,95.8243408203,94.8797454834,93.8679580688,95.3579559326,95.828414917,96.0860748291,94.0269012451,93.6482620239,99.5858612061,96.819770813,100.041801453,99.1679763794,98.8848419189,101.508964539,100.966323853,100.16607666,102.890739441
6859,20998.7394199,104.099388123,104.321151733,103.92024231,103.516921997,104.164115906,103.125183105,103.352729797,103.546897888,103.673698425,103.469680786,102.351043701,102.278053284,101.976867676,102.755989075,102.381462097,101.550964355,101.728637695,101.598442078,101.945739746,101.592445374
4308,3700.64958276,85.2969665527,88.1045684814,88.0252227783,87.5247039795,87.7286224365,84.9907608032,83.260269165,82.7559814453,84.2875518799,84.901473999,82.4867935181,82.7477798462,82.5431365967,82.4849395752,81.6823730469,81.1533355713,81.5178146362,81.1437301636,80.7705154419,81.1464691162
1950,7157.43292546,94.2839355469,93.7868652344,94.1261291504,94.3839263916,94.1710510254,93.3302993774,93.7542037964,93.9194641113,93.7810516357,93.9593200684,93.6849594116,94.1566696167,93.7614212036,93.4160919189,93.6650238037,93.1863632202,93.1345062256,93.2539901733,93.2451782227,93.6922454834
7041,12642.2540674,94.5641708374,93.921043396,94.1801834106,94.2661209106,94.1078033447,93.8045883179,93.4335632324,94.0673828125,93.3150482178,93.7174301147,93.7275848389,92.8664550781,93.8458175659,93.2967376709,93.0788650513,93.0654678345,93.1051254272,92.8357391357,92.7453231812,92.7116470337
7277,83450.0501453,112.692237854,112.326499939,111.757461548,112.087486267,112.442466736,111.302703857,111.472084045,111.196327209,111.567047119,111.205429077,111.614898682,110.464202881,110.07144928,110.492866516,109.313301086,110.031555176,110.32800293,110.543121338,109.878746033,110.010162354
7596,42354.0890034,109.691078186,109.127281189,108.798583984,109.074867249,108.721244812,109.353485107,109.12953186,109.015991211,108.507446289,108.703826904,108.915496826,108.944610596,108.68914032,108.971244812,108.030197144,108.754226685,108.698410034,108.995811462,108.804756165,108.51121521
1088,50783.1384781,111.267921448,110.657966614,110.923866272,111.106918335,111.415618896,111.192092896,111.722976685,111.204200745,111.086830139,111.536811829,111.338577271,110.865852356,111.300994873,111.731636047,111.305671692,111.478591919,111.312927246,111.217178345,111.511100769,112.185722351
5072,31237.3453272,110.138458252,110.864852905,110.358818054,110.501785278,110.696678162,111.188591003,110.948196411,111.093048096,110.976234436,111.155021667,111.601745605,111.371620178,111.651519775,111.692321777,111.119483948,112.758094788,112.385314941,111.279510498,111.888366699,111.906913757
8187,19708.2079244,93.9593887329,93.6435699463,93.6508178711,93.8588027954,93.7266540527,93.3606872559,93.4558868408,93.1035308838,93.2311630249,93.1463394165,92.9697113037,92.6433639526,92.8275985718,92.946105957,93.0378189087,92.4454956055,92.5105133057,92.6685256958,92.7643814087,92.9998474121
6570,7391.66412057,93.665435791,93.3564834595,93.4887466431,93.4825286865,93.5372467041,92.847114563,93.2012786865,93.0108261108,92.9764938354,93.0908813477,92.8541641235,93.2820587158,93.1159744263,93.3831787109,93.1072845459,93.4269866943,92.4476165771,92.7132720947,92.7012329102,92.7248382568
425,62150.3008981,110.404937744,110.654632568,110.317520142,110.378105164,110.679290771,110.875244141,110.654602051,110.761741638,110.824905396,110.922660828,110.875335693,110.6771698,110.643959045,110.549926758,110.489562988,110.614715576,110.591339111,110.737113953,110.284355164,110.492225647
5668,68253.7770982,111.773460388,111.50453949,111.552574158,111.745643616,111.410247803,111.275588989,111.05960083,110.768569946,111.78540802,111.174598694,111.418464661,111.579956055,111.113426208,112.103546143,111.157661438,111.420272827,112.328460693,111.251968384,111.704483032,111.64743042
454,6998.58447817,93.9953384399,94.1318740845,94.1189346313,93.707069397,94.281539917,93.4336547852,93.8882827759,94.1407241821,93.9458847046,93.8607025146,93.6727142334,93.5624084473,93.5374984741,93.7152328491,93.7595214844,93.6629638672,93.5310211182,93.6327514648,93.4432449341,94.0573883057
4970,289287.682466,93.738609314,93.4375152588,93.8671035767,93.9498596191,93.861831665,93.536026001,93.5495071411,93.3856124878,93.7690887451,93.6786422729,93.3054122925,93.3566131592,93.352684021,93.2224960327,93.9857406616,93.7028579712,94.6183319092,93.4673156738,93.2180480957,94.2491989136
3693,207000.479119,110.544517517,110.411689758,110.557815552,110.511314392,110.513954163,110.694496155,110.477783203,110.549385071,110.668029785,110.722358704,110.628768921,110.723861694,110.818016052,111.253341675,110.7682724,110.861312866,110.963119507,110.604064941,110.712837219,110.855743408
7335,287318.40074,110.447929382,112.141403198,112.046340942,112.134063721,112.412918091,111.510978699,112.834350586,112.58152771,112.102455139,112.429542542,112.966690063,112.628265381,112.899551392,111.942214966,112.710250854,112.682868958,112.46988678,112.711181641,112.703842163,112.575126648
2852,47337.6775223,110.134078979,110.236862183,110.26600647,110.096626282,110.021308899,110.005485535,110.325767517,110.233726501,110.355567932,110.477088928,110.48651123,110.619537354,110.256362915,110.414039612,110.367622375,110.458618164,110.198143005,110.45803833,110.32572937,110.203163147
6984,5740.92211519,93.6613693237,93.5401077271,93.5834350586,93.8508911133,93.832649231,93.531036377,93.494392395,92.9427337646,93.1584396362,93.5815658569,92.989440918,93.1584854126,93.166267395,93.0546875,93.3314666748,93.0757064819,93.0510787964,93.657989502,93.3024749756,92.9343185425
2745,26410.883524,105.120765686,104.021179199,104.102355957,104.448783875,104.193206787,103.548233032,103.578971863,104.338912964,103.408760071,102.895294189,103.282493591,104.956916809,104.73261261,103.976821899,103.747756958,104.955451965,106.491455078,104.79888916,104.572219849,104.957763672
674,34138.0447237,110.96786499,112.63469696,112.283828735,117.580764771,114.614074707,117.128364563,120.422080994,118.870422363,119.801048279,117.610488892,121.167655945,119.281906128,121.971054077,122.41519928,120.390922546,127.575950623,122.538215637,112.493133545,118.987831116,125.612869263
3976,9963.70210466,104.033615112,105.754646301,103.578643799,102.37197876,103.639137268,101.317703247,95.5515823364,99.9151153564,98.9099807739,100.561531067,92.2213897705,91.6888809204,94.6657714844,94.0645904541,92.2178039551,92.7757339478,91.3187408447,92.1353607178,94.3592147827,90.1088790894
3494,68990.3479996,104.525901794,103.960090637,104.057830811,103.006858826,104.133926392,103.35509491,103.075897217,103.130256653,102.905899048,103.368362427,103.486549377,103.826820374,102.980178833,103.941940308,103.197273254,104.105819702,103.592399597,103.702682495,103.889526367,103.907989502
1184,47895.242729,110.455162048,110.715568542,110.678070068,110.41318512,110.32094574,110.624824524,111.050346375,110.701171875,110.973342896,110.673271179,110.732757568,110.986282349,110.378036499,110.89453125,111.016868591,111.501693726,110.917053223,111.144226074,111.325637817,110.286521912
655,4853.89599265,93.2012252808,93.064994812,93.1675109863,93.1306838989,92.9055099487,93.0936279297,93.0681152344,93.4254150391,93.0755462646,93.1376724243,93.3228912354,93.15990448,93.1207962036,93.4797134399,92.9416122437,92.9814834595,93.4960861206,93.4788131714,93.6987457275,92.8914489746
7916,43188.7927592,103.759376526,103.652397156,103.163154602,103.92414093,103.587585449,103.386444092,103.226791382,103.292861938,102.097541809,102.438301086,102.9793396,103.066719055,103.678230286,102.805931091,101.571578979,101.915054321,102.962471008,103.392799377,102.813331604,103.784996033
5669,86181.0020357,104.776596069,104.627853394,104.301193237,104.406707764,104.512619019,104.337608337,104.506912231,104.575393677,104.989990234,103.34034729,102.608352661,106.32170105,105.056510925,104.742866516,104.381225586,103.9998703,103.342903137,103.99684906,104.549995422,101.965744019
6643,17445.1170531,103.616424561,104.338363647,103.994285583,104.413864136,104.215316772,103.10634613,103.462890625,103.04775238,103.772979736,102.898353577,102.583930969,102.458198547,102.697029114,102.294425964,102.719924927,102.004379272,101.861213684,101.844902039,102.066452026,102.206687927
2723,7633.56066908,93.6953582764,93.9448699951,93.7835464478,93.9575271606,93.9172439575,93.7195129395,93.555809021,93.3997421265,93.6558227539,93.6065597534,93.3614501953,93.6270065308,93.4067764282,93.2832565308,93.3255996704,93.7142028809,93.4451217651,93.3193054199,93.5247344971,93.4335784912
5324,34171.3729981,106.774009705,105.932739258,106.379920959,105.47492218,107.278678894,107.698204041,106.250709534,107.726135254,108.329627991,105.810180664,107.488761902,106.865112305,105.202110291,107.35459137,106.583869934,105.288749695,106.288856506,105.251052856,107.428916931,107.090309143
466,7298.48981714,94.1180953979,94.1789627075,94.3279342651,94.0258102417,94.073928833,93.8314743042,93.5008926392,93.9957046509,93.5461349487,93.6623458862,93.6599655151,93.6369018555,93.6408843994,93.5371627808,93.6286849976,93.5810089111,93.2080230713,93.6279449463,93.5286865234,93.3549194336
6337,7898.77369026,93.8638687134,93.6832046509,93.7199935913,93.5773468018,94.0326080322,93.9320755005,93.4610519409,93.7129211426,93.3018417358,93.4955444336,93.4889221191,93.1968307495,93.6829071045,93.14818573,93.304901123,93.638458252,93.081161499,93.1920394897,93.5546188354,93.6042861938
1829,32799.2125935,110.663749695,111.394920349,111.098991394,111.060508728,111.411331177,112.393928528,111.799873352,112.867721558,112.890853882,112.452201843,113.045433044,113.649627686,110.993133545,114.0677948,113.306480408,113.649009705,113.403007507,114.088150024,114.191879272,113.36656189
2427,40653.3495012,104.156860352,104.34967041,104.110473633,104.153556824,103.635879517,104.426994324,102.974784851,104.167312622,103.22567749,103.869224548,103.618164062,104.531822205,103.353645325,103.381721497,103.243484497,103.353492737,103.590103149,102.925445557,103.391433716,103.384674072
1462,62393.3608176,110.42224884,110.83000946,110.630714417,111.096534729,110.525054932,110.538818359,110.768409729,110.567123413,110.891693115,111.107376099,110.575614929,111.024871826,110.752197266,110.411933899,110.94770813,110.81098175,110.439979553,110.616859436,110.781898499,109.969299316
6487,5273.66179497,93.5073471069,93.3871459961,93.1310958862,93.4099960327,92.8362960815,92.9660339355,93.9520721436,92.9669799805,92.977935791,92.9107208252,92.6827011108,92.8977508545,92.6127700806,92.5897064209,92.7998580933,92.7301940918,92.8685760498,92.6174316406,92.7199630737,92.9025497437
4819,118227.415911,110.806594849,110.635070801,110.867019653,110.326515198,110.53099823,110.981155396,111.558334351,111.504302979,111.083976746,111.365081787,111.24684906,111.049057007,110.82384491,111.621963501,110.090141296,110.891944885,111.429283142,111.749183655,111.117218018,111.39276886
1237,19270.8139229,106.302886963,106.442420959,108.349365234,107.182510376,104.877151489,106.624565125,109.649833679,111.991516113,102.992797852,111.140617371,110.844703674,111.755317688,103.027038574,113.189720154,113.558792114,111.20489502,109.344352722,115.196853638,111.598823547,113.861175537
1819,49947.6633364,108.683860779,108.089874268,108.065635681,108.706794739,108.726928711,110.435302734,110.116920471,109.691642761,110.10055542,109.583869934,109.721672058,109.534088135,108.899925232,109.936050415,110.101150513,112.09564209,111.114715576,112.15914917,111.495262146,112.324256897
7897,5237.76214756,94.1854476929,94.4057006836,94.4591751099,94.1671524048,94.2727432251,94.3806381226,93.8516769409,93.4894714355,94.0064239502,94.0238876343,93.8199386597,93.8279190063,93.2132873535,93.5596313477,93.3828735352,92.8838729858,93.5011749268,93.5010910034,93.6597442627,93.4416122437
8093,54055.7428915,109.226089478,109.264465332,109.165962219,109.245422363,108.769630432,109.264343262,108.796127319,108.787223816,108.737113953,109.025901794,108.855506897,108.876029968,108.178604126,108.703933716,108.419830322,108.369560242,108.290771484,108.990592957,108.703224182,108.517478943
3452,17292.5808152,93.0983810425,93.2277069092,93.1627960205,93.162437439,93.4163284302,93.3783187866,93.1919403076,93.4363937378,92.8599014282,93.1600494385,93.045539856,93.3693771362,93.080291748,93.2457733154,92.4472198486,92.7986221313,92.9785614014,93.0540161133,92.9332199097,93.1120681763
5058,46151.7859032,110.591407776,110.607727051,110.720825195,110.829421997,111.015281677,110.667655945,111.149993896,110.73828125,110.780349731,110.915359497,110.688064575,111.06842041,110.531333923,110.712173462,110.661460876,110.532546997,110.528251648,110.532974243,110.401748657,110.683532715
7048,7952.91192381,94.1477661133,93.8972549438,93.8859024048,94.2572021484,93.7669525146,93.8942184448,93.7199630737,93.7529144287,93.8189468384,93.4601135254,93.544342041,93.9697952271,93.3111724854,93.4566345215,93.239402771,93.5083007812,92.7930221558,93.5173950195,92.8623428345,94.0589141846
7931,12217.7716696,102.97026062,103.147140503,103.634811401,103.562644958,103.180961609,102.884513855,102.7918396,102.304801941,102.541000366,102.660934448,101.786476135,101.893211365,102.241256714,102.672683716,102.192008972,101.350608826,101.534004211,102.550224304,101.622268677,101.584899902
4022,15426.835699,104.945320129,104.494041443,104.188529968,104.412353516,104.813781738,104.298347473,104.044425964,104.306900024,104.273841858,104.103355408,103.71749115,103.668296814,103.379020691,103.738563538,103.522590637,103.32711792,102.652366638,102.725799561,103.741889954,103.10042572
1416,5212.26926074,93.2574005127,93.2959671021,93.1042251587,93.1363754272,93.0010070801,93.1598587036,93.1477661133,93.0832138062,93.1137924194,93.0442428589,92.7037200928,92.8415908813,93.0771102905,92.9202575684,93.164894104,92.9592819214,92.7189102173,92.7623977661,92.6653213501,92.7851486206
565,38906.8404964,113.053840637,112.262313843,113.738395691,112.578323364,113.709922791,115.3201828,114.806083679,117.874610901,110.749023438,118.772369385,117.626052856,117.756370544,117.737930298,120.114135742,119.329711914,121.75592804,112.172271729,120.407997131,119.155418396,113.363952637
1994,46969.578073,104.368392944,104.659362793,104.342567444,104.734230042,103.941413879,103.69241333,104.604728699,103.67225647,103.99005127,103.679611206,104.618492126,103.781074524,104.568023682,104.483154297,103.805778503,103.71194458,102.774871826,103.695793152,103.579673767,103.2918396
3089,416295.880545,93.8561019897,93.774810791,93.9486236572,93.9339523315,94.0708389282,93.3522109985,93.3391494751,93.4172439575,93.357673645,93.4967269897,93.2417144775,93.1932907104,93.1313323975,93.2405548096,93.4401626587,92.8491210938,93.2406158447,93.2440948486,93.2254943848,93.1003799438
8262,9170.62481404,93.1544418335,92.91746521,93.2587432861,93.1807937622,93.1439361572,92.9956970215,92.8408660889,93.1213684082,92.8964920044,92.8791503906,92.8577270508,92.6981735229,92.6315231323,92.6009597778,92.6759033203,92.1991500854,92.5857772827,92.7293701172,92.754989624,92.162322998
1534,82559.1011874,110.939659119,110.686058044,110.772857666,110.747810364,110.805419922,110.47038269,110.902061462,110.897521973,110.938560486,110.792510986,110.511070251,110.754714966,110.956665039,110.777854919,110.986930847,111.11932373,111.008575439,110.931465149,111.229705811,110.589729309
5578,11489.2978366,93.6663818359,93.3868713379,93.10206604,93.425819397,93.5705490112,93.3236083984,93.2144241333,93.0697479248,93.1890106201,93.2054519653,93.040763855,93.0430221558,93.2515335083,93.1999969482,93.0272445679,93.0803527832,93.1380233765,92.9715652466,93.2055358887,93.3050994873
334,6691.38554898,94.2428512573,93.8765411377,94.0444030762,93.7094650269,93.8218154907,93.8809127808,93.5992889404,93.6798477173,93.2118530273,93.98802948,93.2467041016,93.4530715942,93.2705307007,93.3518218994,93.4877853394,93.2914733887,93.3468399048,93.2610626221,93.3561019897,93.7251205444
444,5186.90045119,94.0639038086,94.1828613281,94.5215988159,94.2291030884,94.0854568481,94.0793609619,93.5190505981,94.077041626,93.7630996704,94.0164413452,94.1161270142,94.5820922852,94.1129455566,94.9302368164,93.2183380127,94.9317932129,95.0848617554,97.1787261963,94.9190979004,94.8546981812
5314,41051.9880212,107.88974762,107.572341919,107.765235901,108.068588257,108.333251953,108.03768158,108.117599487,107.831031799,108.592811584,108.595878601,107.869857788,108.118919373,108.037002563,108.518760681,108.463447571,109.387298584,109.668647766,108.789505005,108.93712616,108.633125305
261,7178.41636368,92.9409790039,93.4069061279,93.2884368896,93.1976470947,93.2872009277,93.1624755859,93.1098937988,93.1557846069,93.0770492554,93.3003692627,93.1316680908,93.0021896362,93.0357666016,92.8180007935,93.1224060059,93.2533111572,93.0184783936,93.016242981,93.2669219971,93.1217498779
1234,61968.627541,110.4557724,110.472724915,110.742637634,110.622367859,110.391586304,110.239257812,110.473503113,110.506484985,110.48248291,110.512382507,110.380401611,110.460800171,110.455001831,110.50629425,110.580848694,110.459869385,110.250061035,110.443222046,110.236328125,110.492774963
4056,42147.9460043,111.215835571,111.012504578,110.898170471,110.773010254,110.821006775,110.974182129,111.079444885,111.009086609,111.279472351,110.838935852,111.794845581,111.026451111,110.876022339,111.073204041,110.726455688,111.878341675,111.557723999,111.342948914,111.581558228,111.438522339
898,2070.73872073,87.6983718872,87.9454040527,87.2377853394,88.4295654297,88.0594177246,85.6474533081,87.0397186279,85.9113311768,85.7737808228,87.8662414551,83.9429168701,84.7616653442,83.3742599487,83.8874893188,83.3481445312,81.8508911133,82.1951217651,81.8585739136,81.8732528687,82.0120010376
6112,15040.366482,93.7247467041,93.1996231079,93.2463760376,92.9489440918,93.2260437012,93.1961669922,93.2746276855,92.8641357422,92.7715988159,93.3682098389,92.9673461914,92.9635314941,92.7364501953,93.039100647,93.1402816772,92.7875061035,92.6961746216,92.8306274414,92.8757171631,92.4155578613
6257,13883.7878283,92.9496765137,92.8087921143,92.9121322632,93.1510543823,93.1984024048,93.0713043213,93.02368927,92.8918762207,93.1575622559,92.9186019897,92.7243728638,92.9291000366,92.7121276855,92.794052124,92.8751831055,92.7691345215,92.2980575562,92.7547149658,92.6006546021,92.7521743774
479,19554.9562047,105.752571106,105.584465027,104.830795288,105.735603333,104.720123291,105.896476746,107.363037109,105.665107727,106.768112183,106.446868896,108.567764282,107.318199158,106.786361694,105.538337708,106.891853333,107.732131958,108.491218567,106.930877686,108.225914001,109.417396545
7275,35740.16755,110.58115387,110.880218506,110.413459778,110.872581482,110.751060486,110.050926208,110.551750183,110.143409729,110.045661926,110.413879395,110.010192871,110.420539856,109.724365234,109.895767212,110.409042358,109.909713745,109.585693359,109.968025208,109.970573425,109.881217957
3332,6152.76686748,93.2870483398,93.2069549561,93.3405609131,93.2341308594,93.2264404297,92.851020813,93.0802841187,93.2525177002,93.1214904785,93.3479309082,93.2698135376,93.1064834595,93.0386123657,92.9294128418,93.0679779053,93.2433776855,92.8030090332,92.9073638916,92.5498046875,93.0011138916
7908,49318.0569766,111.154380798,110.762367249,110.928436279,110.903709412,110.904075623,111.044265747,112.342697144,111.023132324,111.244277954,110.941802979,111.253837585,111.084518433,111.448394775,111.219230652,112.194999695,109.553726196,110.582305908,110.789138794,110.942527771,111.579589844
3850,13910.9099771,93.8093948364,94.1570663452,94.1926040649,93.8621139526,93.9069442749,93.2184066772,93.7051849365,93.9169006348,93.6492004395,93.3515853882,93.556060791,93.3606414795,93.3807296753,93.5551528931,93.2790679932,93.6548919678,93.5667037964,93.0489883423,93.4678497314,93.1341247559
2318,32008.7539627,110.537788391,110.819816589,110.350105286,110.377586365,110.555801392,110.858047485,111.075752258,111.045532227,111.00012207,111.016120911,110.866027832,111.387306213,111.711196899,110.715644836,111.002723694,111.06414032,112.15524292,111.727622986,112.192184448,110.491722107
6313,12580.722531,95.5093612671,94.6086120605,94.9251937866,94.5814819336,94.5777740479,94.346572876,94.0174255371,94.0665512085,94.2428283691,94.1185150146,93.7582626343,94.2369613647,93.9549713135,93.4718017578,93.5796279907,93.5808563232,93.2833480835,93.3236236572,93.4269104004,93.4295883179
2264,2193358.58908,110.64364624,111.528999329,111.847137451,111.72833252,111.515632629,111.785995483,111.804351807,112.285133362,112.543327332,112.552680969,112.57522583,112.643669128,112.762069702,112.698791504,112.882270813,113.16519165,113.101989746,113.069107056,112.767990112,112.905410767
4847,612662.589215,110.592445374,111.668502808,112.563163757,112.365783691,112.03213501,113.782524109,112.800926208,113.371086121,112.568481445,113.352882385,113.181556702,113.938522339,112.853309631,112.944313049,112.684936523,113.928062439,114.012641907,113.864280701,114.907783508,114.400909424
4021,10835.9334448,93.9873199463,93.808631897,93.9125137329,94.1926269531,93.9503555298,93.872215271,93.6888504028,93.6072463989,93.3603134155,93.4874725342,93.3283996582,93.3535461426,93.3785018921,93.3651504517,93.4528579712,93.4644241333,93.3097763062,93.3487091064,93.1943283081,93.4978866577
