keras_MSE3_lg_relu1,keras_MSE3_lg_relu2,keras_MSE3_lg_relu3,keras_MSE3_lg_relu4,keras_MSE3_lg_relu5,keras_MSE3_lg_relu6,keras_MSE3_lg_relu7,keras_MSE3_lg_relu8,keras_MSE3_lg_relu9,keras_MSE3_lg_relu10,keras_MSE3_lg_relu11,keras_MSE3_lg_relu12,keras_MSE3_lg_relu13,keras_MSE3_lg_relu14,keras_MSE3_lg_relu15,keras_MSE3_lg_relu16,keras_MSE3_lg_relu17,keras_MSE3_lg_relu18,keras_MSE3_lg_relu19,keras_MSE3_lg_relu21,keras_MSE3_lg_relu22,keras_MSE3_lg_relu23,keras_MSE3_lg_relu24,keras_MSE3_lg_relu25,keras_MSE3_lg_relu26,keras_MSE3_lg_relu27,keras_MSE3_lg_relu28,keras_MSE3_lg_relu29,keras_MSE3_lg_relu30,keras_MSE3_lg_relu31,keras_MSE3_lg_relu32,keras_MSE3_lg_relu33,keras_MSE3_lg_relu34,keras_MSE3_lg_relu35,keras_MSE3_lg_relu36,keras_MSE3_lg_relu37,keras_MSE3_lg_relu38,keras_MSE3_lg_relu39,ID,y
109.701454163,118.546318054,103.521911621,109.478729248,94.7043609619,104.924209595,98.2756271362,114.63899231,106.624809265,102.423095703,109.403869629,107.09828949,101.990943909,104.476509094,96.4557800293,106.593902588,113.064529419,103.898361206,100.263916016,113.565979004,109.394203186,114.961738586,92.9200134277,110.851516724,116.348648071,102.993370056,113.040512085,104.768165588,112.801963806,109.295516968,102.068237305,108.096191406,98.2352523804,98.9236831665,107.783782959,106.812698364,104.816200256,102.770729065,31,102.09
103.327850342,98.2411880493,103.638259888,109.88885498,109.174385071,105.344665527,104.757644653,105.658355713,109.918960571,110.144271851,111.659622192,108.979888916,111.00302124,98.4456634521,105.429023743,98.491317749,102.589668274,100.986129761,96.8316040039,105.840591431,106.034072876,95.2722320557,106.263442993,89.1717224121,102.699043274,102.781166077,109.354454041,98.15234375,110.516403198,101.223800659,99.0243377686,100.746307373,114.053817749,103.602874756,96.3999023438,101.901115417,104.804290771,102.569847107,32,98.12
99.5455169678,99.9900894165,92.3167037964,83.6315612793,83.1318588257,95.9546203613,98.8960189819,78.3559417725,94.7492141724,94.5297012329,85.6699066162,91.2269821167,92.2052764893,88.3541030884,96.6432037354,87.3250045776,95.6128845215,91.1057128906,89.4534759521,92.4652709961,80.6632232666,93.0254592896,92.5441589355,88.0970916748,87.9598922729,100.004058838,98.4403457642,91.8881149292,94.5425720215,99.4544906616,101.368270874,91.5068893433,100.919677734,101.486877441,94.589630127,96.2350921631,86.6065826416,100.153167725,34,82.62
108.538597107,107.394851685,97.3800964355,104.48361969,84.2057952881,103.189079285,93.3738861084,100.531661987,107.109169006,95.9454650879,95.5100402832,100.687805176,104.257011414,88.408493042,93.3048171997,103.213378906,107.438369751,98.8557739258,97.0535736084,105.128540039,86.3886489868,114.115135193,90.1197891235,104.450531006,111.259689331,91.4698486328,105.827453613,109.515884399,100.760688782,100.278442383,105.50869751,100.551147461,96.0628051758,96.0270843506,102.567481995,95.437286377,105.314369202,81.9199295044,36,94.12
103.130065918,87.9512481689,96.4003829956,103.689819336,90.1527404785,85.3783721924,92.7346954346,94.8448181152,95.3420333862,97.5109405518,91.8308563232,96.1227111816,99.4989700317,96.2832565308,92.9912261963,95.196762085,100.051727295,98.6979980469,98.1947860718,89.881149292,104.475189209,92.8127975464,103.405021667,83.5784606934,90.4116821289,86.9748382568,88.8418731689,101.28377533,88.8683853149,106.910545349,99.1067657471,91.0489654541,98.1290740967,94.8131408691,89.1039199829,102.204154968,94.5477600098,101.220413208,37,99.15
98.9155654907,92.3302612305,105.596313477,88.8979263306,97.1997528076,105.227104187,99.1768341064,96.468963623,99.4168777466,92.7265014648,85.750793457,99.3983230591,95.3126983643,98.449180603,101.055343628,94.219078064,101.542549133,102.506973267,94.4741897583,103.961929321,98.843208313,88.7952346802,104.03729248,99.455581665,85.5704727173,90.0327529907,98.9457931519,97.5584945679,97.2372741699,94.8676757812,90.7781066895,99.1137008667,99.8860397339,93.1025238037,92.2238540649,92.1624603271,103.063903809,90.1150665283,38,93.64
108.538597107,107.394851685,97.380065918,104.483566284,84.2057952881,103.189079285,93.3738632202,100.531661987,107.109169006,95.9454650879,95.5100860596,100.687759399,104.257011414,88.4085159302,93.3048400879,103.213378906,107.438369751,98.8557739258,97.0535736084,105.128540039,86.3886260986,114.115257263,90.1197891235,104.450592041,111.259689331,91.4698486328,105.827453613,109.51600647,100.760574341,100.278442383,105.508636475,100.551147461,96.0628051758,96.0270080566,102.5675354,95.4372558594,105.314369202,81.9199523926,39,106.1
112.236824036,98.1449661255,91.7492446899,98.7917556763,94.0758361816,94.8174057007,92.1689910889,104.25970459,116.443725586,105.505622864,106.212348938,110.963668823,107.803787231,87.2710647583,100.567932129,97.8410186768,108.840339661,101.463142395,95.0626831055,103.946517944,100.892929077,99.107170105,102.445419312,91.848777771,100.511474609,99.1925201416,114.079116821,110.207290649,101.610694885,115.236221313,97.1870574951,99.7445068359,104.90007019,104.676872253,109.801231384,98.6812286377,101.359092712,119.132301331,40,114.13
98.0045776367,87.4276809692,103.908065796,88.1743087769,88.4639129639,98.8787841797,93.3309631348,89.5546417236,99.8442687988,91.457901001,84.5007781982,98.8769378662,95.7272796631,101.749572754,93.6612625122,91.552444458,96.2903442383,92.329574585,92.6218948364,102.825752258,97.4289169312,87.5945281982,100.92339325,101.75214386,89.0859222412,88.5608062744,92.5471801758,91.5472640991,101.098342896,87.5185852051,90.4210357666,96.1904602051,96.578918457,90.7356567383,85.1621704102,87.3661956787,92.1214141846,96.41822052,44,89.81
88.2588653564,91.622833252,88.6998138428,101.80052948,83.5213775635,96.8786773682,89.3890457153,93.1934204102,96.7057800293,84.8871459961,93.9612503052,100.511474609,94.4411849976,92.7003860474,88.1470336914,86.4703292847,95.3040924072,104.037979126,85.6996154785,88.2277679443,85.4653320312,92.7292709351,89.212310791,93.0018920898,94.0392303467,85.3673553467,93.5393218994,92.6819610596,98.8135299683,93.4174194336,91.169052124,89.2299194336,78.8585739136,91.1541900635,98.3098373413,109.318496704,98.2782974243,79.3149490356,47,90.81
95.7074432373,90.826461792,95.3081970215,99.5001220703,84.5159225464,96.0359191895,90.6056900024,79.5966644287,103.316390991,101.241699219,94.6445922852,95.5249023438,93.8612060547,84.0177612305,91.1205673218,86.7974472046,91.6548538208,83.181640625,87.2009277344,93.7644119263,90.2373199463,88.7819976807,92.7345428467,88.2626953125,96.842338562,100.506065369,97.3694839478,89.7711257935,95.1498718262,109.215385437,92.5146636963,86.8300476074,99.9156036377,93.4790039062,80.8482055664,97.3855209351,101.670509338,90.9915008545,48,90.56
93.1260223389,100.436065674,101.811599731,83.9882278442,87.4915618896,93.7135162354,93.7338867188,93.122718811,102.62386322,96.5115814209,83.9417877197,99.4480438232,100.652000427,99.9521408081,88.5942077637,93.9928512573,93.2759552002,96.0430831909,99.3831558228,92.6041030884,102.615974426,96.0517578125,97.7043304443,100.391967773,88.1584320068,88.9784393311,94.7016296387,100.783477783,96.4969863892,89.4563217163,90.3402633667,96.5666503906,94.989151001,95.8490142822,88.3024597168,87.1592178345,95.0442352295,104.3646698,49,94.57
127.447250366,123.363586426,124.280853271,117.70917511,100.060020447,110.875190735,117.183059692,112.321762085,119.708702087,115.386314392,116.549888611,117.382652283,120.428092957,113.08190918,111.596870422,113.294296265,111.214622498,130.31817627,109.048591614,121.212081909,107.512947083,122.451286316,102.401229858,129.554214478,110.267272949,110.283065796,121.825965881,124.236579895,117.96521759,119.175079346,117.562515259,115.64377594,100.184074402,113.69985199,127.899894714,126.580673218,120.94342041,96.6434707642,50,108.14
117.676872253,109.723617554,117.655685425,115.454360962,102.044258118,110.477279663,112.922599792,112.706329346,120.387969971,119.946243286,105.143836975,111.161270142,117.504379272,109.222579956,111.835624695,113.113327026,112.952728271,107.625617981,104.790428162,105.447433472,111.735046387,116.655189514,113.07824707,105.020500183,112.719573975,113.530075073,120.925163269,117.813842773,116.069282532,126.103965759,110.899230957,104.150268555,112.004592896,116.390235901,121.98349762,103.764526367,117.558837891,118.764076233,52,120.77
94.5482559204,89.642791748,101.694007874,86.164352417,85.533744812,100.702850342,92.1898651123,94.760559082,98.6699371338,94.2286987305,82.1832351685,99.3935775757,87.2152252197,97.422203064,94.0382156372,93.2928314209,91.4498138428,92.2853393555,90.647277832,101.15296936,92.99584198,86.5983352661,94.7528839111,103.066108704,78.4482421875,82.0264282227,99.0632476807,98.5957794189,99.400177002,99.5670318604,84.0029373169,95.8207626343,100.046180725,101.220581055,83.6465072632,86.9224243164,93.6256866455,89.4254150391,54,84.84
100.534980774,95.9085464478,98.8378143311,98.9379425049,84.6270904541,101.7472229,84.8119659424,98.9902038574,96.3820495605,91.0435180664,92.2085418701,98.6830444336,100.900344849,85.230758667,88.9593963623,93.2404251099,98.376083374,93.0227966309,90.2306747437,96.2225418091,82.727355957,109.59690094,87.6835632324,97.9806365967,107.480430603,91.5960998535,95.1161346436,90.6302642822,90.049118042,97.9636917114,102.912887573,89.3706893921,97.619644165,88.0879669189,96.0514984131,88.776512146,96.8037261963,84.9952850342,60,93.59
102.355422974,104.676757812,108.263130188,106.695541382,118.705612183,106.63394165,97.0285186768,91.0297698975,107.277763367,110.145782471,99.3376922607,102.854034424,108.903930664,97.9770050049,99.8610153198,97.2994537354,100.530891418,98.8260955811,97.1317443848,107.683181763,98.4860229492,111.363204956,114.458328247,97.1514282227,106.108840942,107.119750977,99.534614563,95.5104827881,107.872459412,129.59085083,105.047950745,97.1071166992,111.58442688,106.369903564,96.6143951416,108.668510437,113.775283813,102.974205017,61,104.07
94.306350708,103.20879364,93.215171814,89.3937835693,98.629486084,100.932868958,101.502807617,87.0598907471,91.3410644531,94.9490585327,90.3447570801,90.3158721924,93.31590271,95.1929016113,95.2260131836,93.1735229492,97.5061035156,92.0665817261,96.465927124,92.4104614258,81.6728820801,96.7302246094,92.6658935547,89.6196365356,91.4978179932,104.160385132,93.2489242554,98.9515533447,96.9519958496,97.1826782227,107.419143677,91.2764968872,100.63608551,100.697921753,98.359046936,99.8790740967,84.6384124756,97.5714569092,62,89.37
94.5891113281,97.3142852783,95.3365325928,92.6452102661,91.3560791016,97.410736084,85.6437149048,89.4800720215,98.8881225586,90.2204971313,93.5549163818,104.544380188,97.8908233643,91.1070861816,86.1104278564,93.233795166,94.9444961548,92.2270202637,89.8276519775,93.8456726074,87.2663269043,102.385772705,87.3910903931,106.508384705,92.4670944214,93.187538147,97.361869812,95.1329040527,96.0725097656,94.7693710327,103.671203613,89.2665252686,86.9020996094,87.5184402466,105.912193298,91.477935791,97.1180953979,80.5442352295,66,90.08
117.677001953,109.723678589,117.65574646,115.454360962,102.044090271,110.477279663,112.922851562,112.706573486,120.387969971,119.946304321,105.143836975,111.161270142,117.504379272,109.222457886,111.835624695,113.113265991,112.952857971,107.625564575,104.790428162,105.447433472,111.734985352,116.655899048,113.07775116,105.020500183,112.719573975,113.529891968,120.925163269,117.813842773,116.069023132,126.103897095,110.899291992,104.15032196,112.004837036,116.390235901,121.983634949,103.764465332,117.558898926,118.764144897,67,128.19
77.8972167969,72.3791809082,85.4990768433,71.5374832153,74.7464752197,79.8227233887,78.2061309814,75.0909500122,82.1492233276,79.490447998,69.6138381958,84.027381897,78.8997802734,80.1062927246,80.6261901855,81.5142059326,73.5181045532,75.7687072754,76.8804016113,82.9744949341,82.3680419922,75.2312393188,78.2444839478,85.0322036743,70.0299758911,72.5748214722,70.9796066284,81.9688720703,76.893737793,78.9372329712,71.8852996826,76.3857421875,76.2264709473,74.9838027954,73.8173294067,75.3141555786,77.1872940063,78.315536499,68,76.01
108.406341553,117.823608398,106.322608948,110.359619141,96.7637939453,118.173088074,106.525108337,116.999534607,107.28477478,109.519790649,123.660644531,119.679458618,110.622634888,104.443244934,105.275871277,108.466346741,117.797477722,104.780128479,108.395568848,113.829574585,111.020515442,113.227325439,105.565475464,107.666687012,121.609596252,104.848434448,120.216392517,114.057197571,119.966789246,118.091247559,109.280281067,114.197044373,103.626876831,106.642601013,128.927368164,113.854255676,117.119773865,102.534378052,70,107.86
117.677261353,109.723861694,117.655487061,115.454360962,102.044090271,110.477462769,112.922538757,112.706573486,120.388038635,119.946174622,105.143951416,111.161270142,117.504508972,109.222518921,111.835624695,113.113136292,112.953102112,107.625740051,104.790367126,105.447601318,111.735229492,116.655639648,113.076881409,105.020332336,112.719512939,113.529449463,120.925224304,117.813903809,116.068832397,126.104171753,110.899291992,104.150375366,112.004653931,116.389724731,121.983901978,103.765548706,117.558898926,118.764205933,74,106.87
100.786300659,90.5858154297,101.645950317,88.8509674072,97.7226791382,106.977294922,97.2596969604,82.6463546753,97.1807861328,93.9888000488,91.5161132812,93.8541717529,96.0589065552,97.5650787354,97.7088394165,94.7928619385,95.5324554443,98.7501678467,96.6977081299,93.8236236572,86.8530731201,96.7639312744,98.2841262817,106.526046753,86.9975967407,85.9628448486,103.682815552,92.7778015137,89.6961517334,95.7832107544,100.689575195,102.019165039,102.537246704,97.2667236328,93.6012496948,96.3013687134,89.8562316895,88.2879180908,75,104.85
123.287490845,111.175613403,120.694625854,121.759033203,104.847450256,119.290351868,103.183357239,118.751693726,112.133728027,113.06918335,118.845214844,121.422607422,116.221603394,112.577705383,107.106872559,111.111976624,117.402374268,114.671470642,115.08455658,123.25088501,106.224533081,127.14730835,108.516372681,121.62361908,126.041954041,111.185501099,117.717964172,122.349143982,119.294219971,110.252861023,132.329788208,112.553115845,105.845703125,107.309860229,123.394744873,120.0519104,127.661872864,102.997329712,79,114.78
98.4787216187,82.7103500366,91.8837509155,96.0859832764,98.7089233398,94.4571838379,94.2370834351,84.3780975342,93.4244995117,98.3416595459,88.45652771,91.5008850098,96.6996154785,91.208480835,88.4289550781,84.5339736938,100.791946411,92.1589202881,90.9379882812,93.9271392822,90.5942001343,97.8219223022,91.6614456177,79.1097412109,94.7194900513,100.748687744,95.8385467529,94.8297119141,90.5636901855,106.878448486,101.315643311,86.6608276367,96.19581604,97.4155731201,85.8369140625,94.7033996582,89.7766952515,94.5332336426,80,91.56
96.6476593018,101.410293579,110.022499084,92.6437606812,95.3913269043,102.563934326,108.562553406,98.6786880493,109.71295929,102.643585205,89.5467071533,113.113945007,107.327423096,110.488136292,102.098052979,101.161300659,107.010665894,102.144302368,102.735641479,113.181152344,108.344764709,97.0101623535,99.437210083,110.936683655,96.0090560913,89.7423706055,102.182273865,106.843719482,100.743484497,98.9373168945,92.2456817627,98.7593002319,101.467765808,94.022315979,93.4508895874,93.3540802002,103.608337402,103.645652771,81,98.16
120.372505188,119.634788513,113.390739441,120.112953186,103.821395874,111.796340942,109.995315552,112.79737854,120.026405334,113.926101685,121.489151001,125.117668152,113.961380005,110.859725952,107.179748535,111.865463257,114.679786682,109.189125061,110.491226196,113.373558044,109.632759094,116.772895813,108.42074585,129.673751831,116.943153381,103.687820435,121.438407898,118.308235168,115.607528687,118.995956421,108.239952087,115.156852722,107.99559021,124.741485596,140.254364014,118.551132202,127.47026825,93.3522644043,86,117.31
77.1347045898,75.8928527832,78.9605712891,78.3539886475,75.0175018311,79.4261932373,83.4614715576,71.0567626953,78.249382019,80.8172531128,69.1538467407,75.720413208,77.5978012085,71.5341644287,74.0896072388,70.448097229,79.9185333252,76.2144241333,73.5315246582,78.1412887573,81.3496932983,80.1089706421,80.846031189,67.4440231323,78.954284668,81.2661132812,73.9615783691,77.6149291992,81.1570892334,94.9661560059,81.2274169922,69.1184310913,89.9344482422,78.0538024902,71.9082107544,81.1473922729,75.3218841553,79.5227203369,90,79.0
121.415077209,112.170181274,122.372993469,108.153701782,114.841567993,113.995353699,114.238365173,108.431640625,111.056297302,108.931137085,100.763069153,120.096336365,116.985855103,111.562812805,120.085258484,114.944503784,130.72416687,117.639923096,113.88470459,115.216796875,111.243507385,111.405334473,114.036102295,124.809783936,106.51259613,106.876861572,103.504753113,116.069793701,107.129981995,110.849136353,116.627204895,109.945571899,116.146148682,117.458908081,107.946868896,108.226882935,104.343185425,120.04347229,92,110.76
107.515365601,101.123214722,114.590103149,105.369773865,102.815589905,111.590621948,97.847328186,99.6926879883,103.828170776,103.127578735,102.715110779,108.938201904,109.399612427,94.4670562744,91.2600402832,105.763916016,108.142127991,106.968254089,105.439788818,115.114562988,95.837890625,117.137710571,96.7658081055,114.414161682,120.395706177,100.753997803,108.656402588,102.070426941,96.4128494263,101.71522522,113.516052246,101.637641907,103.514984131,88.1290359497,111.908096313,100.332130432,100.378410339,90.2624816895,100,101.44
103.215362549,91.9717636108,88.7490539551,100.468162537,100.587867737,97.2705383301,87.2147445679,98.1910400391,104.132713318,99.7090301514,95.2480010986,96.7880477905,92.4797058105,88.3256072998,98.8845672607,100.070129395,102.387115479,102.111953735,96.660369873,83.2486343384,95.531539917,95.6190261841,104.75062561,89.4327087402,82.3509979248,90.6859283447,88.0283889771,89.1539764404,90.0903778076,114.531112671,99.1653747559,87.180229187,102.103271484,99.0335845947,109.276916504,103.531517029,91.1279754639,87.8706741333,102,91.98
105.275642395,100.066452026,94.9121398926,87.7635803223,84.9680404663,93.8123474121,97.1114807129,90.2495269775,99.1590576172,102.285041809,83.3702011108,98.6946105957,94.6600952148,102.027961731,104.832603455,94.8146972656,101.920974731,93.5016174316,88.9101791382,93.0140991211,103.883537292,93.1944732666,91.8388442993,88.6222991943,93.3170852661,102.181770325,93.8676223755,96.7173233032,97.4652175903,94.8227386475,106.566116333,95.2532806396,94.4644165039,89.0440216064,94.3345718384,98.9449768066,96.0069503784,106.126907349,106,98.08
112.08480072,120.965660095,110.768600464,116.929092407,95.5315093994,116.9608078,107.348754883,112.45916748,116.431838989,109.243270874,120.124099731,116.27897644,113.375053406,108.444671631,102.86566925,112.597175598,117.006790161,110.236404419,111.812850952,111.080566406,106.775695801,115.24811554,104.478225708,107.567199707,119.102615356,106.163734436,117.365447998,117.440727234,121.43560791,115.675720215,107.182281494,111.446014404,106.073143005,108.018539429,127.493087769,115.508255005,113.563552856,96.2213287354,107,139.2
94.5007781982,89.8593902588,91.9431381226,92.8379440308,86.0836715698,98.3745956421,97.1133270264,91.8671569824,97.3613357544,93.7721862793,93.4221954346,97.2407684326,101.325767517,79.2481155396,91.8655166626,97.1725463867,100.540557861,99.1052093506,94.3554458618,99.30884552,94.3728256226,89.0804138184,97.5372314453,80.8936004639,87.2517166138,91.7378082275,89.0885620117,95.7959899902,93.6918640137,107.385238647,90.4187088013,85.048614502,96.0434265137,92.6595077515,102.134994507,93.4867553711,94.5476074219,101.248306274,108,85.44
118.559005737,124.522201538,118.959510803,97.9359741211,105.367050171,116.157562256,115.250518799,104.389190674,126.043754578,123.843605042,104.252433777,123.237281799,118.204948425,128.765884399,127.594963074,117.412940979,125.859481812,116.592514038,110.068893433,118.682929993,121.159065247,107.023239136,116.948097229,109.456436157,106.21182251,119.948348999,123.186210632,119.723686218,123.832313538,120.017974854,105.070152283,113.956558228,128.575439453,116.973205566,114.60067749,118.30745697,109.886436462,121.664955139,109,110.52
85.964805603,88.5998535156,89.863899231,98.3086547852,86.7109146118,98.1641235352,94.4367828369,98.5666656494,100.430221558,90.5593185425,98.1311950684,96.8182373047,94.2415313721,104.085334778,94.5815887451,95.3883132935,90.9974975586,103.693916321,91.2446899414,97.6015625,80.0541305542,103.791015625,90.6858825684,95.3183441162,100.69316864,84.2431793213,95.3188476562,90.3905181885,104.558670044,99.1262664795,94.0516662598,88.4643249512,82.5226745605,93.0862579346,103.346511841,115.902137756,88.9876251221,81.2981262207,112,91.44
94.2515945435,100.839324951,92.4548873901,92.6491088867,90.3956298828,94.0389404297,91.5757598877,93.1921691895,101.933685303,93.8446960449,95.8420944214,99.4255599976,99.1433868408,80.6725234985,91.4474563599,98.0480575562,95.5827636719,97.6153640747,92.5438537598,97.4039154053,93.419708252,89.8044433594,99.6657867432,84.724105835,84.7413482666,91.4003753662,99.9792480469,94.9568786621,94.9976806641,105.836929321,88.9867706299,86.0353851318,99.2581329346,91.0166015625,96.242225647,91.6072387695,105.20324707,104.978363037,116,91.52
103.611633301,103.094406128,106.166297913,88.7763214111,92.2818908691,110.26738739,97.941696167,91.5874023438,94.9749908447,101.958251953,99.2312469482,93.9855499268,103.352867126,100.498725891,92.6218719482,100.190345764,96.7064361572,108.210006714,100.036018372,104.268859863,98.5331268311,97.2387161255,102.955947876,97.0171661377,88.7064361572,88.1770172119,101.283668518,98.8314361572,88.3042755127,98.5205230713,102.223686218,103.521286011,109.681404114,103.246932983,95.7809753418,93.518371582,90.0702514648,101.783599854,118,91.59
102.827102661,108.226165771,98.3804550171,111.132781982,101.140197754,104.883377075,97.6833114624,105.580192566,105.438919067,107.179985046,110.638114929,110.506088257,106.090675354,98.1557922363,95.7884674072,105.284484863,111.240509033,100.52747345,102.490768433,109.324081421,91.5563049316,115.173797607,104.815338135,98.3324508667,112.590194702,106.875457764,109.725730896,104.305671692,112.366104126,108.948181152,110.495056152,100.219833374,88.5429611206,99.4790344238,112.802337646,98.74634552,107.482376099,93.7200775146,119,108.0
