keras_per_relu0,keras_per_relu1,keras_per_relu2,keras_per_relu3,keras_per_relu4,keras_per_relu5,keras_per_relu6,keras_per_relu7,keras_per_relu8,keras_per_relu9,keras_per_relu10,keras_per_relu11,keras_per_relu12,keras_per_relu13,keras_per_relu14,keras_per_relu15,keras_per_relu16,keras_per_relu17,keras_per_relu18,keras_per_relu19,keras_per_relu20,keras_per_relu21,keras_per_relu22,keras_per_relu23,keras_per_relu24,keras_per_relu25,keras_per_relu26,keras_per_relu27,keras_per_relu28,keras_per_relu29,ID,y
111.839004517,110.410758972,110.716140747,108.88369751,119.466720581,110.654785156,102.322494507,104.252098083,102.988639832,107.16783905,110.316001892,112.005966187,112.91834259,107.309906006,119.081993103,102.834335327,114.515907288,109.870071411,113.893615723,105.534255981,107.42603302,103.788719177,109.462928772,112.493995667,106.74066925,113.618759155,105.951957703,114.054016113,109.601539612,114.893196106,4300,109.1
95.391494751,92.0913162231,91.5385665894,89.3572311401,91.4208831787,95.3192672729,93.2142028809,93.3831100464,93.2296142578,91.684677124,88.053314209,94.6433181763,94.5428924561,96.5054092407,93.6207427979,95.177444458,94.1259002686,94.2398910522,93.8720932007,90.3920593262,91.9756774902,88.6390686035,85.6387863159,93.9667053223,93.3191223145,88.8523406982,88.6220245361,85.479850769,92.4019775391,93.4009933472,2501,86.6
101.38482666,109.480239868,104.891853333,106.2421875,111.560806274,108.77507782,104.711700439,109.134223938,100.17729187,105.369895935,109.616600037,112.685829163,104.584197998,109.945465088,111.143035889,102.636238098,107.066467285,108.179077148,104.147216797,112.361183167,105.707870483,104.374687195,110.737228394,110.896736145,105.60484314,117.02281189,111.128204346,96.952796936,100.137184143,102.641616821,3090,114.53
110.84992981,113.300514221,110.616592407,111.427482605,116.362617493,108.744766235,103.897972107,115.639175415,109.17137146,106.522407532,109.099349976,111.569587708,115.023704529,114.744697571,110.140708923,109.112579346,113.040351868,106.589683533,106.256156921,102.991355896,111.390068054,95.1176528931,117.977096558,114.008323669,115.083129883,108.166305542,109.552619934,108.442184448,109.519493103,109.983169556,868,112.2
105.989265442,91.6556015015,112.485389709,104.354774475,99.3052597046,101.925994873,104.178001404,105.910720825,103.817481995,103.494674683,101.471786499,97.1347579956,99.1238937378,104.547866821,108.364257812,104.792953491,107.201560974,103.585594177,103.741073608,101.370727539,96.8990631104,87.7637939453,101.584579468,108.788574219,107.452285767,102.337631226,101.426780701,102.205718994,103.130706787,102.73727417,3222,102.5
92.3454208374,92.0100021362,86.2941436768,91.6783370972,93.5054473877,88.6135940552,86.5342178345,93.4179458618,89.9632873535,93.1318817139,87.7863998413,89.5353775024,87.208404541,93.6882095337,89.5356216431,95.4423370361,94.288444519,90.8825759888,88.7259140015,90.6884155273,96.834274292,92.8988265991,94.4971923828,89.1484832764,90.4555511475,97.0441970825,96.3611526489,90.0581207275,92.5830917358,96.901802063,1525,101.49
79.0600204468,73.6090774536,71.3681716919,75.6839447021,70.6638717651,72.3994140625,71.6276092529,77.7108230591,66.4608154297,74.9735336304,80.1203918457,71.5441970825,78.1399230957,75.7620010376,77.6105499268,75.4140319824,68.5354919434,71.4926681519,77.707611084,74.8871383667,77.557510376,69.6551589966,78.0263366699,78.0229797363,76.5941467285,72.3878936768,78.568572998,75.8783950806,66.8962020874,76.9597625732,2149,87.31
97.7877349854,91.3682632446,93.4876480103,86.6007232666,86.2207794189,91.4914855957,96.2823486328,86.5905456543,91.3152618408,96.4873657227,94.4494934082,90.2235336304,93.8770751953,98.7060089111,91.0121688843,105.541351318,98.1782455444,95.8759078979,92.8512191772,94.4644851685,90.912361145,88.5807952881,92.5420684814,94.4997024536,88.5821151733,90.2543563843,88.9114456177,91.4278945923,85.4617156982,100.351356506,331,90.68
92.3437271118,86.0557327271,95.5135498047,91.5118484497,88.5119628906,90.5530700684,89.3783798218,89.409828186,92.6542053223,86.7394790649,90.8869476318,89.3988113403,86.469543457,95.0220031738,86.7072372437,88.2328033447,93.0870056152,93.0013580322,94.0176315308,89.4538497925,90.6289749146,98.5403594971,94.1482391357,100.041412354,96.5258560181,88.0619506836,102.393463135,90.14012146,95.9270477295,92.6751937866,3452,100.0
107.598403931,95.6095581055,96.6598052979,92.6565704346,88.5574188232,101.994911194,91.3317718506,91.9216461182,99.9034118652,99.9238357544,105.656303406,95.0913772583,93.7864532471,99.5733108521,116.24659729,94.8831481934,105.980514526,111.128768921,100.705757141,106.533966064,94.6153564453,95.3337554932,95.1416168213,106.412528992,96.5620117188,99.3740539551,95.3652877808,99.5431060791,108.348731995,107.71912384,3023,94.6
92.4314117432,88.0354614258,91.5789642334,86.5946655273,93.9696807861,93.9200744629,89.6750183105,91.5929641724,82.8717269897,93.0391693115,87.5560531616,88.9885253906,98.6142578125,93.9164962769,86.2621688843,89.2746124268,94.1490097046,86.8394393921,93.4948959351,86.9339981079,92.8939819336,91.7533340454,92.1467514038,88.13646698,90.8311309814,94.0770568848,90.1730804443,85.6180114746,89.8784866333,84.0486450195,3643,95.15
101.622108459,105.063484192,99.1335296631,106.446861267,104.018302917,102.524887085,103.650299072,108.155776978,95.5493545532,101.86580658,107.100440979,107.308502197,108.528747559,103.618858337,101.939346313,104.459655762,104.390274048,104.476211548,109.846549988,91.7840423584,103.011001587,96.6622543335,104.164039612,110.588981628,101.90007019,104.122047424,97.6139221191,98.2148361206,104.564056396,102.536590576,2876,97.47
94.9292984009,86.9293899536,88.6067123413,94.1023025513,96.0797271729,95.1368713379,92.9423599243,95.5298461914,94.4671173096,93.4536590576,92.6889953613,93.6455001831,89.9620437622,90.0454940796,93.2230300903,95.9441146851,98.3371810913,91.6552200317,87.935256958,98.6997680664,92.036895752,91.7475585938,84.9316558838,95.337928772,92.0032348633,94.5542373657,92.9221496582,86.044303894,92.306892395,96.6763153076,2356,100.37
94.1742553711,89.001663208,89.4766769409,87.7744064331,90.1902160645,94.0173339844,90.0576934814,92.7724227905,93.4562911987,92.6568832397,95.397064209,90.0122756958,88.9294281006,97.2661437988,94.3780822754,87.3447570801,88.2545394897,90.3866958618,100.294685364,88.7322769165,91.0861282349,90.7968139648,91.8701858521,95.5833816528,90.2020263672,89.9764022827,92.8112487793,89.5481262207,92.1617355347,88.1865386963,968,88.57
93.2997970581,92.1225204468,88.4568023682,87.9718322754,89.7145309448,89.6769638062,88.6425247192,87.7163772583,88.0035552979,91.4318008423,86.0736694336,91.1017456055,87.5677642822,94.9188766479,87.5580749512,85.7530517578,93.0236129761,96.967048645,93.055267334,84.7993850708,95.3714141846,89.371307373,86.4468154907,96.673576355,91.0917892456,96.9571685791,91.1364974976,88.2200775146,84.7551040649,93.3285903931,4509,112.31
92.6127853394,86.5817108154,90.8437042236,92.1322631836,94.8856048584,92.050994873,90.3133544922,93.4454956055,87.6671218872,90.2500305176,88.9374084473,90.0496292114,93.511932373,91.0179290771,94.1994171143,89.8024139404,91.8329544067,91.8574142456,90.0643234253,88.7350082397,92.6858062744,95.1770782471,94.3100585938,93.4223175049,91.0529403687,86.8984298706,93.1114196777,88.7878799438,93.9660949707,94.9445953369,6022,88.48
118.223800659,112.690437317,110.608528137,114.486968994,107.451904297,112.818710327,111.403167725,121.511413574,106.182044983,117.475967407,114.566093445,126.365188599,121.666343689,113.497940063,115.693626404,101.041603088,111.542160034,124.179206848,109.632392883,109.692268372,111.019378662,109.731513977,119.702835083,112.415145874,115.826599121,125.789985657,111.117729187,139.271820068,113.473190308,108.374282837,4937,116.42
93.1016769409,90.165687561,90.7755966187,90.7324295044,90.1826171875,85.4664611816,91.822517395,94.5447235107,88.8976745605,86.6788101196,89.5099868774,93.2250442505,87.7245788574,87.7258224487,96.034576416,91.4388885498,92.4467926025,92.9400787354,95.6726379395,88.4188613892,94.6318664551,89.2597503662,94.6263504028,91.643371582,92.9250030518,100.867340088,93.8673934937,89.1262817383,86.7643051147,90.9920806885,3568,95.71
112.122840881,109.220977783,112.2733078,112.263442993,107.714744568,109.125801086,107.044960022,108.797943115,109.463172913,110.854125977,111.302200317,112.950942993,109.69090271,107.538627625,117.37979126,106.439758301,112.170776367,113.916030884,111.837768555,110.726982117,107.635520935,108.668266296,108.034690857,112.654769897,103.888763428,112.718757629,105.851806641,110.671005249,103.630172729,117.46572876,931,107.35
93.1696548462,90.9760894775,81.5931472778,88.632522583,86.5132827759,92.5575027466,92.3221206665,92.1770248413,89.8947906494,86.835357666,97.3285675049,87.5942077637,93.5414505005,92.4533157349,90.6022186279,91.2894668579,90.7865905762,91.8712692261,91.7674484253,92.3502044678,92.0776443481,88.9000244141,89.0545959473,89.207321167,92.2493362427,90.6026763916,88.9656448364,89.7470779419,89.0062789917,94.4619522095,2928,87.63
89.115524292,90.1241073608,83.5855178833,89.0836791992,88.3179016113,91.1183929443,86.9947280884,87.3518295288,89.6506195068,89.6742782593,86.5689239502,93.4760131836,92.6828994751,85.8518066406,91.6143264771,92.2351837158,92.2094650269,88.6443328857,88.891204834,91.9949798584,84.830619812,84.6789398193,91.7143783569,90.1071548462,89.4021530151,91.3288574219,92.3545074463,88.0877532959,89.355506897,91.4644165039,4027,92.6
94.7729797363,85.4212493896,92.5049133301,88.2646942139,93.0133285522,92.3055648804,95.3694763184,89.6615753174,86.2466506958,94.5500259399,98.4834747314,96.2198028564,98.7285308838,91.0943603516,96.6166992188,95.1314086914,97.9847106934,87.3693466187,94.8599090576,89.2021179199,89.9876251221,88.6582641602,96.2126464844,91.6481018066,90.3757781982,95.0560150146,91.1560668945,88.3714523315,87.6329956055,92.1027069092,355,90.17
92.6602249146,86.3245773315,88.4828872681,90.1115112305,92.4665298462,91.3795166016,90.8373641968,89.4492263794,86.3694992065,91.8124694824,100.710372925,89.3725204468,88.3369064331,91.8876342773,89.4331512451,96.2127227783,93.3975219727,91.6902542114,90.6667633057,91.9149017334,94.3645553589,91.8649673462,91.674156189,96.3213729858,86.6219329834,90.0117721558,93.5984268188,91.2601318359,93.8559570312,87.7763900757,1881,98.17
92.3066711426,92.3168411255,95.5350494385,92.3889770508,93.703086853,93.9732437134,91.4130325317,93.4615707397,86.1592941284,96.2854309082,93.2129058838,96.8340530396,89.291633606,95.9540252686,91.4933242798,90.5803070068,94.0465087891,94.1208572388,94.2871551514,92.1199111938,94.1660842896,92.9842300415,91.1853179932,101.144126892,95.4915771484,92.1843490601,94.2899780273,89.9189224243,97.6768341064,97.7551956177,5843,89.43
95.0470428467,90.4487762451,90.2766799927,93.5615005493,88.7250976562,91.3066101074,91.5852966309,95.4452590942,91.2855682373,97.2827682495,92.0157470703,93.5699615479,91.5930862427,96.3649291992,103.430534363,92.6497039795,91.5355529785,88.2577209473,93.5119018555,90.438949585,91.4187469482,94.0482788086,95.9587936401,92.9430999756,89.9997634888,93.4417877197,94.7027664185,94.0904464722,88.2102966309,91.4808273315,7439,89.35
89.3611679077,88.2096328735,91.4544067383,89.2789764404,91.9192352295,90.4697723389,92.8302307129,90.1319122314,90.4787902832,89.0663223267,89.9457397461,87.5826873779,90.3665390015,92.5260162354,96.7836532593,96.2488098145,94.017364502,91.5035858154,90.7423706055,88.8077926636,94.1296234131,89.6118621826,93.3509292603,93.462387085,90.1783447266,97.6459732056,89.1676025391,86.2421722412,83.9180679321,88.2029953003,4191,99.41
79.2638473511,73.2938461304,72.8861694336,75.7813415527,78.7999038696,72.7021255493,72.6903610229,77.8516693115,77.386932373,80.0940933228,75.9108428955,71.3142318726,80.090637207,82.4634933472,78.7736206055,75.0245819092,69.0096282959,70.8680648804,66.3074111938,75.387802124,73.1026153564,76.7303009033,70.7643432617,78.1154174805,76.934463501,78.0296554565,77.5368423462,76.9477844238,74.3437042236,79.0227737427,1121,75.86
98.9550933838,86.8393859863,97.213470459,101.697021484,98.4235458374,101.420059204,96.7534866333,101.498542786,101.519302368,94.6667251587,97.9988861084,104.192550659,104.325775146,101.397033691,97.1676864624,99.5558624268,106.164886475,97.1309432983,102.993904114,96.7460632324,100.899383545,101.652519226,103.670455933,103.935165405,100.816925049,101.499794006,103.798866272,98.6842727661,93.9294586182,105.086280823,6802,98.13
92.0487518311,88.7747039795,86.8039245605,86.4953994751,90.4584655762,90.4751205444,95.1933441162,91.1843109131,89.7058868408,93.1848678589,91.3233947754,92.1090011597,95.5735702515,89.4248352051,88.506362915,90.712928772,87.7284011841,91.1553421021,95.3254699707,87.4898300171,92.7301864624,95.5129394531,93.8035736084,90.6083755493,93.9366607666,91.9913864136,90.7320556641,90.6306838989,90.2196807861,84.9232025146,6112,98.57
116.133079529,107.153366089,109.22265625,113.785827637,110.950744629,111.212394714,111.038864136,116.047966003,105.271560669,121.729911804,112.813140869,119.058685303,110.294837952,106.489982605,115.523757935,108.158760071,108.474571228,101.018867493,103.444694519,110.532653809,112.317070007,113.114982605,102.330276489,117.903923035,115.886734009,110.189369202,104.27633667,105.775177002,105.758377075,102.68788147,6291,111.38
109.679138184,105.147872925,104.257217407,115.678230286,109.545761108,116.746269226,107.480148315,108.750289917,107.195770264,110.475967407,115.361282349,106.174201965,108.75567627,113.352905273,116.15625,112.595123291,105.498779297,114.247344971,107.409927368,106.986984253,107.024810791,110.070411682,110.796569824,108.445777893,103.603889465,107.901939392,106.618408203,116.764076233,108.121566772,110.025856018,1234,113.08
109.181640625,111.511779785,106.101478577,108.776390076,101.636482239,110.35861969,110.721870422,105.79309845,119.010444641,110.646308899,115.11756134,111.622589111,110.976821899,109.888702393,117.825614929,108.71534729,110.840209961,101.895553589,108.285003662,103.323326111,121.530509949,112.209220886,105.168701172,114.28968811,108.717170715,114.210426331,110.907302856,102.156455994,106.895439148,111.933784485,2384,114.26
98.356590271,87.1772155762,86.5141601562,93.6911849976,93.3307266235,94.1316070557,90.4198989868,91.2587585449,86.9810333252,81.3539657593,90.7816696167,97.8896331787,99.0852127075,91.0935134888,97.1792678833,95.8393707275,98.3429489136,94.5050354004,92.0458602905,95.0817718506,94.7853317261,93.5551300049,96.7554931641,89.1051177979,89.7047348022,94.0843811035,95.9812011719,94.2614059448,89.9723434448,93.5152053833,5073,93.7
110.422271729,110.666114807,105.111869812,108.408500671,99.9588012695,109.994247437,111.91229248,106.531509399,109.840515137,111.208930969,110.548492432,110.052459717,110.553153992,111.578918457,115.169792175,106.608268738,106.638290405,113.733039856,109.596122742,111.030975342,109.901313782,99.1060409546,116.155578613,111.112915039,106.966148376,119.809921265,110.743911743,105.201263428,110.279891968,119.343185425,6791,104.82
107.268379211,109.269775391,108.768943787,108.277664185,123.026542664,109.136001587,108.936256409,106.379974365,105.23777771,110.105491638,109.996360779,111.785926819,112.135978699,112.121391296,119.149284363,109.745445251,108.510620117,102.792922974,115.582931519,114.220031738,119.401268005,101.123558044,104.391433716,112.227043152,110.497947693,112.607292175,110.550537109,112.137626648,104.05921936,112.24407959,5508,114.83
92.5216751099,90.9593505859,88.0781860352,86.4869918823,92.1354827881,88.5047912598,86.2945709229,85.9295959473,87.8811416626,89.2161254883,88.26927948,87.5901565552,86.9157867432,94.439201355,90.6242523193,90.6021652222,94.8208847046,91.9054718018,92.2934951782,87.9244918823,91.3979187012,88.2825012207,93.5877151489,92.7298049927,89.0283508301,85.1781463623,93.2214736938,88.1803588867,92.6478118896,93.7511749268,108,85.44
96.2463989258,90.2713317871,95.4682617188,87.6891937256,92.7504348755,87.5505371094,91.4993133545,90.7779312134,93.9307861328,94.9445800781,92.3685836792,85.5700302124,92.0697097778,94.8463287354,93.6784591675,88.8402252197,87.862663269,90.9661331177,93.2405700684,93.9621124268,91.292930603,81.1867904663,97.100151062,90.0096740723,90.646774292,91.456489563,93.2218475342,92.6126022339,93.2269897461,88.5910873413,915,113.87
92.9166870117,89.3997573853,92.0873031616,88.8371047974,92.8302001953,93.4151229858,93.3708114624,92.4122924805,83.4576263428,95.734992981,98.7917709351,92.3062667847,96.1951904297,94.3553924561,90.4521636963,94.3031692505,91.4214401245,92.0794830322,94.4192657471,90.9807357788,90.1730041504,90.5635223389,92.993812561,92.7213973999,94.1115188599,91.7505111694,90.1629180908,92.6476821899,94.0679397583,91.2408218384,2070,88.26
102.501220703,101.450828552,102.85269165,111.937385559,97.576965332,103.630226135,91.1324539185,104.091598511,104.537742615,104.262382507,105.358085632,108.441627502,102.514511108,97.8242111206,113.692779541,110.075187683,106.364517212,108.222679138,102.451599121,105.927055359,105.754142761,107.697021484,105.582008362,105.277236938,102.02721405,107.131492615,97.7253570557,105.874977112,100.448455811,103.871253967,7241,98.16
105.626419067,89.7233886719,116.797286987,104.165664673,108.384544373,100.524833679,107.94745636,103.931739807,96.2172698975,97.2878265381,95.6629943848,99.3356246948,108.37474823,100.52696228,109.68536377,106.902305603,105.241928101,114.894325256,102.774917603,95.1290740967,108.552093506,100.496047974,108.080978394,106.911399841,100.282562256,106.129951477,102.103385925,105.634902954,98.1909484863,108.724586487,5387,112.8
91.9583129883,88.5305938721,86.486366272,90.4555587769,91.0232391357,85.7970581055,93.1435623169,92.7119369507,91.2167739868,89.1162796021,84.9438247681,92.8661422729,88.0823898315,92.0930175781,94.0904922485,91.5377502441,92.7836227417,92.7937393188,96.3191986084,88.270149231,91.1703491211,84.7781982422,98.2582397461,91.1367721558,94.624961853,91.1515274048,94.1225204468,89.3652648926,87.7337417603,87.9510574341,5412,95.15
94.0033111572,91.4440765381,97.3891983032,100.665100098,107.797340393,101.149307251,98.9062347412,100.220161438,97.3494110107,98.4630050659,97.5863952637,93.0700149536,105.459037781,101.115440369,95.8199996948,98.9608001709,93.9733886719,98.271156311,98.4913024902,103.798728943,94.9824905396,103.299789429,99.4892425537,102.528678894,101.358558655,102.889221191,98.0364761353,112.97240448,101.186050415,95.9995574951,5041,99.27
91.4236831665,90.6332244873,95.2595443726,88.3235549927,93.1512298584,89.7296676636,90.4303131104,95.0479431152,89.2801361084,96.907409668,95.6295394897,91.0671615601,85.1952896118,97.5411376953,100.496200562,94.5926971436,93.8423690796,93.205947876,91.8225097656,87.8466873169,90.9018249512,95.7443084717,97.3651885986,96.205871582,88.6177978516,97.2965087891,92.7665405273,88.5113372803,90.0479202271,91.2074356079,2611,87.81
96.6125183105,91.3109970093,91.73412323,90.4671478271,93.7077484131,91.4209060669,88.1199417114,94.4397506714,90.0303649902,84.2577896118,90.4400177002,91.9959716797,93.1442718506,91.6523208618,97.2862243652,92.5429840088,91.84765625,95.5447311401,91.7249908447,91.1394882202,94.9883422852,86.985786438,92.1014404297,91.8596038818,93.7810974121,90.3817520142,95.3972320557,85.9765625,91.5889205933,89.2351303101,3350,97.86
93.1243896484,92.6064071655,91.6491394043,88.0639266968,91.4829788208,89.0571212769,88.4506835938,89.7576446533,88.9585037231,91.1258163452,95.5205230713,88.3633880615,88.7370376587,91.9499511719,95.4660797119,92.6587677002,90.6052856445,92.5874023438,89.700920105,88.4672927856,94.1230697632,89.6881866455,94.4844360352,86.1554489136,89.9430084229,87.6595230103,91.3090286255,90.5483169556,82.4751663208,93.0400466919,6576,90.64
97.1660766602,100.844772339,104.155693054,105.179885864,95.4626235962,101.608261108,103.306991577,99.6602783203,101.624458313,102.293754578,101.702827454,101.507499695,102.286605835,101.921417236,107.266822815,100.252494812,104.956825256,99.5508880615,103.003585815,99.1369400024,103.446006775,101.710548401,107.53327179,104.156799316,98.1181259155,99.6910171509,104.623146057,102.332008362,95.5046234131,109.655654907,6849,96.49
105.216529846,90.4342193604,96.218963623,102.078529358,107.139205933,101.58934021,100.525489807,96.2210464478,97.9041366577,104.67364502,100.321983337,95.3529968262,104.582923889,102.412338257,104.49030304,105.461746216,104.11491394,106.103248596,103.182571411,104.243904114,98.6673736572,97.4374465942,99.4428253174,103.373748779,92.1618499756,101.927230835,98.0566482544,107.465545654,105.343009949,106.422157288,6056,104.66
99.2793579102,101.574768066,99.4817733765,96.5176773071,96.8727645874,102.247291565,104.239601135,109.007629395,105.510856628,102.441040039,108.913383484,106.712783813,104.469169617,107.940231323,111.071838379,96.1535491943,102.10395813,99.7899856567,103.274597168,98.3263168335,105.494560242,96.2558517456,100.525642395,107.824752808,100.784156799,100.763809204,99.6342086792,106.322822571,99.2114028931,107.183074951,1526,108.54
95.7543640137,86.4221343994,95.8554534912,91.8263015747,95.1834487915,88.5677642822,87.7596817017,93.2305679321,90.3192214966,83.8308486938,92.5238800049,92.4622421265,95.8855667114,91.3887176514,93.2077941895,98.3376693726,92.5246963501,90.2125244141,87.9219741821,92.7186660767,92.2337112427,92.1569061279,85.464515686,93.3116073608,91.2227554321,94.3315887451,90.9327316284,89.8730697632,92.9964752197,97.4970092773,3095,96.45
91.2690048218,88.9532623291,93.3460235596,90.9823608398,94.5088272095,97.3060455322,94.4420318604,89.3366394043,88.418258667,85.7454452515,92.1955947876,89.0995178223,93.9437789917,93.6252822876,92.8143768311,92.4276275635,93.6154937744,91.0399246216,93.3269195557,90.3181610107,88.1626586914,90.7334747314,92.6686325073,91.3555145264,88.1026611328,93.4460678101,91.1597900391,92.0020217896,88.2223815918,97.5761795044,919,94.88
93.5647583008,95.0015029907,86.1903915405,90.4635696411,87.8821182251,90.6376724243,92.7832107544,91.8003616333,87.0659866333,88.5770339966,87.6681060791,89.2080307007,87.2984085083,89.6529922485,93.6561889648,93.5665206909,91.0115356445,92.8176498413,92.2108535767,89.7333602905,90.9563751221,90.6103897095,92.9383468628,89.2995910645,91.3754577637,90.1430130005,95.4881286621,91.838180542,88.8095779419,91.7303619385,3983,88.28
93.2268753052,94.007270813,91.3791275024,88.0442428589,90.2366256714,91.0557632446,91.3822402954,86.894203186,87.634803772,94.5638961792,93.3798065186,88.521987915,90.046546936,93.4305038452,95.4506988525,93.3686828613,90.3550186157,92.9891815186,91.2461242676,89.2313613892,89.415687561,91.8871536255,86.3448562622,88.1602172852,89.5090866089,95.0756225586,88.3503036499,87.9777832031,86.0999526978,95.2857131958,600,94.95
95.6825866699,86.1318817139,85.3251113892,92.8366394043,93.3164672852,97.1880111694,95.4445495605,92.5282211304,86.1617126465,80.2466506958,93.6312026978,95.3015670776,91.3692245483,95.2530670166,100.849746704,90.6697692871,98.0997543335,87.9502182007,90.5936889648,92.6382141113,85.8294677734,86.4279556274,88.4908218384,87.5157775879,85.9339370728,91.204246521,96.2716369629,89.2860946655,87.1051025391,90.6149215698,2441,95.24
107.567863464,107.190963745,101.659164429,112.735778809,108.537399292,110.598243713,105.766265869,105.657577515,106.593994141,109.44972229,113.146713257,109.058525085,108.993537903,116.70614624,103.801765442,101.076721191,103.506408691,102.139816284,110.38067627,108.358322144,107.373329163,110.798957825,111.773544312,107.032806396,104.094596863,105.601005554,113.424095154,113.804473877,106.058982849,105.02848053,3166,112.06
78.8326568604,72.1125564575,71.8789672852,75.4011917114,75.627204895,80.0456619263,76.9815826416,74.5606994629,73.3841552734,78.3108901978,81.2019119263,71.6393356323,75.7189712524,79.4572296143,78.4410095215,79.487121582,83.8987045288,74.896270752,71.6786651611,74.9806289673,73.9307937622,74.4888458252,79.5757827759,77.3800506592,73.8122329712,70.8222198486,68.7878723145,73.9641036987,74.7974395752,81.3082046509,6153,78.63
