keras_MSE2_relu1,keras_MSE2_relu2,keras_MSE2_relu3,keras_MSE2_relu4,keras_MSE2_relu5,keras_MSE2_relu6,keras_MSE2_relu7,keras_MSE2_relu8,keras_MSE2_relu9,keras_MSE2_relu10,keras_MSE2_relu11,keras_MSE2_relu12,keras_MSE2_relu13,keras_MSE2_relu14,keras_MSE2_relu15,keras_MSE2_relu16,keras_MSE2_relu17,keras_MSE2_relu18,keras_MSE2_relu19,keras_MSE2_relu20,keras_MSE2_relu21,keras_MSE2_relu22,keras_MSE2_relu23,keras_MSE2_relu24,keras_MSE2_relu25,keras_MSE2_relu26,keras_MSE2_relu27,keras_MSE2_relu28,keras_MSE2_relu29,ID,y
94.872467041,102.275596619,97.2434997559,97.7301635742,98.6200866699,94.0951766968,95.1991729736,97.1976699829,99.5177612305,95.568901062,95.2591018677,90.2141189575,96.2010498047,93.1711425781,98.8263168335,94.4220962524,94.6351242065,98.1847305298,91.7961196899,92.2612228394,95.4577102661,97.0392303467,95.4444656372,88.1977920532,95.8992385864,94.6532821655,94.3073425293,91.0545959473,96.1164093018,4345,103.39
91.7113876343,91.017906189,90.857460022,91.4026184082,92.291267395,96.6916351318,92.1832809448,91.327041626,92.6448822021,92.4433441162,96.6364440918,95.0330429077,90.4451522827,93.2071914673,92.1622695923,90.6165542603,89.9106903076,92.9874420166,97.2986068726,93.8844070435,92.0411224365,90.0439758301,99.348815918,90.3075866699,94.0159912109,90.7387237549,99.2068099976,88.8951416016,90.3633422852,7305,91.49
94.4610137939,91.8294372559,94.293258667,95.6621551514,91.3754272461,95.4560394287,97.2642593384,99.7806091309,96.1910858154,114.172637939,92.2600784302,92.3318557739,95.2706985474,91.505027771,99.2309417725,95.6325531006,92.9981079102,92.77684021,97.0234527588,95.517036438,93.4537887573,96.0223083496,101.378730774,94.1818847656,97.298866272,93.9036102295,100.128814697,100.378517151,91.2903060913,2827,88.69
110.408477783,110.288650513,112.765327454,109.698738098,105.370529175,108.427726746,106.941879272,105.292541504,114.355262756,109.460044861,105.654762268,113.600112915,114.209762573,102.774971008,104.3542099,105.893096924,112.569122314,114.107185364,109.7710495,108.437271118,106.87563324,115.174476624,111.039733887,109.460273743,105.667251587,107.277153015,109.790374756,110.958755493,110.267845154,7340,106.96
109.733154297,110.197784424,104.965911865,116.857513428,110.885047913,110.3177948,112.617141724,111.903213501,112.579475403,112.776603699,113.623039246,119.632095337,115.022850037,116.267059326,111.299537659,116.617088318,112.238082886,113.540489197,112.937843323,120.274002075,111.95879364,108.803977966,106.338623047,114.314605713,105.087844849,108.772781372,116.727645874,121.625579834,112.49306488,5650,110.96
103.367050171,101.784370422,105.560447693,98.921005249,101.566040039,99.3775253296,107.046554565,95.3493270874,108.534835815,102.590530396,103.087547302,105.307006836,111.805809021,100.558944702,104.806259155,108.358100891,100.113700867,109.342041016,106.938156128,102.972358704,100.855194092,105.100006104,100.176895142,100.420280457,98.9440155029,104.420570374,100.733459473,93.5073699951,102.988983154,7591,114.44
93.612121582,98.7671813965,92.6521453857,92.0313644409,88.0227050781,95.9232711792,95.6096038818,96.2063217163,93.3632278442,95.778678894,96.3365631104,89.9906539917,89.7459945679,89.425994873,98.435005188,91.6326141357,93.0519943237,91.3940734863,95.183631897,91.476524353,94.6210327148,96.6123275757,95.9833908081,97.6938247681,93.8615341187,92.2186508179,96.0702362061,92.4896621704,95.1366729736,2047,105.53
92.4863433838,95.1657943726,90.7838363647,92.1666717529,91.0580291748,94.6284866333,91.263999939,95.0030288696,91.9626846313,93.5171127319,95.7175369263,91.4393844604,91.239730835,92.4453811646,95.542388916,89.3034439087,93.0312271118,90.8637542725,91.0277252197,94.208984375,92.6312408447,95.1276855469,93.6375656128,87.1898651123,94.8068695068,89.9522171021,96.1373672485,92.5866928101,89.3190002441,4687,84.56
77.9557800293,76.2038040161,82.8352050781,78.6742858887,75.7490158081,75.9191207886,81.1488113403,81.9646759033,75.6459655762,74.2397384644,78.0370330811,79.5971755981,77.8456192017,81.2371368408,80.7952804565,74.2664489746,78.7576980591,78.3064422607,74.8255157471,73.8366622925,73.8307800293,75.7211074829,83.5439682007,80.3969039917,81.0537261963,78.4735870361,77.4186706543,77.9492874146,79.2390365601,2302,73.59
91.0688705444,93.5951843262,93.0460357666,94.2308654785,89.7355041504,98.9245529175,91.5480804443,96.272277832,90.5382156372,92.3430099487,91.9468841553,89.8799133301,92.7513046265,93.6645584106,91.9437713623,94.5313339233,94.3824615479,93.9952774048,92.9774017334,89.8230133057,96.3922119141,93.7101364136,92.8578948975,93.7794036865,93.8092041016,92.2253112793,98.0279693604,94.9637680054,92.9196853638,213,93.62
113.830276489,111.289672852,106.223670959,111.336952209,105.614738464,111.807861328,107.270622253,108.787597656,110.605880737,107.255897522,113.232498169,111.992012024,104.644393921,105.065895081,115.810165405,109.078109741,110.946853638,111.891464233,107.834342957,117.496612549,108.412498474,107.051239014,109.843589783,118.583877563,112.336929321,112.704589844,112.248458862,103.861335754,106.945831299,7205,105.64
115.601745605,113.966835022,117.704772949,116.086891174,115.957847595,116.568260193,110.492462158,111.531700134,116.954177856,116.876190186,118.769256592,113.112442017,109.865539551,113.446723938,119.218765259,114.732521057,114.592460632,117.221664429,112.784080505,116.858650208,114.240386963,114.965461731,114.887161255,116.790557861,110.330764771,118.356826782,116.339920044,112.009368896,116.893989563,5119,110.0
105.812660217,106.082962036,106.24269104,105.031455994,104.095031738,102.654510498,104.267822266,100.649482727,102.813850403,106.536979675,101.648277283,101.064537048,105.939445496,102.760498047,106.317321777,109.28742981,105.537780762,112.347740173,108.205825806,101.036216736,103.141899109,102.238769531,105.133827209,103.590484619,100.778396606,105.007507324,107.921188354,99.6449050903,105.001159668,1334,100.49
110.779151917,109.453559875,109.994918823,107.826843262,108.83139801,113.356925964,109.758140564,111.993782043,109.907409668,109.170951843,110.911933899,108.825057983,105.333045959,106.247108459,108.6275177,112.83896637,103.494300842,116.484695435,110.666938782,114.307472229,106.047912598,107.722183228,109.355888367,109.750366211,111.554969788,112.860870361,111.685890198,108.510948181,109.79611969,6791,104.82
77.6935043335,81.1204910278,79.0294265747,77.5869827271,73.4865264893,77.1251144409,83.7107391357,82.0235595703,79.7249679565,78.1237258911,82.3150939941,75.2570343018,77.9959716797,82.2643585205,81.8133468628,75.2593841553,77.1541519165,78.6642456055,75.4597167969,81.6706924438,73.6708068848,78.5009231567,76.112701416,77.3296127319,81.3615493774,77.3920211792,78.0703201294,77.7094650269,79.8252410889,4681,81.18
95.6770172119,94.2623138428,103.290405273,91.14402771,95.888999939,89.4237289429,90.9360046387,98.4219436646,97.9443359375,98.5399246216,94.5640335083,92.3737106323,97.8375854492,91.8190612793,91.4674224854,92.5352020264,90.2662506104,92.5603485107,92.0902023315,92.3078994751,92.4804229736,91.5758361816,97.9769973755,90.8376998901,92.111000061,92.1415939331,95.0239715576,95.864402771,94.1754379272,3087,94.08
100.659141541,106.029251099,104.860786438,102.819564819,105.080101013,102.103355408,105.373039246,102.942054749,104.410682678,102.211357117,102.448371887,101.734909058,102.034622192,101.008071899,108.805397034,108.562332153,105.755599976,105.532363892,101.436012268,101.020950317,101.538162231,103.493202209,105.176818848,103.97277832,103.290657043,103.271682739,108.258201599,102.192100525,99.3657531738,1715,98.93
92.6164321899,89.1535263062,91.9811782837,97.1770706177,86.9909515381,98.2093887329,92.5899810791,93.5221099854,92.8759307861,95.2083282471,92.6916275024,90.8490066528,94.3370742798,94.5361862183,88.7272415161,95.1753845215,87.5773773193,97.4668731689,94.9933700562,92.3300018311,91.844329834,91.0508651733,92.4254760742,90.0240402222,93.2490844727,92.9022674561,94.0544433594,95.855506897,94.2327575684,5216,104.41
114.827148438,117.115608215,118.723419189,114.781494141,112.982086182,119.848335266,109.988388062,115.66343689,111.982444763,109.339424133,115.435325623,124.02204895,112.277107239,107.665084839,122.52633667,117.888664246,105.735443115,113.634658813,111.131965637,113.596717834,113.174461365,111.171447754,115.969329834,113.956634521,112.363014221,119.370880127,116.56313324,107.261878967,118.23690033,4810,109.62
90.6639099121,106.463760376,98.5969467163,101.658508301,93.4890518188,99.6946182251,103.989570618,99.6560897827,96.3053207397,95.2373504639,97.0493011475,96.2688674927,98.6812133789,105.294288635,106.315605164,96.924697876,94.9697494507,97.2661056519,101.426795959,98.3015899658,105.884170532,105.814834595,96.2580108643,115.21522522,94.4525299072,100.731178284,98.5896682739,94.6375198364,94.4636764526,6888,89.8
76.7751617432,79.0064315796,82.73828125,79.8876647949,78.5089035034,76.3390350342,81.0870666504,79.7887496948,78.9074478149,77.1647567749,80.9079437256,77.3725967407,75.8189926147,80.3574829102,82.3101654053,79.8322677612,79.4508743286,79.0856704712,80.0718383789,76.1185913086,79.8446807861,77.4957275391,81.1090927124,77.8998947144,78.1540145874,81.3447799683,79.5862884521,80.4635696411,82.6008071899,4239,76.78
104.276939392,96.5625686646,94.9373321533,104.006111145,99.6209869385,102.265167236,96.6090774536,98.0005874634,100.779518127,96.4944229126,98.2932128906,98.548500061,102.120346069,96.4763031006,104.703536987,97.2819595337,99.9804840088,103.531524658,101.916763306,100.92401123,102.138137817,102.2317276,100.653015137,102.728012085,104.359352112,102.491333008,100.27204895,102.486885071,103.124336243,8069,106.4
104.867347717,115.760063171,103.590118408,105.640480042,110.298713684,106.954750061,109.233299255,109.611953735,106.696266174,104.015663147,120.167549133,108.116394043,99.6582565308,106.955574036,112.298225403,107.203163147,105.442436218,116.308097839,103.722541809,109.317207336,107.672103882,111.540992737,104.168296814,108.47492218,108.240768433,109.285133362,108.760177612,102.593772888,100.984489441,2294,99.66
112.926757812,110.986381531,106.654815674,105.57598877,111.533416748,110.779083252,108.492172241,106.0105896,114.070610046,112.986503601,106.776153564,117.49066925,107.557876587,107.600616455,110.460350037,113.151626587,111.052642822,113.336647034,105.297363281,111.602386475,114.602897644,111.79586792,114.584686279,114.988960266,102.860748291,111.240432739,106.489173889,104.819717407,115.210334778,8340,101.86
112.66494751,109.949134827,106.882705688,108.376670837,114.053863525,114.134368896,112.959594727,109.979820251,119.235946655,114.070449829,113.620155334,115.315109253,110.182037354,111.120201111,119.281570435,111.031036377,106.039840698,115.144088745,116.182014465,111.133369446,114.388069153,115.539337158,108.910369873,107.407897949,104.112701416,119.15184021,112.019615173,107.754203796,106.914962769,1287,129.19
95.3609924316,94.001663208,93.818145752,95.628868103,93.5502243042,89.4077224731,92.1456680298,97.499786377,93.6588592529,89.1433029175,104.748313904,94.7903900146,95.1457061768,92.9936599731,97.5669555664,96.3028182983,99.6659393311,95.5698928833,92.4450759888,98.0572967529,94.2696456909,88.2917861938,95.2107925415,91.2450942993,93.8439559937,94.2081451416,89.5201187134,93.6838150024,90.8616333008,1591,97.02
91.8498153687,93.6547851562,96.0608215332,91.2635269165,93.3649520874,87.4783630371,91.6457824707,90.2142562866,95.2680282593,91.1291046143,91.08984375,93.1604385376,92.9018325806,86.847442627,93.4940567017,93.967918396,88.2488937378,93.9134902954,96.7357711792,92.7861404419,93.9257354736,86.1513824463,95.0257415771,94.2359008789,93.9348526001,91.9794006348,93.1767730713,97.0807952881,94.4336700439,4225,89.91
89.3623199463,88.8812866211,90.4247741699,94.7023391724,93.7678833008,95.3516616821,89.2121276855,85.363319397,90.2031707764,91.6284179688,93.129447937,91.53881073,87.4798355103,91.6938781738,90.6850357056,90.3264923096,94.6667861938,93.2729721069,92.735206604,92.5205459595,89.6106567383,93.3658599854,91.6154937744,92.6066207886,94.3537216187,93.0046691895,91.8527450562,90.2468643188,104.769256592,2618,95.33
95.9706268311,99.0875396729,97.4505081177,94.0931549072,97.6575469971,98.317855835,106.218429565,95.0587310791,99.3991775513,96.2345199585,96.3447799683,98.977722168,93.9710083008,92.7683944702,96.1069412231,95.8046417236,91.0665435791,98.4053649902,105.564079285,88.9067077637,98.8857116699,99.2684860229,92.6095733643,94.3047561646,91.1503982544,95.6237716675,95.7556838989,92.288734436,96.8055648804,785,97.69
104.970664978,109.63886261,113.255325317,118.547569275,117.164077759,113.49622345,106.758468628,106.128128052,116.93927002,109.733283997,107.895385742,113.235588074,113.260780334,103.776878357,107.666015625,115.108306885,108.222976685,113.940467834,113.085197449,108.369537354,110.621604919,110.618484497,110.961265564,110.728507996,105.891616821,113.103744507,106.925331116,110.74395752,113.45501709,2803,106.84
101.774002075,103.892463684,99.8627929688,104.42855835,105.834793091,105.605827332,101.317596436,107.138824463,106.795562744,107.193244934,103.397018433,98.2569656372,105.60093689,98.5562438965,105.3022995,107.669387817,108.471221924,108.924789429,104.762260437,112.927085876,103.999900818,105.419960022,104.66343689,104.176246643,105.567131042,106.830757141,107.812042236,101.166938782,107.348381042,5423,99.14
107.023078918,105.193252563,114.056587219,105.407836914,106.814117432,106.546615601,102.488327026,112.268386841,107.051071167,109.22819519,105.641433716,108.742927551,108.49356842,102.62286377,104.698753357,109.961738586,106.307151794,115.329421997,105.924858093,114.641792297,106.347732544,109.892333984,106.336021423,110.669876099,109.326301575,108.609657288,109.9347229,109.073776245,103.335754395,2125,99.58
91.6832351685,86.6535339355,89.635383606,92.4996643066,92.0950088501,89.7624359131,90.2788009644,89.9817504883,96.2241897583,89.9514160156,89.5406417847,94.139175415,88.5983734131,94.4088821411,93.9065170288,91.3796157837,91.9670944214,92.6828384399,89.1976394653,89.2086257935,92.3619689941,90.0381164551,92.1067504883,95.2050170898,92.2446899414,88.8822784424,88.1838531494,86.931060791,93.7887802124,6876,92.44
94.7022399902,91.0465927124,95.0600128174,92.1609649658,91.7563781738,95.7519683838,100.763793945,95.9342498779,100.27960968,96.5685272217,93.6545791626,90.6654052734,96.5660018921,94.2094573975,90.8731994629,90.7426071167,96.1317977905,91.6517791748,93.3756561279,99.5093612671,97.7703933716,97.4546508789,98.5272445679,93.4653625488,94.7539672852,95.4834594727,96.9160995483,93.8300476074,98.4932250977,5325,88.06
100.410728455,100.452095032,99.8480529785,103.649597168,93.6467208862,102.528564453,104.73891449,99.1201324463,98.7982330322,95.5794906616,105.761962891,100.881835938,103.964233398,101.780471802,102.384819031,108.203941345,94.4488067627,105.095573425,102.081718445,103.198509216,103.50579071,107.456504822,103.595336914,98.4227523804,102.214912415,105.594894409,107.319129944,99.5250930786,100.440109253,5669,116.46
105.315132141,104.195526123,103.943710327,104.510040283,102.629562378,100.479400635,99.466758728,95.4391021729,94.7864608765,105.335090637,102.01675415,106.740104675,98.0197296143,102.701469421,111.380584717,103.257446289,102.145210266,100.32119751,97.951751709,103.715965271,99.8112869263,96.811958313,100.773193359,102.883850098,103.735900879,105.524902344,99.1863098145,100.724136353,102.817596436,2569,98.39
77.5311126709,75.9975204468,82.8341217041,78.1447906494,76.2128295898,77.4796600342,84.4658889771,80.7235641479,74.1601791382,75.537399292,80.9752426147,79.2961120605,73.780090332,82.2906799316,81.782409668,75.3537063599,76.8490066528,78.8115310669,78.8841629028,74.9802932739,78.5426483154,75.5373077393,74.4614868164,76.9031066895,76.4256515503,77.9192352295,77.8603515625,81.360458374,81.7182693481,8306,82.79
90.9717330933,88.2924957275,91.6538009644,93.0755233765,89.6592559814,91.8486557007,90.9579162598,87.3015289307,91.5039520264,92.7772598267,93.6942062378,88.649230957,90.8409576416,91.2089004517,90.7363815308,93.6139068604,93.2869338989,93.3021316528,90.8069381714,89.3779602051,89.8195495605,89.3635635376,90.4339599609,96.149887085,90.7765045166,98.4237213135,101.767204285,87.28490448,92.5468139648,8262,93.5
93.7860641479,96.7210845947,93.5459823608,92.0831375122,89.9031219482,92.9622650146,94.0343322754,91.8087997437,94.4401168823,91.2508087158,91.1452255249,92.5307846069,92.1515045166,88.7176513672,95.2457122803,94.491859436,88.3960113525,95.0118789673,97.439994812,93.7368774414,94.1232299805,94.55027771,91.9980239868,93.5675430298,93.6745071411,97.0807113647,95.0440444946,89.1600112915,91.5086898804,3281,109.71
97.0947875977,101.810546875,93.3230209351,96.3836135864,95.9282226562,99.1751556396,96.035369873,100.492591858,104.05620575,92.988899231,102.208717346,98.6313858032,97.0422210693,98.0628585815,96.2672653198,94.9077758789,98.3646697998,95.6933746338,94.6901245117,92.5316467285,96.2362670898,100.650382996,100.593582153,91.1332473755,93.0507888794,101.497642517,100.92263031,93.6159439087,95.946144104,5087,91.59
96.6473007202,96.9624328613,93.2898406982,95.0415649414,100.386054993,95.4658355713,91.1099472046,98.0578918457,97.1444015503,105.405921936,94.2533035278,94.9738388062,93.51121521,90.8719329834,97.6990966797,93.2491912842,101.777801514,94.2100906372,96.2718582153,90.1619186401,97.6728744507,94.3085098267,96.5498809814,93.0719833374,94.4625854492,98.0806884766,97.1643829346,92.446647644,93.8337478638,2912,87.99
102.896522522,107.607765198,107.441802979,104.542793274,104.234382629,101.973609924,106.345703125,102.934394836,107.76688385,112.529167175,108.090858459,108.478416443,101.602485657,101.545860291,105.807189941,105.838790894,100.038078308,102.614471436,108.556976318,102.864433289,100.38684082,105.179946899,102.93762207,101.158248901,101.695259094,106.987190247,105.695549011,99.963684082,101.795295715,5195,108.12
111.632492065,112.734565735,113.949966431,108.585868835,111.625457764,109.232749939,108.929153442,103.274726868,110.57219696,113.004486084,115.32963562,112.402328491,104.335014343,109.218643188,112.828208923,116.238983154,108.545310974,114.60748291,113.868453979,111.381958008,109.303512573,114.435928345,109.13886261,108.015541077,108.399742126,110.021270752,107.079071045,107.129211426,110.787818909,8008,103.62
97.0243301392,93.8079376221,92.0808334351,93.6228790283,92.1150131226,94.2894744873,93.0366134644,92.6977233887,99.1735610962,93.2952804565,95.2251739502,93.7585830688,95.6427078247,87.8418960571,92.4077682495,96.3379440308,93.932144165,93.4704055786,94.2702941895,89.8266525269,99.1011657715,93.71900177,99.7087631226,93.3179473877,97.1039428711,98.8014144897,95.2288131714,96.1131973267,93.3005523682,5759,97.84
109.33392334,117.720046997,100.62247467,112.165550232,98.8101806641,106.62878418,112.732635498,108.846298218,106.428237915,109.405410767,104.814880371,108.697372437,108.562004089,114.114891052,114.733024597,101.677467346,99.9900054932,107.270675659,114.264175415,96.1836700439,111.281669617,108.63142395,113.668922424,115.049797058,109.223800659,115.819549561,113.515838623,108.661560059,107.506843567,7857,105.43
112.066696167,115.240936279,106.35256958,113.387771606,107.224967957,116.590866089,110.388137817,108.322151184,113.773323059,107.149330139,108.164337158,111.289245605,108.988754272,109.731468201,109.811958313,112.744026184,113.151046753,108.450790405,114.021217346,102.894195557,108.697418213,112.681915283,114.65398407,116.759689331,107.068763733,116.52016449,107.719856262,107.127243042,111.41558075,1834,112.09
90.5522994995,91.8270492554,99.5759429932,95.0265426636,93.5657043457,95.4710083008,96.3626861572,91.5851287842,91.7964324951,95.2876586914,95.7256546021,91.3678283691,97.1058425903,90.4960098267,89.3168563843,90.8193817139,92.361038208,94.0948638916,92.4098510742,87.9170532227,94.8589477539,90.9717941284,96.1243286133,95.4294204712,100.073173523,91.0121307373,94.7612609863,94.568145752,91.7212982178,4565,90.36
120.028587341,114.731170654,114.531944275,116.407699585,117.520011902,117.29649353,117.417236328,114.596061707,115.373687744,114.207756042,112.638587952,117.022842407,117.468444824,120.057472229,116.868659973,116.615524292,116.493293762,119.265762329,114.087547302,109.99911499,114.442390442,110.580947876,122.547775269,117.421638489,116.027374268,115.95765686,118.459701538,114.471420288,116.964660645,6218,122.87
102.198379517,105.699295044,108.090942383,114.871116638,103.597953796,102.206466675,108.526329041,106.38368988,105.744850159,105.707221985,107.152412415,101.945671082,106.766181946,107.258491516,103.026939392,104.118041992,102.133934021,108.947914124,100.523506165,110.078987122,109.15460968,110.901573181,103.720100403,104.925048828,108.55242157,111.469665527,103.368125916,101.645195007,108.97769165,1227,99.46
87.9548339844,92.2422790527,90.3411026001,90.1721572876,92.3095703125,91.6824035645,92.8343887329,93.4789810181,94.5478363037,93.5286254883,93.3122406006,94.160697937,90.6129684448,93.3645477295,90.8352890015,88.5457687378,96.3568496704,92.2546920776,88.5051727295,89.5081176758,91.1039123535,93.0125198364,95.4191589355,92.707824707,88.1163635254,93.870552063,89.8137741089,90.8791809082,92.4048919678,6451,95.28
104.75958252,106.855873108,106.334480286,103.74772644,106.28692627,105.807090759,108.963035583,107.225372314,107.960754395,108.006141663,109.181930542,107.037033081,105.847854614,100.972129822,105.624282837,108.933601379,101.830429077,108.48991394,104.725158691,103.978004456,105.884147644,111.577018738,105.591445923,112.649169922,104.391639709,106.668273926,107.045829773,102.270202637,106.7758255,2416,104.18
94.8181152344,93.9035263062,91.4640579224,92.1123199463,88.0678863525,96.0300369263,95.8492965698,100.797973633,96.9097747803,95.8261413574,94.4990539551,92.9802322388,91.7788085938,92.590461731,90.4496994019,92.6645736694,92.9439849854,94.8789596558,95.6556777954,98.944229126,94.6233215332,90.0148925781,95.4105834961,92.4664916992,92.5443954468,97.5846176147,94.2798080444,93.3546524048,103.131416321,4127,95.67
86.5782394409,92.8438491821,92.7075042725,92.7152786255,93.7680587769,90.1525421143,91.9777145386,90.1876831055,90.3951873779,93.0334701538,89.9484024048,88.3235778809,89.1562423706,93.6242446899,97.9164352417,89.3371200562,92.8084640503,88.0763626099,88.4954376221,93.3998184204,92.5149078369,91.5706481934,86.5856323242,90.0774536133,95.1467895508,92.0378036499,92.2930526733,95.3232269287,95.3343734741,7087,100.1
118.959732056,118.912612915,109.95916748,116.335212708,117.4529953,114.437065125,111.654449463,112.669670105,118.032737732,116.702850342,123.079933167,122.247695923,119.380561829,122.62727356,119.426292419,129.348724365,119.427841187,109.563140869,115.287887573,114.909393311,120.087608337,116.840515137,116.540145874,124.421836853,115.448768616,123.808113098,115.328010559,120.361595154,116.459754944,376,110.55
93.0452728271,93.3094863892,88.3107757568,92.8983764648,89.2522201538,95.7911453247,91.9465484619,91.8929824829,94.0918884277,94.1552352905,91.0073623657,88.0288391113,99.9632492065,94.3140411377,90.6458511353,91.7425842285,94.6703948975,91.6753387451,90.1380081177,88.271987915,89.4527435303,94.9986114502,94.8084106445,100.023017883,95.3485946655,106.09135437,100.523704529,95.6709747314,95.7472305298,2528,87.05
113.373664856,107.923248291,109.079605103,107.481788635,118.719612122,109.896194458,109.602416992,112.697494507,121.932846069,110.984725952,109.695884705,111.125541687,115.37197876,111.805496216,112.681335449,109.187782288,108.792053223,112.576705933,111.821533203,114.243797302,104.396949768,107.672836304,108.380783081,110.858215332,106.557281494,114.280715942,117.913406372,109.06137085,108.276046753,1086,106.81
89.9029312134,95.6070861816,98.1434020996,90.9061355591,92.5654067993,92.4513473511,91.6354293823,93.7251281738,98.1228866577,92.7603530884,99.4419403076,91.1561431885,93.5647964478,95.1184005737,93.6660842896,96.2496337891,95.0205917358,98.3168563843,94.9512557983,88.2259140015,94.5036392212,90.7657165527,92.3640823364,92.1699905396,97.9158325195,95.7593765259,94.740852356,86.3840866089,98.5495452881,1881,98.17
101.872131348,97.49974823,97.3246841431,98.0503005981,95.0057067871,100.320098877,95.434715271,92.5171279907,99.8346557617,97.992477417,101.788375854,98.522895813,99.4335098267,96.9093017578,91.3453292847,97.2359619141,95.7957687378,94.562286377,92.5594024658,97.0022659302,95.2806549072,89.7651290894,97.521194458,102.462142944,97.6978149414,96.4755859375,95.8287963867,97.2035827637,98.2721633911,4999,85.72
