keras_r20,keras_r21,keras_r22,keras_r23,keras_r24,keras_r25,keras_r26,keras_r27,keras_r28,keras_r29,ID,y
93.0436477661,95.8206176758,92.3221893311,92.5293197632,94.3941268921,92.3790283203,96.5497131348,91.9098739624,92.282989502,96.1953887939,3613,114.66
79.0442886353,78.3974914551,78.5451812744,78.0780334473,78.6844406128,79.6870651245,78.1767578125,78.8414382935,78.246887207,79.1082687378,6318,75.59
112.696357727,112.420974731,111.762283325,112.488594055,112.60043335,111.51725769,111.711929321,112.250152588,112.06993866,112.663116455,4198,109.39
96.0976257324,95.6357803345,96.2385482788,97.0484848022,96.7246322632,93.9584350586,97.2670669556,96.5168838501,96.6079025269,93.5634613037,1525,101.49
92.8254394531,92.7118148804,93.1234817505,92.4843597412,92.1593933105,92.4307098389,92.5979995728,91.9472808838,93.4800415039,92.7794494629,582,95.99
112.694412231,112.342658997,112.12828064,112.62361908,112.118812561,112.335357666,112.416519165,112.243934631,112.08657074,112.112419128,5764,108.72
94.48853302,94.2371063232,97.0479507446,94.0880355835,91.9242095947,95.0675430298,91.5489273071,92.6552124023,92.7537460327,93.1345596313,5381,112.95
94.8604354858,92.6350479126,91.47290802,94.6232910156,92.0547409058,90.3337249756,93.1139144897,91.9049606323,92.1236953735,92.7900848389,5274,94.52
102.660949707,101.905021667,102.36995697,103.253013611,101.814834595,102.891334534,107.356033325,102.472518921,101.929168701,101.942871094,7066,100.1
97.0096359253,91.7860946655,94.2062225342,93.1346435547,91.8914108276,92.6133880615,95.3426513672,92.7002944946,94.5738143921,96.1355895996,1521,93.11
112.622657776,112.552490234,112.123985291,112.135116577,112.115867615,112.339546204,111.710121155,112.251197815,112.708007812,112.112083435,4779,105.83
112.34311676,112.346817017,112.70552063,112.493614197,112.588142395,112.138267517,111.713272095,112.065193176,112.608695984,112.365898132,743,109.16
112.344352722,112.370933533,112.073234558,112.266082764,109.266120911,112.353050232,111.715621948,112.35345459,112.595649719,112.659057617,3963,115.39
92.5714263916,96.1723556519,97.2092590332,93.431312561,95.5425949097,92.6418228149,96.6771316528,92.6157531738,96.9808807373,92.7868881226,3623,92.47
97.9699172974,94.8755340576,97.1209869385,95.3270721436,92.8158035278,91.6874313354,92.5926971436,92.6203765869,98.3583984375,97.7821884155,729,84.65
92.5454025269,92.6780090332,91.9659805298,96.9022293091,92.4349975586,94.4136657715,92.4308776855,91.9056777954,95.1154937744,96.0410842896,442,90.54
92.5398864746,91.8022994995,93.0768508911,92.3488388062,92.825668335,90.9579772949,93.215461731,92.6310806274,92.1796035767,93.1306228638,4563,134.08
93.5267486572,95.6243286133,96.1327819824,95.9004974365,93.3688735962,94.6610870361,97.135093689,95.0272216797,95.2373657227,92.9641189575,6027,104.33
78.5315551758,78.3263549805,78.8293838501,78.292755127,78.6809539795,78.9041900635,78.1426696777,79.0097808838,81.0082015991,78.3338012695,6575,79.81
97.2275848389,92.3138198853,95.6206054688,93.176109314,92.9702835083,92.6048278809,91.4243164062,92.9951171875,92.8315353394,92.9286117554,6475,104.79
92.6218795776,94.6678848267,95.5173416138,91.9958343506,92.5182495117,92.2336349487,92.342300415,92.6439437866,92.29712677,96.0120620728,1476,93.26
112.696273804,111.921195984,112.422874451,112.112701416,112.596321106,112.299736023,112.55632782,112.244743347,111.555465698,112.365913391,1436,117.08
112.622459412,112.373268127,112.43699646,112.624649048,112.508644104,112.301239014,111.715881348,112.065841675,111.556213379,112.662513733,2227,121.03
95.5017318726,92.647277832,91.3186721802,92.834312439,96.7553329468,92.6030807495,94.9916687012,92.0905838013,95.0854644775,92.5578536987,6421,90.08
95.4467468262,92.8821334839,92.6076583862,92.4590835571,92.4231262207,90.3122787476,92.6377410889,91.9045944214,94.2924346924,92.7810668945,363,90.03
92.7612686157,93.3059158325,93.3004684448,93.6531677246,96.6444854736,92.8000335693,95.6806259155,96.8061981201,96.0101776123,96.0490036011,2448,112.97
112.343566895,112.487609863,112.433082581,112.622901917,110.809661865,112.351135254,111.984611511,112.064674377,112.060714722,112.358451843,6412,107.44
92.7248306274,91.829536438,91.9745941162,92.3951721191,92.8649520874,92.186164856,92.2071380615,91.9906845093,92.4358139038,92.8000411987,4104,102.93
92.3739624023,92.4517669678,92.7382354736,92.3360366821,92.5477981567,92.8237304688,92.8200454712,92.0825042725,93.2845458984,93.006652832,6020,99.68
112.344085693,111.867927551,112.434654236,112.105995178,111.970176697,112.352127075,111.712791443,112.346351624,112.47454071,112.324729919,6215,132.7
93.3176574707,93.6175308228,102.000320435,97.3852310181,93.394241333,95.1764373779,93.7923355103,96.4193267822,95.3333892822,101.302062988,5073,93.7
102.111579895,101.995903015,103.122924805,102.707000732,102.524719238,106.77154541,103.719314575,102.595558167,101.155471802,103.332389832,6102,99.69
102.612998962,102.21950531,102.340759277,102.079437256,101.700080872,102.032661438,103.293060303,101.999526978,101.913619995,102.80015564,1721,104.2
93.3455505371,92.3379135132,93.1063995361,92.8453292847,92.8548965454,92.8574371338,92.4133071899,92.6382446289,92.439491272,92.5241165161,173,94.27
93.1209716797,92.463104248,96.8999786377,93.4431915283,95.7580871582,92.8019790649,97.0609054565,93.1496887207,96.1433029175,92.9048690796,857,93.14
93.1081466675,92.4450912476,92.9007110596,92.3507995605,92.447013855,92.1843566895,90.8882217407,92.6445617676,92.4320449829,91.8311767578,6270,88.73
112.694091797,111.091163635,112.115325928,110.858604431,112.230918884,112.277153015,112.551872253,111.448432922,111.535125732,112.367675781,8008,103.62
96.6148681641,94.0215988159,96.6503143311,92.6190032959,94.7638320923,94.9994125366,92.5952682495,92.6647567749,92.2371749878,92.7747192383,4932,90.17
112.6223526,112.420654297,112.127456665,112.128669739,112.227455139,112.357170105,111.692276001,112.063240051,112.067253113,112.013771057,5461,128.58
92.4599456787,92.3321533203,92.8663330078,92.8632125854,92.4121551514,92.650062561,93.2707443237,92.1008758545,92.4925613403,92.8863220215,5947,88.91
112.023834229,111.969184875,112.292549133,112.28478241,112.598396301,112.299705505,112.154220581,111.98878479,112.624191284,112.110031128,2113,106.39
96.8542404175,91.7053451538,95.5865402222,92.3982162476,93.7938156128,93.6855697632,94.3822784424,92.8372573853,96.1997833252,93.129486084,5759,97.84
112.343948364,112.370384216,112.702392578,112.471740723,112.123603821,112.132133484,111.708122253,112.063194275,112.06401825,112.660736084,6435,110.32
102.147003174,105.170722961,102.056091309,103.226799011,101.973579407,102.480247498,102.522377014,102.618431091,102.296798706,101.807144165,177,98.84
97.0825881958,92.3325119019,93.9869842529,96.2720184326,92.5112915039,101.708000183,98.9737319946,92.6228713989,95.0253067017,97.0094909668,5515,91.51
112.113555908,112.35774231,112.103782654,112.623069763,112.459663391,111.521209717,112.418205261,112.24420929,112.096466064,112.10987854,5800,112.67
92.5128097534,92.7159881592,93.3992004395,91.9403762817,92.8592147827,92.7325439453,93.5125350952,92.7007598877,94.3898162842,93.3172988892,3721,93.78
92.5022583008,91.9551010132,92.8006744385,92.8586807251,92.4255065918,89.9217987061,92.5894546509,91.903793335,90.9169235229,92.7793045044,7903,92.43
102.170188904,102.544532776,101.507919312,102.084640503,101.860610962,101.478302002,102.11895752,101.93183136,102.2240448,101.789718628,544,99.56
92.4946594238,92.6641159058,95.2646560669,92.7272796631,92.0429840088,92.3321609497,95.4732513428,92.6379013062,95.0656661987,92.8695220947,3412,92.58
92.5718078613,91.7044296265,92.6798553467,92.8227920532,92.470993042,94.1323013306,92.5846862793,92.220413208,92.5003204346,91.8544082642,7734,88.58
93.2984085083,92.7816467285,91.4671630859,92.8279266357,96.3215560913,95.1054840088,96.5842590332,92.688621521,93.5722961426,93.1876907349,7481,89.79
92.3796463013,92.2879104614,92.6924209595,91.7912902832,93.5116348267,92.6149291992,92.2504272461,92.062171936,92.1532363892,92.782371521,6290,90.38
92.8258209229,92.7084121704,92.9099731445,91.9205474854,91.8423843384,92.7813949585,92.0228729248,92.6446838379,92.684211731,92.521270752,3767,87.4
112.102355957,111.973808289,112.436653137,112.13419342,112.45375824,112.35773468,112.162506104,112.064987183,112.607063293,112.389427185,2281,107.28
112.344772339,112.370109558,112.702819824,112.62197113,112.233467102,111.522377014,112.408546448,112.244522095,112.739044189,112.108932495,4528,113.98
97.3768005371,96.7557907104,96.5238494873,96.4803390503,97.3051376343,96.3727874756,96.7201309204,94.9760437012,96.6326065063,93.1482925415,4081,96.41
112.34223938,112.355178833,112.070610046,111.47908783,112.126480103,112.338340759,112.412780762,112.244758606,111.446731567,112.650001526,4523,121.1
93.1155014038,92.44947052,91.9662094116,91.7601623535,91.9485626221,92.6040115356,92.3455276489,92.0047302246,91.5565338135,92.5203704834,6135,87.22
112.015205383,112.345359802,112.703697205,112.478858948,111.740325928,112.338607788,112.466316223,112.064331055,108.910446167,112.389297485,4550,108.72
103.668121338,102.264305115,102.420791626,103.309783936,104.87184906,102.01688385,100.918144226,102.717559814,103.820518494,106.705947876,7333,107.63
93.1545181274,92.6519165039,95.3494873047,92.7740020752,96.6824493408,98.070892334,92.7578277588,92.7130203247,98.9298400879,93.3647537231,3841,88.14
112.327362061,112.547737122,103.455032349,112.278434753,112.57484436,106.797561646,111.711921692,112.251296997,109.600990295,107.605026245,8406,108.77
112.115402222,112.420883179,112.70526123,112.133636475,112.23348999,112.358322144,112.550285339,112.350479126,111.552719116,112.014091492,4369,117.49
97.5190200806,92.6713027954,93.02684021,96.517326355,97.5160369873,96.759727478,97.046913147,96.7029724121,93.6510391235,92.9404754639,6691,98.33
112.343467712,112.418113708,112.111885071,112.134712219,112.367553711,112.350112915,112.41494751,111.9895401,112.608642578,112.103004456,7900,108.9
112.620223999,111.737159729,112.291145325,112.291946411,110.63469696,112.336341858,111.973373413,111.990180969,111.554756165,112.144355774,6520,107.05
112.690185547,112.41570282,111.975875854,112.274124146,111.693885803,112.355895996,112.414604187,112.060569763,112.731086731,112.658653259,801,108.93
112.599617004,112.346717834,112.294120789,112.468681335,112.011184692,111.514984131,111.715789795,111.851409912,111.556686401,112.011512756,5941,110.54
112.69568634,112.330543518,112.121231079,112.491744995,112.123245239,112.339187622,111.986068726,112.25151825,112.098320007,112.389579773,3310,108.51
112.545860291,112.525260925,112.676376343,111.975372314,112.119743347,112.299812317,112.16280365,111.990432739,112.059692383,112.007011414,8273,104.26
92.7492370605,94.8075714111,93.068145752,92.768951416,92.6627807617,93.6507110596,92.587638855,92.6708526611,94.6075057983,93.1340789795,7411,84.48
101.929969788,103.019622803,101.475463867,102.648620605,102.470046997,102.632568359,101.758033752,101.900680542,102.042556763,102.345115662,6090,96.92
97.1389083862,96.9802017212,92.6340942383,93.2710723877,92.5272521973,97.7526321411,96.953742981,96.2931365967,94.8554840088,92.610824585,5388,116.07
112.108558655,112.372505188,112.124679565,112.279792786,112.488418579,112.300483704,111.972290039,112.244384766,112.604927063,112.321846008,74,106.87
111.146743774,111.388671875,112.344612122,112.46396637,111.640357971,112.107208252,110.394805908,112.06464386,106.791259766,112.087776184,6901,107.48
92.7824401855,92.7021331787,91.9722061157,91.8684158325,92.7820587158,92.1859436035,92.6839599609,91.9103317261,92.1870956421,93.1300811768,405,87.65
102.790351868,102.077980042,101.511535645,102.969825745,102.520828247,102.678970337,102.297058105,102.072792053,101.968460083,102.460678101,237,100.38
112.343276978,112.418640137,112.258224487,112.28981781,112.598426819,112.13999939,111.710227966,112.064552307,112.496627808,112.011825562,6086,106.04
92.5365219116,92.4703369141,93.7472915649,96.4724502563,95.9473419189,94.924911499,93.7635498047,92.7468643188,92.277053833,92.8931045532,1205,114.85
94.2196121216,93.5708312988,91.9670944214,93.6511459351,94.051612854,92.5411300659,92.0265808105,95.9714813232,95.1549758911,91.8548049927,950,91.99
112.622161865,111.923248291,112.115905762,112.595207214,112.578147888,112.356117249,111.978614807,112.242767334,112.097198486,112.36391449,372,116.65
96.8063583374,94.6457595825,95.3484802246,92.3240661621,91.9152832031,92.2515258789,93.7968597412,93.1423187256,96.6179962158,92.7877960205,1628,121.18
112.343841553,111.859382629,112.132141113,112.62335968,112.122016907,112.140892029,111.710159302,112.351158142,112.377807617,111.994369507,151,107.72
112.341659546,111.351295471,112.127456665,112.619255066,112.221099854,112.256866455,111.71231842,112.350868225,112.089813232,112.351905823,2833,108.3
112.32862854,112.341667175,112.704284668,112.135360718,112.514205933,111.521530151,111.97693634,112.337661743,111.555541992,112.110710144,7781,111.34
112.696151733,112.425178528,112.436248779,112.261802673,112.445854187,112.299972534,112.158996582,112.061706543,111.556594849,112.358528137,7612,108.41
93.1156082153,92.4705429077,91.9690704346,92.4831695557,92.875579834,93.0170440674,91.0080337524,92.6235046387,92.4548492432,92.7866744995,4307,89.19
97.1522293091,93.3160400391,98.241317749,97.335144043,96.163772583,96.9353027344,96.6688766479,96.7811889648,94.9102249146,96.5913543701,4879,90.16
112.622329712,112.542160034,112.707038879,112.133140564,112.584197998,112.300308228,111.982246399,112.348091125,112.566841125,112.378135681,5739,105.67
92.8360366821,92.9660720825,92.9112548828,92.3373031616,96.5083770752,93.3290634155,94.6676635742,92.3348999023,92.4401168823,93.734992981,661,93.08
92.8622131348,92.5134887695,91.813621521,92.545249939,92.4190750122,92.767616272,93.527671814,91.9906082153,92.5464935303,94.4744186401,7077,98.25
92.7435302734,92.6801147461,93.2849502563,92.8245162964,92.883102417,94.8576583862,92.6117477417,92.6226501465,92.4444961548,92.7893753052,152,90.87
93.1175384521,92.3283538818,91.9628753662,92.4602279663,92.5140991211,92.1842575073,91.1617736816,92.6458892822,92.4992218018,92.51927948,7278,88.34
112.344055176,112.545799255,112.124145508,112.237045288,112.483375549,112.339324951,112.409469604,112.065315247,111.552467346,112.384155273,8045,111.58
96.976776123,93.8662109375,95.6700363159,94.6640396118,97.163520813,96.3994674683,95.3073959351,96.3336029053,95.1845245361,96.15599823,2641,91.67
92.8502731323,92.4613113403,93.9022216797,96.0288391113,93.2475585938,92.9839172363,93.8171768188,95.5866546631,92.2983016968,93.1717300415,4712,90.69
112.112243652,112.544548035,112.706108093,112.281715393,112.438163757,112.338668823,112.152458191,111.98966217,111.554321289,112.660736084,5267,109.49
92.4100799561,94.8792724609,93.2576065063,92.8156433105,92.5573654175,94.9242172241,92.5277404785,96.1948013306,92.4430923462,92.643371582,1778,90.22
92.9163360596,92.4963226318,93.3286743164,92.333732605,92.452041626,92.0783538818,92.8747558594,92.6059646606,92.9646224976,92.7966308594,3852,90.83
112.344055176,112.368621826,112.113166809,112.279380798,112.125778198,112.299987793,112.157531738,112.343727112,112.723022461,112.111183167,1503,117.07
98.2494430542,101.281814575,103.170135498,103.390922546,99.3365020752,103.084648132,106.26600647,106.672645569,103.536193848,102.24848938,3035,105.53
108.602241516,112.199783325,111.12638855,112.443870544,112.126434326,112.140457153,112.379180908,112.355964661,112.603477478,112.655563354,8336,118.81
112.343925476,112.366722107,112.294265747,112.133369446,112.126319885,111.519897461,111.71509552,112.244476318,111.55519104,111.986427307,4071,114.4
112.621650696,112.363822937,112.132339478,112.623512268,112.38394165,112.13848877,112.416931152,112.065368652,112.070892334,112.170730591,6008,106.61
112.344230652,112.307739258,112.435966492,112.280578613,112.117958069,112.357093811,112.55229187,111.988304138,112.597335815,112.112068176,6099,108.14
93.1892318726,92.2800216675,92.8852233887,92.4785614014,92.385093689,92.1831970215,91.8921051025,91.9855194092,91.9789810181,93.1871871948,7407,90.21
92.7519302368,92.3670883179,91.9575119019,92.689666748,92.6074295044,92.5936279297,92.3225708008,91.9833602905,92.4770965576,92.7822341919,268,87.09
102.621208191,102.231277466,102.068992615,102.653663635,102.525001526,102.757583618,101.156417847,102.405761719,102.004470825,101.792991638,5524,98.76
107.317314148,102.220222473,102.458953857,102.139465332,106.07989502,103.903869629,107.365119934,102.009529114,103.620803833,102.654815674,6916,96.26
101.819747925,96.8072357178,97.1668701172,96.5171813965,102.40070343,106.135856628,95.4484786987,99.3843231201,94.4994277954,96.2325668335,4473,89.99
112.342315674,112.34703064,112.435920715,112.135047913,112.232315063,112.298561096,111.983665466,112.253669739,112.607017517,112.364929199,449,128.78
112.694099426,112.347366333,112.1251297,112.622123718,112.1275177,112.339477539,111.715866089,112.244415283,111.55632019,112.663665771,5506,120.81
112.342147827,112.372238159,112.130218506,112.096290588,112.231697083,112.296432495,111.979873657,111.98865509,112.09828949,111.997810364,5893,121.85
93.6971969604,92.7172241211,92.9043884277,92.8549957275,91.9062652588,95.0475997925,92.8316802979,92.6198806763,95.2320251465,92.8709259033,3611,93.15
78.9919586182,78.2717590332,78.5153961182,79.1415405273,78.7247238159,78.4323654175,78.2282180786,77.8567962646,78.557800293,78.4557800293,4857,76.84
92.7937316895,92.7668533325,92.7397079468,91.9163284302,92.3864212036,89.7533874512,92.241027832,91.977973938,92.8218154907,93.1345672607,4438,88.07
92.5394668579,92.456413269,93.0638046265,93.0921630859,92.4607620239,92.1245574951,92.5654754639,92.6178817749,90.9393692017,92.7831039429,862,85.97
112.620025635,112.399307251,112.294883728,112.268722534,112.119636536,112.298561096,112.415046692,111.988105774,111.556365967,112.013549805,5732,114.88
102.002609253,102.140014648,102.439086914,101.995162964,102.343887329,101.79209137,101.148536682,101.903457642,101.95841217,102.438072205,5814,99.16
93.4304122925,96.6361312866,95.8662490845,96.4706954956,101.826278687,96.4899673462,94.4731903076,91.9411239624,92.6501083374,95.0768127441,1785,114.51
78.5315856934,78.1567840576,78.5423126221,78.0792160034,78.7845458984,78.5570068359,78.1979827881,77.783706665,78.5564117432,79.2953338623,4954,76.16
112.344024658,112.369338989,112.694862366,106.899971008,112.226531982,112.334663391,107.240966797,112.280265808,111.282852173,107.359558105,7860,102.29
92.9974746704,93.04737854,96.0650024414,92.4990386963,92.4493103027,92.42137146,95.4418945312,96.3171539307,92.2011947632,92.5783920288,2539,90.44
92.5953445435,92.350151062,93.0706634521,91.8980102539,92.0589370728,92.652130127,92.2720718384,91.8972244263,92.4294052124,92.8205413818,108,85.44
112.069488525,112.390724182,112.098815918,112.270324707,112.121437073,112.294448853,111.71295929,111.990402222,112.096588135,112.109596252,6887,109.66
102.707771301,101.797203064,102.83026123,101.816894531,102.132316589,101.744552612,104.652404785,102.101623535,101.011779785,103.48664856,6309,102.76
92.547164917,92.6438751221,93.017578125,91.7332458496,91.8889770508,92.1805648804,92.3974227905,92.2961654663,92.0467453003,92.772064209,7573,90.18
92.7808837891,92.2414627075,93.0490875244,91.7621383667,92.4486694336,90.1883621216,91.0952987671,91.9535064697,92.4376220703,92.4926300049,8237,88.66
104.740142822,103.797088623,103.911018372,105.463409424,105.253311157,103.883110046,105.736549377,102.056915283,104.419898987,106.219367981,1765,107.24
92.4931564331,92.7681121826,93.1758117676,91.7968673706,91.9189147949,94.7385101318,95.3307266235,92.6414489746,92.3442611694,93.107635498,3168,90.4
92.5534362793,94.7469711304,94.3771514893,94.4216384888,91.8665466309,93.0714416504,94.2209625244,96.6902313232,92.5353240967,93.1374588013,6572,90.7
112.281303406,96.9319763184,97.2291946411,96.2232437134,100.962974548,95.2238464355,100.296569824,92.2503051758,96.4279327393,94.6039810181,3008,92.63
92.7137527466,92.3252105713,92.6594924927,91.3356170654,92.014251709,92.5297546387,92.5961151123,92.6351165771,92.4427490234,92.5396575928,383,87.44
93.1988754272,92.3025741577,94.3097686768,91.777053833,93.9177398682,94.7290649414,96.2486877441,92.6182785034,92.1301727295,93.0179519653,4065,92.08
102.641365051,102.132133484,103.052810669,102.246810913,102.285163879,101.777275085,102.031837463,102.402694702,101.995285034,101.62071228,6302,107.7
92.5271224976,92.7353286743,93.3700180054,92.8854827881,92.4332275391,92.6016311646,92.6168899536,92.6523208618,92.0946044922,93.1317749023,215,96.06
96.7566299438,94.5072555542,95.43359375,96.5332336426,92.513999939,96.2624282837,95.4918670654,96.35962677,95.4491424561,92.8142929077,2372,92.96
96.9517745972,99.1960983276,97.8944854736,92.396522522,96.954208374,94.2176818848,111.681144714,96.5660629272,96.5525894165,103.167427063,5557,88.53
96.8624420166,92.6410217285,91.9844665527,95.2836532593,95.9092025757,92.9592285156,93.3254776001,92.6529006958,92.4468307495,95.0431747437,6103,103.71
102.698310852,101.773429871,102.195861816,103.23400116,101.7448349,103.596946716,104.148513794,104.552398682,105.662918091,103.323013306,644,102.7
112.331192017,108.440559387,109.131698608,104.845817566,102.041572571,111.067054749,103.556747437,103.90814209,105.979606628,112.078605652,2000,107.13
112.343513489,112.437644958,112.122032166,112.622955322,112.580734253,112.357780457,111.711708069,112.338813782,112.730384827,112.658294678,4922,105.81
93.2088165283,92.7313537598,95.2218093872,92.3242721558,92.9669876099,92.2596359253,93.3780593872,92.6444244385,92.0304031372,95.8077316284,6314,91.07
96.696685791,92.7040939331,97.3898391724,94.7497940063,96.2933883667,94.9985580444,92.868637085,92.2565612793,93.8875350952,93.4085769653,3694,88.23
92.4679946899,92.4096450806,93.0460891724,92.0927352905,92.435295105,92.8096237183,91.7873687744,91.9868087769,92.4896774292,91.824760437,5226,89.14
92.5103607178,91.6426696777,92.5161590576,92.4697113037,93.154838562,92.603187561,91.9835128784,92.6345596313,92.0357437134,93.1283950806,7103,87.4
92.5384597778,92.3126068115,93.2226104736,92.251159668,92.4392089844,92.6059951782,92.4478607178,91.9744491577,91.2752761841,92.7899246216,5300,88.12
92.2827529907,92.2542877197,93.0767440796,92.4566726685,92.8501586914,92.8073348999,92.4010009766,91.9873580933,92.1534042358,92.5234146118,2232,100.9
112.696060181,112.372749329,112.435775757,112.287475586,112.23210907,111.517227173,112.15612793,112.244300842,112.071083069,112.387512207,5648,109.21
92.6820144653,92.4303283691,93.0752944946,93.6260604858,92.7675857544,94.0461044312,92.4157485962,92.0636291504,95.0404205322,92.4857330322,1568,95.22
102.273368835,102.23841095,102.354629517,102.329116821,102.037879944,101.36743927,100.957435608,102.107116699,102.822906494,102.923522949,3365,111.68
112.341552734,112.343276978,112.285583496,112.269744873,112.469299316,111.516708374,112.413825989,112.338645935,112.607788086,112.648895264,8344,149.52
109.639335632,108.71118927,112.436485291,112.438835144,112.125175476,110.98979187,111.696289062,112.235145569,111.469856262,108.635673523,2584,134.04
112.343162537,111.958824158,112.270393372,112.293273926,112.598922729,111.518455505,112.553009033,111.984970093,112.675468445,112.388786316,5231,110.58
94.4825134277,95.7291030884,93.1306228638,97.2253341675,97.4734802246,96.8497314453,96.0899810791,92.8988571167,96.825012207,96.0296325684,5084,105.98
93.936958313,95.9653930664,93.4477844238,97.2907714844,97.5081481934,94.6884994507,96.8082199097,96.0165023804,94.1264724731,93.8236236572,5138,98.33
101.719367981,103.14591217,102.328140259,102.305076599,101.9715271,105.189880371,102.052177429,101.231582642,102.66973114,102.359169006,7392,100.39
93.1236114502,92.7097702026,91.6511154175,92.4324035645,92.443069458,90.2612762451,91.0465545654,92.6412734985,92.5335235596,92.5271606445,7957,84.12
98.5734786987,92.7190322876,95.6795730591,95.2304763794,92.096321106,92.8511734009,92.6505508423,91.9029541016,95.9619598389,96.4235305786,5343,93.48
