keras_MAE3_lg_relu1,keras_MAE3_lg_relu2,keras_MAE3_lg_relu3,keras_MAE3_lg_relu4,keras_MAE3_lg_relu5,keras_MAE3_lg_relu6,keras_MAE3_lg_relu7,keras_MAE3_lg_relu8,keras_MAE3_lg_relu9,keras_MAE3_lg_relu10,keras_MAE3_lg_relu11,keras_MAE3_lg_relu12,keras_MAE3_lg_relu13,keras_MAE3_lg_relu14,keras_MAE3_lg_relu15,keras_MAE3_lg_relu16,keras_MAE3_lg_relu17,keras_MAE3_lg_relu18,keras_MAE3_lg_relu19,keras_MAE3_lg_relu21,keras_MAE3_lg_relu22,keras_MAE3_lg_relu23,keras_MAE3_lg_relu24,keras_MAE3_lg_relu25,keras_MAE3_lg_relu26,keras_MAE3_lg_relu27,keras_MAE3_lg_relu28,keras_MAE3_lg_relu29,keras_MAE3_lg_relu30,keras_MAE3_lg_relu31,keras_MAE3_lg_relu32,keras_MAE3_lg_relu33,keras_MAE3_lg_relu34,keras_MAE3_lg_relu35,keras_MAE3_lg_relu36,keras_MAE3_lg_relu37,keras_MAE3_lg_relu38,keras_MAE3_lg_relu39,ID,y
82.2065429688,95.5640563965,97.8199386597,102.054733276,88.3754501343,93.8304290771,97.3968582153,97.850982666,100.952484131,93.6459350586,95.5489501953,88.2535400391,95.7829437256,87.1368560791,91.5940170288,90.1537780762,87.1740264893,90.1341400146,96.0086364746,90.4441757202,91.1448364258,87.5672683716,94.4833221436,87.2247467041,98.9831695557,93.4917907715,92.8849945068,99.4046554565,99.9190063477,92.4038696289,91.9055938721,92.6389007568,99.8401565552,90.2162628174,95.1208114624,97.6170806885,99.8329162598,97.3279571533,49,94.57
112.883987427,111.506233215,106.711647034,111.062332153,112.777381897,114.819824219,123.086166382,116.669281006,117.773300171,115.509712219,118.095588684,116.548164368,110.66885376,107.221481323,110.755401611,121.239173889,109.988555908,114.091201782,116.102737427,120.15562439,112.876358032,105.735298157,107.580490112,121.034614563,107.044509888,112.43775177,112.625679016,112.942749023,111.123260498,112.698722839,103.296028137,110.590087891,107.002441406,111.399406433,121.834320068,120.074714661,125.417297363,122.909797668,50,108.14
110.030471802,116.608192444,118.585830688,111.997642517,113.583877563,116.374389648,115.069389343,116.078453064,112.018119812,114.959777832,114.884765625,116.517456055,117.636245728,118.957420349,112.704910278,107.400390625,109.832397461,110.26133728,111.268424988,113.539672852,118.675178528,112.175041199,104.28969574,110.32975769,114.157112122,104.910903931,110.549415588,108.269073486,122.69291687,104.291473389,114.052444458,111.002838135,112.754974365,110.302505493,117.482574463,120.070495605,104.550125122,115.879806519,52,120.77
87.2267837524,100.419197083,95.80884552,93.8692932129,95.1806182861,90.8434143066,91.0484161377,93.9249420166,99.0600128174,92.0190887451,91.7513885498,88.6042327881,99.4021453857,85.2645721436,92.1380310059,90.1329498291,88.2266540527,87.5416259766,89.0951156616,91.7783889771,89.7737426758,91.7070236206,92.7178497314,89.4485626221,93.6793060303,93.1335296631,95.0222167969,97.5040664673,95.1727294922,95.8460388184,85.4697723389,91.1627731323,94.217628479,96.9782409668,92.0003204346,96.5903778076,97.3244857788,101.778396606,54,84.84
92.6655883789,91.7142181396,98.2258987427,90.5921325684,93.1739044189,89.5125274658,103.223297119,91.1352767944,91.5807418823,88.913230896,105.04119873,88.1941070557,96.5850448608,94.6550064087,90.287612915,99.9448165894,96.1367492676,96.5231323242,96.0845108032,97.3505630493,78.8574066162,90.692527771,84.2622299194,98.3152618408,95.2686538696,85.1140518188,90.3810882568,95.8400192261,95.2526550293,93.1741638184,92.3983383179,93.7904663086,91.8276977539,92.7648849487,99.5452728271,100.859199524,89.6374511719,95.4468536377,60,93.59
97.6234588623,107.16292572,101.601547241,104.135971069,107.919075012,99.7899017334,104.586112976,99.736946106,102.376609802,104.474555969,104.812461853,103.888153076,105.909118652,101.339004517,101.810592651,98.4539871216,99.2911071777,102.268531799,100.068206787,102.823776245,95.0519866943,102.866119385,100.498062134,93.5540924072,104.382034302,100.340065002,100.073371887,101.891159058,98.9491882324,98.7712249756,103.559829712,100.407951355,96.8662872314,101.765274048,90.2967071533,113.547470093,100.214935303,100.535202026,61,104.07
87.4512939453,95.4645385742,92.1186828613,105.205619812,88.8570404053,94.5852508545,91.000793457,96.6402053833,98.8359909058,92.1857910156,91.7161102295,94.1657943726,95.8254928589,95.44556427,86.0369949341,88.9172821045,88.4617233276,90.1095199585,92.400970459,88.5118103027,91.3131103516,97.4760284424,88.2732086182,90.1285934448,102.961715698,98.5685577393,93.4955291748,97.3274536133,93.7903594971,95.8776702881,98.9263458252,90.8910980225,93.688873291,97.3386993408,88.4933013916,99.1292037964,95.8223876953,102.831962585,62,89.37
93.1139831543,86.8146743774,93.2722930908,87.8295135498,90.9650268555,90.8815765381,100.201950073,91.090057373,90.5152053833,89.9992218018,97.0869140625,89.4186630249,94.596282959,92.9075393677,90.5755462646,98.0270690918,95.4262542725,97.7656326294,92.42527771,101.409912109,87.5957336426,88.329246521,81.3160934448,94.7253646851,99.0011291504,87.2063598633,89.3656158447,97.8315887451,95.4434432983,92.2796630859,93.1892547607,92.8920822144,92.2210998535,93.8567047119,99.8503799438,97.9677276611,95.1158218384,95.8555908203,66,90.08
110.030532837,116.608192444,118.585830688,111.997703552,113.583877563,116.374389648,115.069389343,116.078453064,112.018058777,114.959777832,114.88470459,116.517456055,117.636245728,118.957420349,112.704910278,107.400390625,109.832336426,110.26133728,111.268486023,113.539672852,118.675178528,112.175102234,104.28969574,110.32975769,114.157112122,104.910903931,110.549415588,108.269073486,122.69291687,104.291412354,114.052505493,111.00289917,112.75491333,110.302505493,117.482452393,120.07056427,104.550125122,115.879745483,67,128.19
71.892326355,76.3505020142,83.7646026611,81.4254455566,76.5034942627,81.3624038696,82.3411636353,82.2269210815,79.8625488281,80.2303771973,79.6482849121,78.120803833,82.0395965576,79.7662811279,77.2985839844,76.8399505615,73.225227356,81.0615921021,78.1942214966,73.4619827271,74.9443969727,72.4100189209,77.1449737549,72.1923904419,81.8610534668,75.3135757446,75.2821578979,82.429649353,83.7437973022,81.367401123,76.5366821289,76.4868469238,75.942741394,78.528427124,79.2177810669,80.7642059326,79.6926803589,84.1277008057,68,76.01
107.160804749,109.789840698,107.363075256,104.441925049,107.025230408,110.115493774,118.973678589,111.780441284,110.278106689,108.709861755,118.758926392,111.262130737,110.421676636,104.112304688,118.453292847,116.551300049,110.938323975,116.637390137,113.715522766,113.762542725,111.013198853,103.210037231,107.412246704,117.905395508,121.893730164,108.577812195,103.059204102,110.971221924,115.976608276,111.410110474,112.90914917,108.861373901,107.877380371,110.166099548,117.174308777,114.680603027,114.637611389,118.266548157,70,107.86
110.030471802,116.608192444,118.585830688,111.997703552,113.583877563,116.374389648,115.069389343,116.078582764,112.018180847,114.959777832,114.88482666,116.517456055,117.636177063,118.957351685,112.704910278,107.400390625,109.833007812,110.26133728,111.268424988,113.539428711,118.675178528,112.175041199,104.28969574,110.329818726,114.157112122,104.911010742,110.549415588,108.269073486,122.692985535,104.291526794,114.052505493,111.002960205,112.754974365,110.302505493,117.482643127,120.07056427,104.550125122,115.879867554,74,106.87
84.8921813965,95.1148300171,93.5620498657,100.583946228,88.8177337646,90.7924575806,91.4219589233,94.354019165,94.4259490967,90.8637619019,91.4893035889,90.0709228516,92.6946563721,95.3954315186,85.5688781738,91.5117874146,88.0903396606,89.7535858154,89.900932312,86.0983276367,89.6672515869,94.6704940796,91.4238128662,89.2835235596,97.5693969727,91.7941131592,89.5533676147,103.070465088,86.3849945068,89.7204284668,87.8110961914,90.204208374,90.8879547119,100.509925842,85.8618240356,96.3272476196,101.949630737,103.561706543,75,104.85
105.638343811,114.456817627,108.224319458,112.141792297,107.210113525,113.101280212,117.549865723,113.970825195,115.946174622,113.283721924,118.57749176,114.052444458,114.752708435,105.409408569,120.817131042,120.447402954,113.510009766,119.285568237,113.464782715,119.774368286,115.983100891,104.412635803,107.111755371,117.686431885,107.668052673,102.974487305,108.772125244,112.600822449,115.852897644,114.484153748,109.801170349,112.259315491,107.615455627,109.304878235,123.33203125,116.008506775,123.425163269,119.277778625,79,114.78
93.3192138672,95.7971954346,94.3874130249,95.9375305176,92.6102752686,95.8895874023,87.0112075806,96.1716384888,97.6856689453,93.4094696045,92.8100204468,95.3478164673,93.9267730713,92.0297698975,96.608215332,90.7094268799,96.5012817383,91.7982406616,91.3115844727,93.8408355713,94.9946289062,86.9712142944,93.241859436,94.0411376953,97.0268630981,89.1066360474,90.8452301025,89.9122085571,97.5308074951,91.4918212891,91.3564300537,89.8489303589,89.252456665,86.4179153442,89.6201019287,95.8495941162,89.2892837524,97.5654830933,80,91.56
92.2998809814,102.855445862,104.641479492,107.133453369,98.9834976196,106.444961548,108.85521698,104.692276001,103.732177734,100.089416504,105.181594849,99.878364563,106.736488342,89.9004364014,98.8240814209,100.06803894,95.4605789185,96.3851699829,98.5123519897,97.567199707,96.7813796997,100.32888031,102.63028717,101.66822052,107.76461792,104.032951355,104.221588135,109.678993225,105.735534668,106.332885742,98.4349975586,99.7810897827,107.346748352,104.566711426,101.694847107,105.704193115,112.798622131,108.001098633,81,98.16
109.692245483,109.879928589,105.401184082,113.150032043,111.696594238,111.306243896,116.918762207,113.990348816,109.018966675,113.322845459,114.246765137,112.262397766,113.045593262,104.579338074,103.355415344,120.055992126,110.023460388,122.559692383,105.601524353,118.50844574,108.324066162,104.539962769,107.396621704,118.053909302,109.134414673,107.795677185,109.49243927,108.877510071,110.841537476,110.74622345,115.076339722,110.347503662,108.030807495,114.654159546,119.411499023,114.355384827,118.533302307,114.87928009,86,117.31
75.1231460571,77.0102462769,73.7583084106,77.2844390869,75.6565246582,78.4619827271,76.2554397583,78.4618301392,78.8171539307,78.5223083496,78.545501709,77.7082748413,80.1019134521,78.771736145,80.0925445557,73.8504257202,75.3141098022,77.4308624268,75.5701675415,78.4739379883,75.0871124268,76.5173797607,76.7822723389,72.5925292969,80.7294082642,77.8045120239,76.6909179688,74.8863677979,76.248840332,75.8479690552,73.3135986328,71.7741394043,75.1034622192,72.9619369507,76.7239990234,83.9493255615,75.5973892212,76.8408584595,90,79.0
101.831268311,111.110328674,115.352233887,116.769500732,108.288566589,115.548210144,119.036010742,110.205482483,116.041435242,109.958969116,111.460266113,109.124351501,114.721405029,114.901481628,102.827667236,105.436897278,102.225814819,107.62538147,111.102279663,111.506538391,109.805389404,109.073257446,112.602310181,112.573631287,119.767990112,112.10344696,111.35458374,113.04863739,113.211914062,114.200111389,107.109344482,109.411018372,113.219810486,111.077453613,114.639625549,116.645324707,119.467430115,117.883262634,92,110.76
92.3543395996,93.260055542,99.7678070068,105.346923828,105.331771851,101.127929688,107.753433228,101.830375671,98.7120056152,101.093795776,108.384384155,101.471664429,100.128158569,102.19921875,99.7491607666,103.49395752,107.40864563,103.343048096,102.232887268,116.149597168,105.375213623,100.768928528,89.033996582,107.046150208,90.2487640381,91.4474029541,95.0286331177,104.706985474,110.552146912,100.995834351,103.248802185,99.677230835,102.072052002,108.641555786,113.853134155,107.134925842,99.0706710815,113.2706604,100,101.44
97.5213317871,101.854194641,94.2128982544,102.326881409,104.965400696,97.7724456787,100.076393127,98.427482605,97.6620483398,94.3746948242,97.9983062744,101.377120972,94.9087219238,100.88899231,99.6284561157,111.004241943,100.373016357,92.8101196289,96.1362686157,102.769943237,99.9982757568,96.1104125977,93.1221618652,90.5107345581,101.014022827,89.3780975342,90.0236816406,97.4257888794,95.8804626465,98.8739776611,86.5886383057,93.7200469971,93.4977416992,92.4662322998,89.3881607056,101.47088623,91.9051437378,99.3445358276,102,91.98
83.2020111084,94.5911865234,93.2138366699,101.735443115,91.3720321655,96.8912353516,94.4485244751,100.696380615,99.1011047363,92.2047195435,91.2541809082,87.7798156738,96.3921813965,96.5677108765,88.2184906006,92.5695648193,89.746635437,88.0185546875,93.4232940674,90.8026733398,87.5104904175,90.833984375,93.3079681396,90.8024749756,101.142204285,94.2993621826,91.6024169922,96.8813171387,95.0997161865,99.7512664795,93.619934082,90.68699646,94.0519256592,91.0523681641,93.1555938721,101.591674805,97.1809768677,102.338119507,106,98.08
108.928627014,111.851654053,107.016479492,113.216323853,108.554985046,110.664665222,119.394523621,113.122764587,109.981010437,109.777420044,117.105949402,116.952011108,108.373435974,106.471786499,123.76965332,123.137733459,108.558265686,113.592422485,111.214317322,121.149482727,107.110404968,103.992347717,105.949707031,118.388412476,120.627456665,111.44430542,107.389007568,112.203186035,114.700119019,116.470062256,110.339935303,110.382339478,108.26776123,107.52280426,121.659881592,106.602622986,114.231719971,117.113342285,107,139.2
89.3412094116,87.7599182129,93.5377807617,91.7824401855,90.2091522217,95.9411621094,89.8949127197,94.0007171631,90.0752716064,92.4107131958,90.2312698364,97.0797424316,99.1954040527,91.6338195801,92.7408294678,90.052520752,91.995803833,93.1680755615,88.5451278687,94.3252716064,88.8303146362,91.2843704224,90.2795562744,91.5645294189,94.1038818359,85.0178070068,88.774810791,94.5571136475,97.7142028809,91.4884338379,94.0851287842,91.3880844116,87.3622894287,91.5977630615,83.7566223145,99.5788040161,89.6328277588,92.7503204346,108,85.44
107.233428955,113.583190918,114.466056824,120.194549561,112.62815094,108.089126587,115.370033264,119.349571228,114.947853088,113.05695343,112.538345337,111.735595703,117.020736694,106.929275513,105.084632874,110.571929932,116.085723877,104.191383362,115.798530579,105.760437012,112.196166992,108.728248596,113.417945862,113.917030334,117.856086731,115.058151245,115.078109741,114.887481689,118.0545578,109.266784668,112.846000671,110.226051331,116.50038147,114.552055359,112.917701721,127.06162262,119.718162537,120.728027344,109,110.52
89.5685119629,88.3835754395,89.8453292847,88.8206558228,88.2847442627,89.7579193115,102.135780334,95.0155944824,88.1284790039,86.0267028809,86.3420181274,92.1285400391,90.2161407471,89.9382019043,90.447845459,92.3233947754,96.1066131592,93.7672119141,92.5208129883,98.9288482666,92.6371994019,88.1967773438,82.9744949341,94.4020767212,97.0791320801,84.9127655029,87.8922195435,95.0325164795,91.5126953125,90.4169158936,92.4229888916,87.9976577759,88.9931716919,92.5343780518,100.195678711,94.4394989014,89.6600646973,95.4554748535,112,91.44
89.5803604126,90.7998352051,91.435508728,91.8026275635,89.5753936768,95.5708007812,89.1596984863,94.7886962891,89.6326065063,99.848487854,90.8568267822,97.0503005981,100.326789856,91.8638763428,94.6382522583,90.6096954346,92.6447753906,91.9355163574,89.213218689,94.8450012207,88.8436279297,88.6388931274,89.3596496582,92.9675674438,94.5398712158,86.0123901367,89.2600021362,94.8289337158,91.7446136475,92.4966659546,94.3767852783,93.1136703491,87.0451278687,90.1118927002,85.4514007568,98.2765197754,90.7211151123,94.3163146973,116,91.52
88.8825531006,98.932434082,99.975982666,105.131484985,101.648132324,111.546524048,104.491882324,96.397315979,101.107223511,92.7655487061,108.362785339,102.807632446,100.450622559,97.2521438599,90.7496261597,91.1765365601,90.2959594727,89.2138061523,94.819770813,96.5314788818,96.020072937,96.1668319702,91.8132629395,95.5277404785,100.315170288,97.1807098389,100.010375977,98.2640304565,97.8235931396,100.592170715,97.2168884277,91.4499130249,97.8990478516,99.9147796631,92.5171051025,101.591506958,106.071456909,109.394203186,118,91.59
103.945144653,112.136001587,108.696731567,101.324768066,107.411827087,111.403198242,120.200027466,113.014198303,110.304382324,110.350418091,114.070411682,114.893661499,107.862037659,103.747383118,111.939064026,117.095535278,113.666648865,109.119674683,107.336906433,118.368850708,111.215171814,103.558288574,105.657951355,115.863967896,117.208404541,103.161155701,105.669784546,109.261138916,112.557746887,110.377075195,107.261512756,109.548233032,108.726516724,111.538009644,114.159812927,125.75567627,115.482696533,116.175994873,119,108.0
