keras_r2b0,keras_r2b1,keras_r2b2,keras_r2b3,keras_r2b4,keras_r2b5,keras_r2b6,keras_r2b7,keras_r2b8,keras_r2b9,ID,y
112.093833923,114.428672791,113.339035034,110.935806274,117.281410217,114.354072571,114.744422913,117.450111389,115.538238525,114.452224731,7663,111.22
93.7840957642,91.0840606689,97.0974349976,92.3835525513,98.4140014648,92.83568573,95.6100921631,91.2115707397,96.7605438232,96.1102371216,4405,98.36
93.5333862305,91.2679214478,88.9929504395,93.8110961914,91.8990325928,89.6537628174,91.8038406372,89.74949646,98.4098892212,97.2329025269,2879,89.26
92.070602417,91.3711700439,94.4800415039,89.0208816528,91.9277954102,93.4240188599,91.1840438843,93.2648239136,85.0464172363,87.6799240112,8247,87.78
94.5770187378,91.8198852539,99.1082687378,95.004486084,92.7319641113,87.4290313721,95.8813781738,95.313873291,86.4194107056,89.6081314087,2837,91.03
88.8238525391,91.901512146,91.6530380249,83.3535614014,90.9294815063,89.686958313,87.2136993408,82.4430084229,91.6078643799,89.9344711304,487,90.38
105.921218872,113.075057983,107.801246643,115.300247192,116.824104309,102.977287292,106.370506287,112.570762634,111.214149475,109.500747681,3628,111.22
92.1396331787,93.8783874512,91.157371521,91.9184036255,92.3253097534,95.9701538086,91.1788253784,95.5353012085,94.3606338501,95.0061264038,5945,91.22
93.8886642456,87.4441452026,94.3445205688,96.1524658203,88.05809021,88.903678894,94.1031036377,97.6663894653,89.7744064331,93.4199371338,5977,93.74
97.5321502686,106.0337677,92.7560653687,97.3970718384,102.935501099,96.9926376343,96.3450927734,101.843955994,99.8958969116,97.6792678833,6859,101.99
95.0945358276,90.8400192261,90.8291473389,97.0057296753,93.6468048096,92.5185623169,89.0099182129,97.0668563843,93.4715499878,92.7819290161,2790,88.55
88.9457092285,99.6588973999,95.4183120728,97.6295776367,93.4919586182,99.009513855,99.6678466797,96.158454895,95.8306350708,92.2753372192,3598,90.76
106.261817932,108.016372681,110.879936218,105.508575439,110.927818298,108.678001404,109.305397034,108.695831299,100.709281921,108.81451416,3750,111.01
99.6025695801,107.020835876,98.5728759766,105.473335266,108.128158569,98.9994430542,98.8107147217,106.426849365,102.284065247,100.626396179,129,97.24
96.2574310303,107.38381958,105.14969635,99.7495422363,109.57208252,102.601669312,100.088737488,101.565727234,108.030380249,101.511352539,300,96.78
115.514968872,106.371902466,108.700317383,113.476173401,103.299026489,109.401557922,115.584838867,115.038673401,115.576072693,107.991760254,7232,105.57
93.0172119141,93.0456237793,91.6558303833,91.2235717773,95.2007064819,99.9267807007,91.8888626099,92.761680603,98.0843887329,90.197517395,5295,91.47
74.798248291,76.0344085693,76.4250717163,77.5025024414,74.6281967163,74.0536727905,80.0947113037,79.3603363037,79.7347564697,76.493598938,2902,73.15
113.790550232,118.252418518,112.33253479,119.289619446,114.449333191,114.208709717,120.536064148,112.106269836,110.992980957,111.394828796,4520,118.53
111.948188782,108.484054565,110.098114014,110.332397461,108.436042786,107.534797668,119.028434753,119.007705688,111.026313782,120.9532547,4977,107.29
90.152305603,96.1181869507,103.068588257,93.6385955811,93.436958313,93.4026412964,99.7288208008,93.0216903687,100.042884827,93.4135742188,7073,92.19
100.289146423,108.696716309,100.429718018,101.819129944,104.857200623,106.546112061,107.498748779,104.879768372,113.316322327,100.023178101,6446,112.69
109.17780304,111.593559265,111.816108704,109.343223572,110.452949524,103.939247131,110.983345032,107.911781311,110.323532104,108.743354797,5862,108.34
93.3344955444,91.2797622681,88.2556304932,84.9862289429,91.5190048218,92.8188552856,88.5100860596,83.358795166,95.0790557861,90.651008606,964,92.88
104.156898499,116.161354065,115.533470154,111.503303528,112.305152893,117.394561768,107.185997009,106.003990173,109.3646698,114.413406372,6355,112.47
92.4244003296,94.6119537354,91.5753326416,92.4382400513,93.2364349365,94.1058578491,90.2001342773,91.0827713013,93.9172515869,94.1052856445,6652,89.19
115.619338989,118.292633057,104.610931396,115.672904968,113.214073181,117.397193909,120.565162659,108.621772766,109.479660034,115.884773254,376,110.55
90.4106292725,93.0680465698,91.614074707,95.3844070435,91.122718811,96.7079162598,85.3624191284,87.8906478882,96.7041625977,94.3610916138,8367,95.56
95.1419067383,98.4813156128,93.9318389893,97.0537033081,91.9980392456,95.7397613525,98.1576080322,91.0235519409,106.299751282,97.301612854,3080,89.97
92.5759353638,90.5695419312,88.8460617065,91.4115905762,90.3686828613,95.2989578247,90.7554244995,92.1011123657,89.3227844238,93.0825958252,7804,94.41
111.646369934,114.64704895,110.486549377,108.726242065,108.856384277,108.15309906,115.04460144,112.665977478,112.342880249,110.430595398,7038,110.66
108.777282715,115.965675354,112.533821106,114.776397705,109.546302795,115.178634644,112.271949768,104.441581726,112.428504944,113.923217773,1436,117.08
117.004318237,120.983016968,103.89907074,117.886940002,116.965415955,112.785873413,107.368408203,116.347122192,113.692886353,120.818832397,6566,119.47
87.8099975586,93.5122299194,95.1853027344,91.003036499,91.2683258057,87.2904205322,90.9139633179,94.6615447998,95.026550293,91.8768081665,277,91.24
91.1931991577,86.8722763062,100.981948853,98.7863769531,91.6739654541,94.8586959839,90.1260299683,92.7504272461,92.1139984131,87.2590179443,3426,96.81
91.4021987915,97.0517196655,94.6919555664,91.4336853027,92.7195053101,90.0383148193,93.2033309937,89.6566162109,87.8361129761,91.5363006592,1572,102.13
112.3543396,117.833564758,108.858566284,104.187393188,106.123474121,107.845726013,99.4005203247,109.955696106,101.819877625,106.901237488,5622,101.03
87.3641357422,91.3751068115,92.548248291,91.6767730713,88.5266571045,92.4317016602,90.1177902222,86.8864364624,87.7349853516,91.0479812622,7907,93.77
141.625076294,120.350448608,118.547332764,123.017974854,124.301902771,126.6068573,130.328369141,129.771224976,118.239028931,133.083450317,2856,118.61
97.5485076904,96.7107543945,95.0673065186,99.8884506226,95.7023696899,93.4060211182,101.753677368,96.9099731445,99.4133148193,99.3233261108,8020,100.9
112.929153442,117.537368774,113.229164124,106.661872864,111.955612183,108.684112549,116.015510559,115.544273376,119.149093628,121.882965088,1855,107.48
97.1105194092,97.00390625,94.8393630981,99.4065856934,93.6723403931,102.593727112,96.0517959595,101.368980408,94.6644134521,94.1218185425,36,94.12
107.898834229,108.157714844,106.694595337,112.8334198,109.788589478,112.175773621,111.947235107,108.77016449,113.032447815,107.762794495,3592,110.01
117.318656921,116.899589539,118.945732117,116.584701538,115.905464172,117.048950195,113.014556885,117.946418762,112.075149536,115.906105042,127,119.44
103.328460693,114.948867798,106.309104919,109.99105072,109.383552551,109.356803894,111.095405579,101.165779114,107.981483459,112.255775452,477,108.46
111.18309021,115.975265503,116.01461792,113.458969116,110.9662323,109.079734802,115.424217224,107.679473877,112.218772888,115.938446045,5110,108.62
119.010848999,117.779968262,108.176582336,120.023971558,123.379173279,114.68221283,110.727638245,119.169296265,113.565834045,115.670188904,1382,124.17
93.3467712402,94.4247283936,87.9748764038,90.6398086548,93.5353088379,92.8734664917,90.2801513672,96.0062255859,93.7695846558,92.6153793335,6898,97.28
112.219474792,115.065910339,107.005218506,114.90032196,104.191268921,125.698875427,111.020759583,117.400146484,112.813591003,111.052368164,1829,106.56
96.2857971191,95.4224090576,93.5985946655,97.8749237061,95.5951843262,94.6185531616,91.5100021362,96.2524642944,92.3821792603,90.8361358643,2895,91.98
111.246276855,115.835578918,109.967224121,108.507148743,117.266578674,110.994773865,117.361244202,110.961196899,104.057167053,111.680015564,1371,110.54
78.7823028564,75.9595489502,75.3882141113,81.8078918457,74.3382949829,72.076499939,77.0154266357,75.836265564,73.7148361206,74.1453933716,7493,77.5
91.5208511353,88.0960083008,94.9650421143,91.937713623,96.3731994629,95.56615448,87.3266677856,86.802192688,92.2683105469,91.0945129395,4226,92.79
85.1810302734,92.1437225342,83.7169265747,90.4491348267,91.1958618164,87.7963943481,90.7726669312,92.2112350464,88.8513259888,84.5682907104,7938,100.12
88.2401809692,92.904876709,95.1488876343,91.6803207397,92.1535110474,92.4888839722,92.9210281372,91.6561431885,93.714050293,96.7375030518,6112,98.57
98.2554016113,108.553466797,94.1779098511,99.7821884155,109.021987915,98.2471237183,96.0090942383,103.263999939,95.2287216187,106.811599731,7630,99.86
97.2948074341,91.1430511475,94.4685592651,93.9092102051,93.682258606,91.9602584839,88.8916015625,90.4778518677,93.729888916,88.387550354,7069,89.59
93.3015213013,89.9929428101,93.4855575562,86.8670272827,94.8104782104,87.8949584961,90.7912216187,95.0021514893,92.9928436279,90.2497024536,5967,91.19
117.598228455,112.82611084,109.701805115,115.643951416,113.413734436,119.974906921,106.170783997,114.621994019,109.459381104,106.814910889,2170,111.85
108.961898804,107.417739868,102.652008057,100.851585388,106.707672119,103.944786072,100.094490051,107.768333435,102.334777832,105.858383179,1227,99.46
78.804107666,76.5363693237,89.0789794922,78.7143783569,72.8929367065,79.3238372803,76.3627090454,81.0743637085,78.0691986084,83.4202575684,4169,75.42
98.0043411255,101.176025391,97.5204772949,100.303619385,101.326873779,95.2777862549,95.9484786987,100.994796753,100.899276733,101.609764099,3284,98.98
101.822097778,100.195266724,92.1546859741,101.316635132,108.414894104,100.565361023,98.0206222534,100.670669556,97.9040985107,102.421104431,7265,96.19
93.0500106812,92.3637313843,92.1620025635,96.0187606812,99.3798980713,98.0288925171,92.8178024292,97.5209579468,91.4770202637,91.3567123413,8105,95.5
86.7659912109,92.7748184204,95.5728759766,91.8725738525,93.5888061523,93.9278717041,91.0936584473,91.762260437,92.5085296631,93.8247375488,5406,91.79
117.195411682,101.296661377,102.034973145,97.4783630371,108.416862488,100.961303711,105.712265015,99.152053833,102.326248169,107.419715881,3008,92.63
75.281463623,76.9115829468,75.2552185059,74.1436538696,77.5666351318,76.2985916138,75.583480835,78.367225647,74.6446304321,74.534942627,3294,82.21
92.19480896,92.577583313,97.301322937,95.4484939575,95.81615448,96.566192627,90.8306732178,96.1746292114,97.8128967285,99.0540542603,7424,91.56
111.40763855,118.151878357,118.813949585,115.199684143,113.969116211,106.39289093,116.161361694,106.233924866,108.823554993,108.88053894,1098,107.61
112.073448181,113.316070557,107.989944458,116.115196228,109.712097168,110.272483826,113.452697754,114.030090332,108.746177673,123.479896545,4808,121.92
112.083732605,108.559989929,109.56791687,106.898544312,114.96257019,108.591682434,112.710258484,111.590942383,108.711997986,113.036102295,3027,116.57
106.585548401,106.803367615,99.8364028931,104.664733887,102.599609375,100.405326843,108.701530457,101.43434906,104.439315796,104.030799866,4538,99.53
104.201652527,105.164909363,99.6615142822,98.4420852661,99.555847168,100.299629211,102.007225037,106.474891663,100.042129517,101.310577393,81,98.16
98.7959365845,101.5051651,101.396102905,104.906768799,102.80116272,106.152519226,103.861434937,104.905319214,101.977241516,95.4233474731,2016,105.43
104.411521912,98.1670455933,98.7720031738,101.542762756,100.020629883,98.6243667603,102.06942749,96.2878952026,99.3379898071,96.0848007202,7591,114.44
89.3016433716,90.2073745728,90.1429748535,94.1005935669,91.9271392822,91.1236953735,92.0112075806,91.1124725342,89.1259536743,92.8032684326,3491,119.5
93.7238540649,89.3273162842,95.7400512695,90.110168457,91.4308853149,91.1866607666,86.7856674194,89.4014968872,95.9261932373,88.7451095581,7447,91.65
103.848945618,105.851119995,106.140708923,104.074996948,102.663093567,98.3183822632,99.3553237915,101.508071899,99.5352935791,102.782089233,7769,99.86
113.639472961,115.546096802,116.297439575,109.550460815,117.649383545,115.375900269,116.809005737,112.223731995,116.20148468,119.362266541,997,112.94
112.743766785,108.437034607,106.23235321,115.974380493,121.426841736,112.044334412,116.046554565,113.114501953,107.711463928,113.564727783,4371,104.21
99.7448730469,99.1181869507,102.804748535,103.090156555,97.8973846436,99.357093811,98.048210144,97.4582824707,98.200630188,105.047317505,7331,103.32
101.34021759,97.1526489258,100.615867615,100.391937256,93.7750320435,100.522743225,98.6983413696,86.8366622925,98.6224746704,95.2945327759,1712,87.71
97.919921875,99.0217819214,106.891395569,95.2962188721,94.5265350342,104.074943542,98.2488937378,101.152236938,103.004364014,102.476104736,3911,100.1
87.0796356201,89.6547851562,95.9417114258,94.8647232056,93.3920288086,89.3302764893,88.6462173462,88.7056045532,88.5257263184,90.8706665039,8417,110.85
107.586219788,108.037704468,106.463401794,105.267837524,117.62638092,104.953178406,109.959846497,110.579612732,106.701980591,111.275344849,6909,109.34
111.596961975,110.744110107,106.391433716,109.465988159,110.669403076,111.66696167,110.149742126,111.560165405,108.072761536,110.491104126,4819,119.7
91.422492981,92.8505477905,90.8159713745,93.3434066772,95.5208206177,87.3981781006,87.0954589844,88.2149505615,94.2070541382,92.6156463623,6161,87.38
92.1948776245,90.009475708,91.4145889282,92.2845840454,91.4648742676,91.3141479492,88.7008056641,93.6276473999,93.3570556641,90.9731140137,2315,89.51
109.047386169,112.505599976,114.763931274,112.082885742,110.149635315,111.629302979,112.615264893,118.891593933,112.346443176,110.147460938,1871,123.31
87.2032394409,92.1361312866,92.6538543701,93.6736373901,96.2838745117,92.9372253418,92.5730285645,92.8057479858,89.4620437622,90.4571533203,3698,89.19
89.798286438,94.6293106079,92.0668640137,89.559425354,93.4996185303,93.3391265869,92.9769287109,90.1312713623,94.9347763062,91.8156814575,3862,89.64
93.7245254517,100.789222717,100.185325623,101.082237244,90.9720611572,99.1268539429,90.7793502808,93.919342041,101.884986877,94.8701095581,4887,88.05
104.512710571,106.864326477,96.4281997681,103.714691162,107.746604919,104.848564148,103.369766235,105.110496521,103.486686707,104.833137512,2998,119.03
87.1748352051,93.3928833008,85.8877029419,93.0249252319,90.0823287964,98.7602310181,83.934387207,89.1503219604,92.8029556274,88.7342529297,750,88.79
91.1966247559,91.9604110718,91.4809112549,92.5198516846,90.7908477783,93.557434082,91.25050354,90.4727783203,95.3238372803,91.765411377,6797,85.44
78.7140350342,76.185043335,73.894821167,78.1865005493,76.8795471191,76.3430633545,77.323348999,77.5715866089,75.3784255981,79.7582626343,4954,76.16
92.0971298218,89.7919998169,90.4368591309,92.7969207764,93.6923065186,90.7526626587,89.3246765137,96.4348831177,90.5603103638,91.1872940063,5194,94.7
89.436088562,92.5267333984,88.6026000977,91.2111129761,90.1003952026,91.1211395264,93.4528121948,91.3703231812,88.1495285034,93.1977920532,5216,104.41
91.6018753052,96.3597946167,98.2353668213,97.2534332275,91.594871521,91.5218429565,90.6059570312,90.7272415161,101.334197998,92.5490188599,5358,90.6
93.3143310547,89.617805481,91.2691726685,93.1775588989,90.2411270142,90.9267578125,89.1363677979,94.8992156982,97.9148864746,94.3268127441,6799,89.94
107.356109619,105.170303345,107.029136658,104.836196899,115.399169922,108.2370224,109.458030701,111.364463806,115.606811523,116.102684021,838,111.7
105.844161987,117.928794861,104.31855011,112.801101685,112.664749146,106.769874573,110.311462402,110.534088135,110.625007629,109.147949219,2843,114.1
86.8243713379,89.5904159546,86.864112854,89.7269515991,93.9431915283,93.770149231,89.1307067871,87.6132202148,92.6630477905,91.3086700439,2628,88.36
114.892990112,119.275260925,118.012313843,107.504096985,120.382713318,111.749328613,108.966506958,113.5599823,112.631828308,114.702148438,8151,121.65
98.3256912231,106.775115967,105.232192993,102.26197052,101.901626587,102.100204468,97.0904541016,104.065246582,100.524368286,101.322288513,1049,102.33
111.070671082,104.998527527,116.677185059,106.108055115,106.842918396,108.393463135,104.572181702,104.034362793,105.884971619,109.865730286,6522,102.91
98.8172988892,100.821800232,104.679916382,104.279800415,109.850845337,100.689445496,104.345207214,102.880119324,103.91242218,97.9664916992,369,100.85
99.6051712036,101.102935791,95.7552871704,97.6317520142,108.900398254,98.5461196899,98.1594314575,100.276321411,101.0650177,103.829879761,1053,101.66
98.8427047729,104.393188477,99.6855773926,98.2764511108,104.689704895,99.3191299438,96.0420455933,102.27885437,103.044563293,98.971824646,614,99.48
97.9220657349,95.638458252,99.5875701904,97.0617752075,100.780784607,90.5492324829,92.020149231,92.4620132446,98.1081466675,101.710159302,7629,104.22
101.970191956,110.38368988,109.545455933,112.399253845,114.68926239,108.222000122,111.037460327,109.272499084,107.820907593,110.96836853,2548,112.48
90.5927124023,93.6288146973,97.3751296997,93.6790313721,91.9223632812,86.9690093994,89.8105926514,95.2998733521,95.3831634521,94.2888870239,6805,114.23
92.1543502808,95.280456543,92.5910263062,96.0434265137,90.5674438477,93.7255706787,104.616188049,95.0076217651,93.7467727661,92.8439865112,4614,89.07
85.1262054443,89.765083313,93.471824646,91.0010604858,92.1064300537,97.2480316162,88.9646835327,91.0053634644,87.6638183594,85.7468490601,3361,89.57
108.199028015,107.23601532,108.655883789,105.437828064,107.525543213,102.027351379,100.993667603,110.188415527,101.173934937,101.705154419,8109,97.93
115.158111572,106.995330811,100.970817566,107.046150208,103.371711731,107.976119995,109.738555908,103.05683136,101.302711487,109.564987183,2542,106.31
86.1880874634,92.1727142334,85.6295852661,86.3592758179,91.9382247925,89.927520752,90.1894607544,90.4691162109,93.6839675903,88.7178573608,7371,93.71
93.2098999023,93.9144668579,96.1098327637,93.6871566772,94.3090515137,95.5433502197,99.3584594727,98.8745346069,93.2441329956,98.0866775513,1986,90.04
